"Journal Data Filtered By:  Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2023 Selected Category Schema: WOS Selected Open Access: N Selected ISSN/eISSNs: Multiple Indicator: Custom"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Edition,Total Citations,2023 JIF,JIF Quartile,2023 JCI,JIF Rank,5 Year JIF,5 Year JIF Quartile,JIF Without Self Cites,Immediacy Index,JCI Rank,JCI Quartile,JCI Percentile,Eigenfactor,Normalized Eigenfactor,Article Influence Score,JIF Percentile,AIS Quartile
"ACS Applied Materials & Interfaces","ACS APPL MATER INTER","1944-8244","1944-8252","MATERIALS SCIENCE, MULTIDISCIPLINARY","SCIE","364,612","8.3","Q1","1.4"," 69/438 ","8.7","Q1","7.9","1.8"," 63/438 ","Q1","85.73","0.361","78.831","1.568","84.4","Q1",
"ACS Applied Materials & Interfaces","ACS APPL MATER INTER","1944-8244","1944-8252","NANOSCIENCE & NANOTECHNOLOGY","SCIE","364,612","8.3","Q1","1.4"," 28/140 ","8.7","Q1","7.9","1.8"," 22/140 ","Q1","84.64","0.361","78.831","1.568","80.4","Q1",
"LANCET","LANCET","0140-6736","1474-547X","MEDICINE, GENERAL & INTERNAL","SCIE","336,057","98.4","Q1","24.06"," 1/325 ","106.9","Q1","97.3","22.8"," 2/329 ","Q1","99.54","0.398","86.98","38.943","99.8","Q1",
"Nanomaterials","NANOMATERIALS-BASEL","N/A","2079-4991","CHEMISTRY, MULTIDISCIPLINARY","SCIE","70,315","4.4","Q2","0.74"," 69/230 ","4.7","Q2","4","1.4"," 79/231 ","Q2","66.02","0.075","16.312","0.684","70.2","Q2",
"Nanomaterials","NANOMATERIALS-BASEL","N/A","2079-4991","MATERIALS SCIENCE, MULTIDISCIPLINARY","SCIE","70,315","4.4","Q2","0.74"," 145/438 ","4.7","Q2","4","1.4"," 157/438 ","Q2","64.27","0.075","16.312","0.684","67.0","Q2",
"Nanomaterials","NANOMATERIALS-BASEL","N/A","2079-4991","NANOSCIENCE & NANOTECHNOLOGY","SCIE","70,315","4.4","Q2","0.74"," 62/140 ","4.7","Q2","4","1.4"," 59/140 ","Q2","58.21","0.075","16.312","0.684","56.1","Q2",
"Nanomaterials","NANOMATERIALS-BASEL","N/A","2079-4991","PHYSICS, APPLIED","SCIE","70,315","4.4","Q2","0.74"," 47/179 ","4.7","Q2","4","1.4"," 60/179 ","Q2","66.76","0.075","16.312","0.684","74.0","Q2",
"ANNALS OF INTERNAL MEDICINE","ANN INTERN MED","0003-4819","1539-3704","MEDICINE, GENERAL & INTERNAL","SCIE","64,849","19.6","Q1","4.45"," 8/325 ","28.8","Q1","19.1","4"," 8/329 ","Q1","97.72","0.071","15.474","12.291","97.7","Q1",
"NEUROSCIENCE","NEUROSCIENCE","0306-4522","1873-7544","NEUROSCIENCES","SCIE","39,234","2.9","Q2","0.76"," 143/310 ","3","Q3","2.9","0.8"," 158/310 ","Q3","49.19","0.019","4.082","0.851","54.0","Q3",
"FOOD AND CHEMICAL TOXICOLOGY","FOOD CHEM TOXICOL","0278-6915","1873-6351","FOOD SCIENCE & TECHNOLOGY","SCIE","36,293","3.9","Q2","1.11"," 53/173 ","4.5","Q2","3.8","0.9"," 34/173 ","Q1","80.64","0.019","4.186","0.713","69.7","Q2",
"FOOD AND CHEMICAL TOXICOLOGY","FOOD CHEM TOXICOL","0278-6915","1873-6351","TOXICOLOGY","SCIE","36,293","3.9","Q1","1.11"," 23/106 ","4.5","Q1","3.8","0.9"," 16/106 ","Q1","85.38","0.019","4.186","0.713","78.8","Q2",
"BRITISH JOURNAL OF SPORTS MEDICINE","BRIT J SPORT MED","0306-3674","1473-0480","SPORT SCIENCES","SCIE","31,455","11.6","Q1","4.34"," 1/127 ","14.4","Q1","10.8","4"," 1/127 ","Q1","99.61","0.032","7.049","4.633","99.6","Q1",
"POLYMER DEGRADATION AND STABILITY","POLYM DEGRAD STABIL","0141-3910","1873-2321","POLYMER SCIENCE","SCIE","29,007","6.3","Q1","1.31"," 7/94 ","5.9","Q1","5.7","1.4"," 9/94 ","Q1","90.96","0.011","2.452","0.893","93.1","Q1",
"Micromachines","MICROMACHINES-BASEL","N/A","2072-666X","CHEMISTRY, ANALYTICAL","SCIE","23,746","3","Q2","0.62"," 41/106 ","3","Q2","2.6","1"," 52/106 ","Q2","51.42","0.026","5.68","0.49","61.8","Q2",
"Micromachines","MICROMACHINES-BASEL","N/A","2072-666X","INSTRUMENTS & INSTRUMENTATION","SCIE","23,746","3","Q2","0.62"," 26/76 ","3","Q2","2.6","1"," 32/76 ","Q2","58.55","0.026","5.68","0.49","66.4","Q2",
"Micromachines","MICROMACHINES-BASEL","N/A","2072-666X","NANOSCIENCE & NANOTECHNOLOGY","SCIE","23,746","3","Q3","0.62"," 84/140 ","3","Q3","2.6","1"," 67/140 ","Q2","52.50","0.026","5.68","0.49","40.4","Q3",
"Micromachines","MICROMACHINES-BASEL","N/A","2072-666X","PHYSICS, APPLIED","SCIE","23,746","3","Q2","0.62"," 67/179 ","3","Q2","2.6","1"," 74/179 ","Q2","58.94","0.026","5.68","0.49","62.8","Q2",
"PHYTOTHERAPY RESEARCH","PHYTOTHER RES","0951-418X","1099-1573","CHEMISTRY, MEDICINAL","SCIE","23,111","6.1","Q1","1.25"," 7/72 ","7","Q1","5.8","1.1"," 13/72 ","Q1","82.64","0.013","2.886","1.036","91.0","Q1",
"PHYTOTHERAPY RESEARCH","PHYTOTHER RES","0951-418X","1099-1573","PHARMACOLOGY & PHARMACY","SCIE","23,111","6.1","Q1","1.25"," 26/354 ","7","Q1","5.8","1.1"," 51/354 ","Q1","85.73","0.013","2.886","1.036","92.8","Q1",
"BMC Psychiatry","BMC PSYCHIATRY","N/A","1471-244X","PSYCHIATRY","SCIE","22,826","3.4","Q2","1.03"," 79/276 ","4.2","Q2","3.2","0.6"," 71/276 ","Q2","74.46","0.027","5.951","1.174","71.6","Q2",
"THEORETICAL AND APPLIED GENETICS","THEOR APPL GENET","0040-5752","1432-2242","AGRONOMY","SCIE","22,514","4.4","Q1","1.31"," 14/125 ","5","Q1","4","0.9"," 11/125 ","Q1","91.60","0.009","2.003","0.917","89.2","Q1",
"THEORETICAL AND APPLIED GENETICS","THEOR APPL GENET","0040-5752","1432-2242","GENETICS & HEREDITY","SCIE","22,514","4.4","Q1","1.31"," 36/191 ","5","Q1","4","0.9"," 23/191 ","Q1","88.22","0.009","2.003","0.917","81.4","Q2",
"THEORETICAL AND APPLIED GENETICS","THEOR APPL GENET","0040-5752","1432-2242","HORTICULTURE","SCIE","22,514","4.4","Q1","1.31"," 5/38 ","5","Q1","4","0.9"," 6/38 ","Q1","85.53","0.009","2.003","0.917","88.2","Q1",
"THEORETICAL AND APPLIED GENETICS","THEOR APPL GENET","0040-5752","1432-2242","PLANT SCIENCES","SCIE","22,514","4.4","Q1","1.31"," 38/265 ","5","Q1","4","0.9"," 30/265 ","Q1","88.87","0.009","2.003","0.917","85.8","Q1",
"JOURNAL OF ANALYTICAL AND APPLIED PYROLYSIS","J ANAL APPL PYROL","0165-2370","1873-250X","CHEMISTRY, ANALYTICAL","SCIE","20,639","5.8","Q1","1.05"," 10/106 ","5.7","Q1","5.1","1.5"," 19/106 ","Q1","82.55","0.01","2.251","0.879","91.0","Q1",
"JOURNAL OF ANALYTICAL AND APPLIED PYROLYSIS","J ANAL APPL PYROL","0165-2370","1873-250X","ENERGY & FUELS","SCIE","20,639","5.8","Q2","1.05"," 58/170 ","5.7","Q2","5.1","1.5"," 54/173 ","Q1","69.08","0.01","2.251","0.879","66.2","Q2",
"JOURNAL OF ANALYTICAL AND APPLIED PYROLYSIS","J ANAL APPL PYROL","0165-2370","1873-250X","ENGINEERING, CHEMICAL","SCIE","20,639","5.8","Q1","1.05"," 29/170 ","5.7","Q1","5.1","1.5"," 26/171 ","Q1","85.09","0.01","2.251","0.879","83.2","Q1",
"ARTHRITIS RESEARCH & THERAPY","ARTHRITIS RES THER","1478-6354","1478-6362","RHEUMATOLOGY","SCIE","20,324","4.4","Q1","1.29"," 12/57 ","4.9","Q1","4.3","0.8"," 9/57 ","Q1","85.09","0.017","3.638","1.464","79.8","Q1",
"PLANT AND CELL PHYSIOLOGY","PLANT CELL PHYSIOL","0032-0781","1471-9053","CELL BIOLOGY","SCIE","20,285","3.9","Q2","0.88"," 90/205 ","4.7","Q2","3.7","1.1"," 74/205 ","Q1","64.15","0.008","1.829","1.073","56.3","Q2",
"PLANT AND CELL PHYSIOLOGY","PLANT CELL PHYSIOL","0032-0781","1471-9053","PLANT SCIENCES","SCIE","20,285","3.9","Q1","0.88"," 48/265 ","4.7","Q1","3.7","1.1"," 64/265 ","Q1","76.04","0.008","1.829","1.073","82.1","Q1",
"IEEE-ASME TRANSACTIONS ON MECHATRONICS","IEEE-ASME T MECH","1083-4435","1941-014X","AUTOMATION & CONTROL SYSTEMS","SCIE","19,571","6.1","Q1","1.53"," 13/84 ","6.2","Q1","5.1","1"," 11/84 ","Q1","87.50","0.022","4.793","1.472","85.1","Q1",
"IEEE-ASME TRANSACTIONS ON MECHATRONICS","IEEE-ASME T MECH","1083-4435","1941-014X","ENGINEERING, ELECTRICAL & ELECTRONIC","SCIE","19,571","6.1","Q1","1.53"," 45/352 ","6.2","Q1","5.1","1"," 43/354 ","Q1","87.99","0.022","4.793","1.472","87.4","Q1",
"IEEE-ASME TRANSACTIONS ON MECHATRONICS","IEEE-ASME T MECH","1083-4435","1941-014X","ENGINEERING, MANUFACTURING","SCIE","19,571","6.1","Q1","1.53"," 12/68 ","6.2","Q1","5.1","1"," 8/68 ","Q1","88.97","0.022","4.793","1.472","83.1","Q1",
