"Journal Data Filtered By:  Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2023 Selected Category Schema: WOS Selected Open Access: N Selected ISSN/eISSNs: Multiple Indicator: Custom"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Edition,Total Citations,2023 JIF,JIF Rank,5 Year JIF,5 Year JIF Quartile,JIF Without Self Cites,Immediacy Index,2023 JCI,JCI Rank,JCI Quartile,JIF Quartile,JIF Percentile,JCI Percentile,Eigenfactor,Normalized Eigenfactor,Article Influence Score,AIS Quartile
"NATURE MEDICINE","NAT MED","1078-8956","1546-170X","BIOCHEMISTRY & MOLECULAR BIOLOGY","SCIE","129,261","58.7"," 1/313 ","59.2","Q1","58.1","9.8","13.63"," 1/313 ","Q1","Q1","99.8","99.84","0.227","49.577","25.942","Q1",
"NATURE MEDICINE","NAT MED","1078-8956","1546-170X","CELL BIOLOGY","SCIE","129,261","58.7"," 2/205 ","59.2","Q1","58.1","9.8","13.63"," 1/205 ","Q1","Q1","99.3","99.76","0.227","49.577","25.942","Q1",
"NATURE MEDICINE","NAT MED","1078-8956","1546-170X","MEDICINE, RESEARCH & EXPERIMENTAL","SCIE","129,261","58.7"," 1/189 ","59.2","Q1","58.1","9.8","13.63"," 1/189 ","Q1","Q1","99.7","99.74","0.227","49.577","25.942","Q1",
"World Psychiatry","WORLD PSYCHIATRY","1723-8617","2051-5545","PSYCHIATRY","SCIE, SSCI","12,036","60.5"," 1/276 ","55.5","Q1","54.9","13.9","10.18"," 1/276 ","Q1","Q1","99.8","99.82","0.016","3.582","18.83","Q1",
"Nature Photonics","NAT PHOTONICS","1749-4885","1749-4893","OPTICS","SCIE","54,824","32.3"," 1/119 ","35.8","Q1","31.7","6","7.85"," 1/120 ","Q1","Q1","99.6","99.58","0.059","12.805","12.489","Q1",
"Nature Photonics","NAT PHOTONICS","1749-4885","1749-4893","PHYSICS, APPLIED","SCIE","54,824","32.3"," 3/179 ","35.8","Q1","31.7","6","7.85"," 1/179 ","Q1","Q1","98.6","99.72","0.059","12.805","12.489","Q1",
"NATURE MATERIALS","NAT MATER","1476-1122","1476-4660","CHEMISTRY, PHYSICAL","SCIE","108,002","37.2"," 3/178 ","44","Q1","36.9","6.9","6.43"," 1/178 ","Q1","Q1","98.6","99.72","0.106","23.137","15.027","Q1",
"NATURE MATERIALS","NAT MATER","1476-1122","1476-4660","MATERIALS SCIENCE, MULTIDISCIPLINARY","SCIE","108,002","37.2"," 6/438 ","44","Q1","36.9","6.9","6.43"," 4/438 ","Q1","Q1","98.7","99.20","0.106","23.137","15.027","Q1",
"NATURE MATERIALS","NAT MATER","1476-1122","1476-4660","PHYSICS, APPLIED","SCIE","108,002","37.2"," 2/179 ","44","Q1","36.9","6.9","6.43"," 2/179 ","Q1","Q1","99.2","99.16","0.106","23.137","15.027","Q1",
"NATURE MATERIALS","NAT MATER","1476-1122","1476-4660","PHYSICS, CONDENSED MATTER","SCIE","108,002","37.2"," 1/79 ","44","Q1","36.9","6.9","6.43"," 1/79 ","Q1","Q1","99.4","99.37","0.106","23.137","15.027","Q1",
"Lancet Global Health","LANCET GLOB HEALTH","2214-109X","2214-109X","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE, SSCI","22,827","19.9"," 6/403 ","26.4","Q1","19.6","5.7","6.28"," 4/403 ","Q1","Q1","98.6","99.13","0.055","11.954","10.962","Q1",
"Nature Reviews Neurology","NAT REV NEUROL","1759-4758","1759-4766","CLINICAL NEUROLOGY","SCIE","19,986","28.2"," 2/277 ","43.7","Q1","27.9","6","5.97"," 3/278 ","Q1","Q1","99.5","99.10","0.03","6.469","15.004","Q1",
"Lancet Planetary Health","LANCET PLANET HEALTH","N/A","2542-5196","ENVIRONMENTAL SCIENCES","SCIE","8,325","24.1"," 5/358 ","25.6","Q1","23.4","3.9","4.56"," 3/359 ","Q1","Q1","98.7","99.30","0.022","4.858","9.543","Q1",
"Lancet Planetary Health","LANCET PLANET HEALTH","N/A","2542-5196","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE, SSCI","8,325","24.1"," 4/403 ","25.6","Q1","23.4","3.9","4.56"," 6/403 ","Q1","Q1","99.1","98.64","0.022","4.858","9.543","Q1",
"International Journal of Mining Science and Technology","INT J MIN SCI TECHNO","2095-2686","2212-6066","MINING & MINERAL PROCESSING","SCIE","7,723","11.7"," 1/31 ","8.4","Q1","10.6","4.3","3.95"," 1/31 ","Q1","Q1","98.4","98.39","0.007","1.578","1.542","Q1",
"Cuadernos de Filologia Italiana","CUAD FILOL ITAL","1133-9527","1988-2394","LITERATURE, ROMANCE","ESCI","79","0.3"," N/A ","0.2","N/A","0.3","<0.1","3.63"," 3/116 ","Q1","N/A","N/A","97.84","0","0.025","0.172","Q2",
"Nature Machine Intelligence","NAT MACH INTELL","N/A","2522-5839","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","9,760","18.8"," 3/197 ","26.4","Q1","18.3","3.2","3.62"," 4/198 ","Q1","Q1","98.7","98.23","0.029","6.328","9.869","Q1",
"Nature Machine Intelligence","NAT MACH INTELL","N/A","2522-5839","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","9,760","18.8"," 1/169 ","26.4","Q1","18.3","3.2","3.62"," 2/169 ","Q1","Q1","99.7","99.11","0.029","6.328","9.869","Q1",
"Cancer Communications","CANCER COMMUN","N/A","2523-3548","ONCOLOGY","SCIE","5,020","20.1"," 14/322 ","16.7","Q1","19.8","2.1","3.06"," 16/322 ","Q1","Q1","95.8","95.19","0.01","2.125","3.977","Q1",
"NUCLEIC ACIDS RESEARCH","NUCLEIC ACIDS RES","0305-1048","1362-4962","BIOCHEMISTRY & MOLECULAR BIOLOGY","SCIE","271,360","16.6"," 6/313 ","16.1","Q1","15.9","1.5","2.9"," 6/313 ","Q1","Q1","98.2","98.24","0.317","69.356","5.854","Q1",
"ADVANCED FUNCTIONAL MATERIALS","ADV FUNCT MATER","1616-301X","1616-3028","CHEMISTRY, MULTIDISCIPLINARY","SCIE","250,260","18.5"," 10/230 ","19.6","Q1","17.4","3.6","2.74"," 9/231 ","Q1","Q1","95.9","96.32","0.308","67.397","4.051","Q1",
"ADVANCED FUNCTIONAL MATERIALS","ADV FUNCT MATER","1616-301X","1616-3028","CHEMISTRY, PHYSICAL","SCIE","250,260","18.5"," 11/178 ","19.6","Q1","17.4","3.6","2.74"," 10/178 ","Q1","Q1","94.1","94.66","0.308","67.397","4.051","Q1",
"ADVANCED FUNCTIONAL MATERIALS","ADV FUNCT MATER","1616-301X","1616-3028","MATERIALS SCIENCE, MULTIDISCIPLINARY","SCIE","250,260","18.5"," 21/438 ","19.6","Q1","17.4","3.6","2.74"," 17/438 ","Q1","Q1","95.3","96.23","0.308","67.397","4.051","Q1",
"ADVANCED FUNCTIONAL MATERIALS","ADV FUNCT MATER","1616-301X","1616-3028","NANOSCIENCE & NANOTECHNOLOGY","SCIE","250,260","18.5"," 9/140 ","19.6","Q1","17.4","3.6","2.74"," 8/140 ","Q1","Q1","93.9","94.64","0.308","67.397","4.051","Q1",
"ADVANCED FUNCTIONAL MATERIALS","ADV FUNCT MATER","1616-301X","1616-3028","PHYSICS, APPLIED","SCIE","250,260","18.5"," 9/179 ","19.6","Q1","17.4","3.6","2.74"," 8/179 ","Q1","Q1","95.3","95.81","0.308","67.397","4.051","Q1",
"ADVANCED FUNCTIONAL MATERIALS","ADV FUNCT MATER","1616-301X","1616-3028","PHYSICS, CONDENSED MATTER","SCIE","250,260","18.5"," 5/79 ","19.6","Q1","17.4","3.6","2.74"," 4/79 ","Q1","Q1","94.3","95.57","0.308","67.397","4.051","Q1",
"JOURNAL OF CLINICAL PERIODONTOLOGY","J CLIN PERIODONTOL","0303-6979","1600-051X","DENTISTRY, ORAL SURGERY & MEDICINE","SCIE","21,117","5.8"," 3/157 ","9.9","Q1","5.2","2.1","2.7"," 4/157 ","Q1","Q1","98.4","97.77","0.014","3.037","2.203","Q1",
"CARDIOVASCULAR RESEARCH","CARDIOVASC RES","0008-6363","1755-3245","CARDIAC & CARDIOVASCULAR SYSTEMS","SCIE","26,702","10.2"," 12/220 ","10.6","Q1","10","2","2.62"," 12/220 ","Q1","Q1","94.8","94.77","0.025","5.529","3.086","Q1",
"INTERNATIONAL JOURNAL OF PLASTICITY","INT J PLASTICITY","0749-6419","1879-2154","ENGINEERING, MECHANICAL","SCIE","19,968","9.4"," 4/180 ","9.2","Q1","6.8","2.6","2.32"," 3/180 ","Q1","Q1","98.1","98.61","0.013","2.919","1.707","Q1",
"INTERNATIONAL JOURNAL OF PLASTICITY","INT J PLASTICITY","0749-6419","1879-2154","MATERIALS SCIENCE, MULTIDISCIPLINARY","SCIE","19,968","9.4"," 59/438 ","9.2","Q1","6.8","2.6","2.32"," 27/438 ","Q1","Q1","86.6","93.95","0.013","2.919","1.707","Q1",
