"Journal Data Filtered By:  Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2023 Selected Category Schema: WOS Selected Open Access: N Selected ISSN/eISSNs: Multiple Indicator: Custom"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Edition,Total Citations,2023 JIF,JIF Rank,5 Year JIF,5 Year JIF Quartile,JIF Without Self Cites,Immediacy Index,2023 JCI,JCI Rank,JCI Quartile,JIF Quartile,JIF Percentile,JCI Percentile,Eigenfactor,Normalized Eigenfactor,Article Influence Score,AIS Quartile
"NATURE REVIEWS DRUG DISCOVERY","NAT REV DRUG DISCOV","1474-1776","1474-1784","BIOTECHNOLOGY & APPLIED MICROBIOLOGY","SCIE","48,152","122.7"," 1/174 ","114.9","Q1","122.2","14.2","13.41"," 1/174 ","Q1","Q1","99.7","99.71","0.058","12.658","36.972","Q1",
"NATURE REVIEWS DRUG DISCOVERY","NAT REV DRUG DISCOV","1474-1776","1474-1784","PHARMACOLOGY & PHARMACY","SCIE","48,152","122.7"," 1/354 ","114.9","Q1","122.2","14.2","13.41"," 1/354 ","Q1","Q1","99.9","99.86","0.058","12.658","36.972","Q1",
"Lancet Respiratory Medicine","LANCET RESP MED","2213-2600","N/A","CRITICAL CARE MEDICINE","SCIE","24,191","38.7"," 1/54 ","41.3","Q1","38","11.9","11.49"," 1/55 ","Q1","Q1","99.1","99.09","0.054","11.882","15.325","Q1",
"Lancet Respiratory Medicine","LANCET RESP MED","2213-2600","N/A","RESPIRATORY SYSTEM","SCIE","24,191","38.7"," 1/100 ","41.3","Q1","38","11.9","11.49"," 1/101 ","Q1","Q1","99.5","99.50","0.054","11.882","15.325","Q1",
"Nature Energy","NAT ENERGY","2058-7546","2058-7546","ENERGY & FUELS","SCIE","46,820","49.7"," 1/170 ","62.3","Q1","49","12.8","7.92"," 1/173 ","Q1","Q1","99.7","99.71","0.085","18.678","19.309","Q1",
"Nature Energy","NAT ENERGY","2058-7546","2058-7546","MATERIALS SCIENCE, MULTIDISCIPLINARY","SCIE","46,820","49.7"," 2/438 ","62.3","Q1","49","12.8","7.92"," 2/438 ","Q1","Q1","99.7","99.66","0.085","18.678","19.309","Q1",
"JOURNAL OF HEPATOLOGY","J HEPATOL","0168-8278","1600-0641","GASTROENTEROLOGY & HEPATOLOGY","SCIE","62,886","26.8"," 3/143 ","28","Q1","25.7","8.3","5.97"," 3/143 ","Q1","Q1","98.3","98.25","0.088","19.263","9.529","Q1",
"Nature Metabolism","NAT METAB","N/A","2522-5812","ENDOCRINOLOGY & METABOLISM","SCIE","9,543","18.9"," 5/186 ","21","Q1","18.6","3.9","4.66"," 4/186 ","Q1","Q1","97.6","98.12","0.031","6.675","8.609","Q1",
"JAMA Psychiatry","JAMA PSYCHIAT","2168-622X","2168-6238","PSYCHIATRY","SCIE, SSCI","22,206","22.5"," 3/276 ","22.3","Q1","22","3.1","4.37"," 3/276 ","Q1","Q1","99.1","99.09","0.044","9.677","9.626","Q1",
"Nature Reviews Psychology","NAT REV PSYCHOL","N/A","2731-0574","PSYCHOLOGY, MULTIDISCIPLINARY","ESCI","1,031","16.8"," 4/218 ","16.8","Q1","16.5","3.1","4.1"," 7/218 ","Q1","Q1","98.4","97.02","0.003","0.699","7.717","Q1",
"DIABETES CARE","DIABETES CARE","0149-5992","1935-5548","ENDOCRINOLOGY & METABOLISM","SCIE","75,526","14.8"," 6/186 ","14.1","Q1","14.2","7.9","3.83"," 5/186 ","Q1","Q1","97.0","97.58","0.077","16.93","5.437","Q1",
"She Ji-The Journal of Design Economics and Innovation","SHE JI","2405-8726","2405-8718","HUMANITIES, MULTIDISCIPLINARY","ESCI","433","1.8"," N/A ","2.7","N/A","1.5","0.4","3.55"," 6/406 ","Q1","N/A","N/A","98.65","0.001","0.112","0.582","Q1",
"She Ji-The Journal of Design Economics and Innovation","SHE JI","2405-8726","2405-8718","SOCIAL SCIENCES, INTERDISCIPLINARY","ESCI","433","1.8"," 70/263 ","2.7","Q1","1.5","0.4","3.55"," 3/263 ","Q1","Q2","73.6","99.05","0.001","0.112","0.582","Q2",
"Opto-Electronic Advances","OPTO-ELECTRON ADV","2096-4579","2096-4579","OPTICS","SCIE","2,197","15.3"," 7/119 ","11.4","Q1","14.1","3.9","3.41"," 5/120 ","Q1","Q1","94.5","96.25","0.003","0.744","2.347","Q1",
"AMERICAN JOURNAL OF OBSTETRICS AND GYNECOLOGY","AM J OBSTET GYNECOL","0002-9378","1097-6868","OBSTETRICS & GYNECOLOGY","SCIE","46,711","8.7"," 2/136 ","8.8","Q1","8.1","2.5","3.4"," 2/136 ","Q1","Q1","98.9","98.90","0.043","9.287","3.186","Q1",
"INTERNATIONAL JOURNAL OF NURSING STUDIES","INT J NURS STUD","0020-7489","1873-491X","NURSING","SCIE, SSCI","15,674","7.5"," 1/191 ","7.6","Q1","7.2","0.6","3.05"," 1/191 ","Q1","Q1","99.7","99.74","0.015","3.208","1.983","Q1",
"JOURNAL OF NUCLEAR MEDICINE","J NUCL MED","0161-5505","1535-5667","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING","SCIE","29,679","9.1"," 6/204 ","9.1","Q1","8.3","2.6","2.98"," 3/204 ","Q1","Q1","97.3","98.77","0.028","6.108","2.606","Q1",
"International Journal of STEM Education","INT J STEM EDUC","2196-7822","2196-7822","EDUCATION & EDUCATIONAL RESEARCH","SSCI","2,509","5.6"," 11/756 ","7.5","Q1","5.1","1.4","2.8"," 13/756 ","Q1","Q1","98.6","98.35","0.005","0.988","2.09","Q1",
"International Journal of STEM Education","INT J STEM EDUC","2196-7822","2196-7822","EDUCATION, SCIENTIFIC DISCIPLINES","SCIE","2,509","5.6"," 2/85 ","7.5","Q1","5.1","1.4","2.8"," 1/85 ","Q1","Q1","98.2","99.41","0.005","0.988","2.09","Q1",
"Clinical Gastroenterology and Hepatology","CLIN GASTROENTEROL H","1542-3565","1542-7714","GASTROENTEROLOGY & HEPATOLOGY","SCIE","28,542","11.6"," 9/143 ","11.3","Q1","11.1","5.9","2.78"," 8/143 ","Q1","Q1","94.1","94.76","0.045","9.776","4.266","Q1",
"EClinicalMedicine","ECLINICALMEDICINE","N/A","2589-5370","MEDICINE, GENERAL & INTERNAL","SCIE","13,947","9.6"," 12/325 ","9.9","Q1","9.6","2","2.58"," 11/329 ","Q1","Q1","96.5","96.81","0.039","8.489","3.61","Q1",
