"Journal Data Filtered By:  Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2023 Selected Category Schema: WOS Selected Open Access: N Selected ISSN/eISSNs: Multiple Indicator: Custom"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Edition,Total Citations,2023 JIF,JIF Rank,5 Year JIF,5 Year JIF Quartile,JIF Without Self Cites,Immediacy Index,2023 JCI,JCI Rank,JCI Quartile,JIF Quartile,JIF Percentile,JCI Percentile,Eigenfactor,Normalized Eigenfactor,Article Influence Score,AIS Quartile
"NATURE IMMUNOLOGY","NAT IMMUNOL","1529-2908","1529-2916","IMMUNOLOGY","SCIE","54,409","27.7"," 2/181 ","28.3","Q1","27.2","4.6","5.19"," 2/181 ","Q1","Q1","99.2","99.17","0.072","15.643","12.947","Q1",
"PERIODONTOLOGY 2000","PERIODONTOL 2000","0906-6713","1600-0757","DENTISTRY, ORAL SURGERY & MEDICINE","SCIE","9,590","17.5"," 1/157 ","16.8","Q1","16.9","1.8","4.27"," 2/157 ","Q1","Q1","99.7","99.04","0.008","1.662","3.775","Q1",
"Annual Review of Astronomy and Astrophysics","ANNU REV ASTRON ASTR","0066-4146","1545-4282","ASTRONOMY & ASTROPHYSICS","SCIE","15,350","26.3"," 2/84 ","36.7","Q1","26.1","5.3","3.8"," 1/84 ","Q1","Q1","98.2","99.40","0.01","2.19","17.269","Q1",
"Annual Review of Entomology","ANNU REV ENTOMOL","0066-4170","1545-4487","ENTOMOLOGY","SCIE","14,708","15"," 1/109 ","21.6","Q1","14.7","9","3.69"," 1/109 ","Q1","Q1","99.5","99.54","0.006","1.402","6.294","Q1",
"JOURNAL OF THE AMERICAN ACADEMY OF DERMATOLOGY","J AM ACAD DERMATOL","0190-9622","1097-6787","DERMATOLOGY","SCIE","36,661","12.8"," 1/94 ","11.5","Q1","11.9","4","3.65"," 2/94 ","Q1","Q1","99.5","98.40","0.037","8.033","3.635","Q1",
"JOURNAL OF THE AMERICAN ACADEMY OF CHILD AND ADOLESCENT PSYCHIATRY","J AM ACAD CHILD PSY","0890-8567","1527-5418","PEDIATRICS","SCIE","20,111","9.2"," 3/186 ","10.8","Q1","8.8","4.5","3.31"," 3/186 ","Q1","Q1","98.7","98.66","0.015","3.241","4.27","Q1",
"JOURNAL OF THE AMERICAN ACADEMY OF CHILD AND ADOLESCENT PSYCHIATRY","J AM ACAD CHILD PSY","0890-8567","1527-5418","PSYCHIATRY","SCIE, SSCI","20,111","9.2"," 8/276 ","10.8","Q1","8.8","4.5","3.31"," 6/276 ","Q1","Q1","97.3","98.01","0.015","3.241","4.27","Q1",
"JOURNAL OF THE AMERICAN ACADEMY OF CHILD AND ADOLESCENT PSYCHIATRY","J AM ACAD CHILD PSY","0890-8567","1527-5418","PSYCHOLOGY, DEVELOPMENTAL","SSCI","20,111","9.2"," 3/91 ","10.8","Q1","8.8","4.5","3.31"," 1/91 ","Q1","Q1","97.3","99.45","0.015","3.241","4.27","Q1",
"Physical Review X","PHYS REV X","2160-3308","2160-3308","PHYSICS, MULTIDISCIPLINARY","SCIE","27,528","11.6"," 6/110 ","12.9","Q1","11.4","3.6","3.24"," 3/110 ","Q1","Q1","95.0","97.73","0.063","13.835","6.033","Q1",
"Research Studies in Music Education","RES STUD MUSIC EDUC","1321-103X","1834-5530","MUSIC","ESCI","568","1.3"," N/A ","1.7","N/A","1","0.3","3.09"," 1/111 ","Q1","N/A","N/A","99.55","0.001","0.135","0.477","Q1",
"ACM Journal on Computing and Cultural Heritage","ACM J COMPUT CULT HE","1556-4673","1556-4711","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","946","2.1"," 101/169 ","3","Q2","1.9","0.4","3.07"," 4/169 ","Q1","Q3","40.5","97.93","0.001","0.213","0.531","Q3",
"ACM Journal on Computing and Cultural Heritage","ACM J COMPUT CULT HE","1556-4673","1556-4711","HUMANITIES, MULTIDISCIPLINARY","AHCI","946","2.1"," N/A ","3","N/A","1.9","0.4","3.07"," 9/406 ","Q1","N/A","N/A","97.91","0.001","0.213","0.531","Q1",
"Molecular Cell","MOL CELL","1097-2765","1097-4164","BIOCHEMISTRY & MOLECULAR BIOLOGY","SCIE","80,732","14.5"," 7/313 ","16.6","Q1","13.9","3.5","2.66"," 9/313 ","Q1","Q1","97.9","97.28","0.116","25.396","8.596","Q1",
"Molecular Cell","MOL CELL","1097-2765","1097-4164","CELL BIOLOGY","SCIE","80,732","14.5"," 14/205 ","16.6","Q1","13.9","3.5","2.66"," 13/205 ","Q1","Q1","93.4","93.90","0.116","25.396","8.596","Q1",
"Nature Reviews Chemistry","NAT REV CHEM","N/A","2397-3358","CHEMISTRY, MULTIDISCIPLINARY","SCIE","12,247","38.1"," 3/230 ","39.6","Q1","38","8.4","2.61"," 13/231 ","Q1","Q1","98.9","94.59","0.025","5.377","12.419","Q1",
