"Journal Data Filtered By:  Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2023 Selected Category Schema: WOS Selected Open Access: N Selected ISSN/eISSNs: Multiple Indicator: Custom"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Edition,Total Citations,2023 JIF,JIF Quartile,2023 JCI,JIF Rank,5 Year JIF,5 Year JIF Quartile,JIF Without Self Cites,Immediacy Index,JCI Rank,JCI Quartile,JCI Percentile,Eigenfactor,Normalized Eigenfactor,Article Influence Score,JIF Percentile,AIS Quartile
"Preventive Medicine","PREV MED","0091-7435","1096-0260","MEDICINE, GENERAL & INTERNAL","SCIE","18,889","4.3","Q1","1.2"," 38/325 ","4.2","Q1","4.2","0.4"," 43/329 ","Q1","87.08","0.023","4.92","1.604","88.5","Q1",
"Preventive Medicine","PREV MED","0091-7435","1096-0260","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE","18,889","4.3","Q1","1.2"," 47/403 ","4.2","Q1","4.2","0.4"," 57/403 ","Q1","85.98","0.023","4.92","1.604","88.5","Q1",
"Food Bioscience","FOOD BIOSCI","2212-4292","2212-4306","FOOD SCIENCE & TECHNOLOGY","SCIE","11,726","4.8","Q1","1.09"," 36/173 ","5.1","Q1","4.3","1.1"," 37/173 ","Q1","78.90","0.01","2.22","0.655","79.5","Q2",
"NEUROLOGICAL SCIENCES","NEUROL SCI","1590-1874","1590-3478","CLINICAL NEUROLOGY","SCIE","11,450","2.7","Q2","0.73"," 110/277 ","2.7","Q3","2.6","0.5"," 131/278 ","Q2","53.06","0.014","3.151","0.707","60.5","Q3",
"NEUROLOGICAL SCIENCES","NEUROL SCI","1590-1874","1590-3478","NEUROSCIENCES","SCIE","11,450","2.7","Q3","0.73"," 158/310 ","2.7","Q3","2.6","0.5"," 168/310 ","Q2","45.97","0.014","3.151","0.707","49.2","Q3",
"BULLETIN OF ENVIRONMENTAL CONTAMINATION AND TOXICOLOGY","B ENVIRON CONTAM TOX","0007-4861","1432-0800","ENVIRONMENTAL SCIENCES","SCIE","9,731","2.7","Q3","0.59"," 192/358 ","2.6","Q3","2.6","0.6"," 190/359 ","Q3","47.21","0.005","1.083","0.435","46.5","Q3",
"BULLETIN OF ENVIRONMENTAL CONTAMINATION AND TOXICOLOGY","B ENVIRON CONTAM TOX","0007-4861","1432-0800","TOXICOLOGY","SCIE","9,731","2.7","Q3","0.59"," 56/106 ","2.6","Q3","2.6","0.6"," 70/106 ","Q3","34.43","0.005","1.083","0.435","47.6","Q4",
"DEEP-SEA RESEARCH PART I-OCEANOGRAPHIC RESEARCH PAPERS","DEEP-SEA RES PT I","0967-0637","1879-0119","OCEANOGRAPHY","SCIE","8,866","2.3","Q2","0.82"," 23/65 ","2.6","Q2","2.1","0.6"," 23/65 ","Q2","65.38","0.004","0.887","0.76","65.4","Q2",
"JOURNAL OF PLANT NUTRITION","J PLANT NUTR","0190-4167","1532-4087","PLANT SCIENCES","SCIE","8,439","1.6","Q3","0.47"," 138/265 ","2.4","Q2","1.5","0.3"," 138/265 ","Q3","48.11","0.003","0.718","0.321","48.1","Q3",
"MICROSURGERY","MICROSURG","0738-1085","1098-2752","SURGERY","SCIE","3,597","1.5","Q3","0.7"," 153/290 ","2","Q2","1.3","0.2"," 131/290 ","Q2","55.00","0.003","0.555","0.55","47.4","Q2",
"SYMBIOSIS","SYMBIOSIS","0334-5114","1878-7665","MICROBIOLOGY","SCIE","2,131","2.1","Q3","0.49"," 117/161 ","2.4","Q3","2.1","0.5"," 115/161 ","Q3","28.88","0.001","0.298","0.437","27.6","Q4",
"PALEONTOLOGICAL JOURNAL","PALEONTOL J+","0031-0301","1555-6174","PALEONTOLOGY","SCIE","2,099","0.7","Q4","0.38"," 51/56 ","0.7","Q4","0.5","0.2"," 52/56 ","Q4","8.04","0.001","0.17","0.142","9.8","Q4",
"Journal of Intelligent Transportation Systems","J INTELL TRANSPORT S","1547-2450","1547-2442","TRANSPORTATION","SSCI","1,792","2.8","Q3","0.67"," 33/57 ","3.5","Q3","2.6","0.5"," 35/57 ","Q2","39.47","0.002","0.45","0.831","43.0","Q2",
"Journal of Intelligent Transportation Systems","J INTELL TRANSPORT S","1547-2450","1547-2442","TRANSPORTATION SCIENCE & TECHNOLOGY","SCIE","1,792","2.8","Q2","0.67"," 30/72 ","3.5","Q2","2.6","0.5"," 30/72 ","Q2","59.03","0.002","0.45","0.831","59.0","Q2",
"INTEGRATED FERROELECTRICS","INTEGR FERROELECTR","1058-4587","1607-8489","ENGINEERING, ELECTRICAL & ELECTRONIC","SCIE","1,775","0.7","Q4","0.15"," 308/352 ","0.8","Q4","0.6","0.2"," 322/354 ","Q4","9.18","0.001","0.209","0.118","12.6","Q4",
"INTEGRATED FERROELECTRICS","INTEGR FERROELECTR","1058-4587","1607-8489","PHYSICS, APPLIED","SCIE","1,775","0.7","Q4","0.15"," 170/179 ","0.8","Q4","0.6","0.2"," 167/179 ","Q4","6.98","0.001","0.209","0.118","5.3","Q4",
"INTEGRATED FERROELECTRICS","INTEGR FERROELECTR","1058-4587","1607-8489","PHYSICS, CONDENSED MATTER","SCIE","1,775","0.7","Q4","0.15"," 73/79 ","0.8","Q4","0.6","0.2"," 69/79 ","Q4","13.29","0.001","0.209","0.118","8.2","Q4",
"POLYMER SCIENCE SERIES A","POLYM SCI SER A+","0965-545X","1555-6107","POLYMER SCIENCE","SCIE","1,728","1","Q4","0.2"," 86/94 ","1","Q4","0.9","0.1"," 86/94 ","Q4","9.04","0","0.106","0.129","9.0","Q4",
"Pharmacy Practice-Granada","PHARM PRACT-GRANADA","1885-642X","1886-3655","PHARMACOLOGY & PHARMACY","ESCI","1,440","2.4","Q3","0.65"," 188/354 ","2.5","Q3","2.3","0.2"," 177/354 ","Q2","50.14","0.001","0.316","0.517","47.0","Q3",
"Natural Gas Industry B","NAT GAS IND B","2352-8540","2352-8559","ENERGY & FUELS","ESCI","1,356","4.2","Q2","0.48"," 83/170 ","N/A","N/A","4","1.6"," 109/173 ","Q3","37.28","0.001","0.315","N/A","51.5","N/A",
"SPORTS MEDICINE AND ARTHROSCOPY REVIEW","SPORTS MED ARTHROSC","1062-8592","1538-1951","SPORT SCIENCES","SCIE","1,310","2.5","Q2","0.39"," 33/127 ","3.3","Q1","2.5","0.1"," 91/127 ","Q3","28.74","0.001","0.266","0.953","74.4","Q1",
"WIENER MEDIZINISCHE WOCHENSCHRIFT","WIEN MED WOCHENSCHR","0043-5341","1563-258X","MEDICINE, GENERAL & INTERNAL","ESCI","1,184","1.1","Q2","0.32"," 161/325 ","1.2","Q3","1","0.3"," 159/329 ","Q2","51.82","0.001","0.168","0.286","50.6","Q3",
"Mathematical Modelling of Natural Phenomena","MATH MODEL NAT PHENO","0973-5348","1760-6101","MATHEMATICAL & COMPUTATIONAL BIOLOGY","SCIE","1,156","2.6","Q2","1.02"," 20/65 ","2.1","Q3","2.6","0.2"," 14/65 ","Q1","79.23","0.001","0.26","0.514","70.0","Q3",
"Mathematical Modelling of Natural Phenomena","MATH MODEL NAT PHENO","0973-5348","1760-6101","MATHEMATICS, APPLIED","SCIE","1,156","2.6","Q1","1.02"," 28/331 ","2.1","Q1","2.6","0.2"," 76/331 ","Q1","77.19","0.001","0.26","0.514","91.7","Q2",
"Mathematical Modelling of Natural Phenomena","MATH MODEL NAT PHENO","0973-5348","1760-6101","MATHEMATICS, INTERDISCIPLINARY APPLICATIONS","SCIE","1,156","2.6","Q1","1.02"," 31/135 ","2.1","Q2","2.6","0.2"," 28/135 ","Q1","79.63","0.001","0.26","0.514","77.4","Q2",
"Journal of Mineralogical and Petrological Sciences","J MINER PETROL SCI","1345-6296","1349-3825","MINERALOGY","SCIE","721","0.9","Q4","0.28"," 25/30 ","1","Q4","0.7","0.3"," 24/30 ","Q4","21.67","0","0.074","0.262","18.3","Q4",
"Mechanical Sciences","MECH SCI","2191-9151","2191-916X","ENGINEERING, MECHANICAL","SCIE","621","1","Q4","0.29"," 145/180 ","1.2","Q4","1","0.3"," 139/180 ","Q4","23.06","0.001","0.121","0.231","19.7","Q3",
"Carpathian Journal of Mathematics","CARPATHIAN J MATH","1584-2851","1843-4401","MATHEMATICS","SCIE","584","1.4","Q1","1.04"," 57/489 ","1.2","Q1","1.3","0.7"," 82/489 ","Q1","83.33","0.001","0.154","0.34","88.4","Q3",
"Carpathian Journal of Mathematics","CARPATHIAN J MATH","1584-2851","1843-4401","MATHEMATICS, APPLIED","SCIE","584","1.4","Q2","1.04"," 102/331 ","1.2","Q2","1.3","0.7"," 74/331 ","Q1","77.79","0.001","0.154","0.34","69.3","Q3",
"International Journal of Ventilation","INT J VENT","1473-3315","2044-4044","CONSTRUCTION & BUILDING TECHNOLOGY","SCIE","560","1.1","Q3","0.29"," 67/91 ","1.6","Q3","1.1","0.4"," 62/91 ","Q3","32.42","0","0.057","0.288","26.9","Q3",
"International Journal of Ventilation","INT J VENT","1473-3315","2044-4044","ENERGY & FUELS","SCIE","560","1.1","Q4","0.29"," 151/170 ","1.6","Q4","1.1","0.4"," 148/173 ","Q3","14.74","0","0.057","0.288","11.5","Q4",
"Research Journal of Biotechnology","RES J BIOTECHNOL","2278-4535","2278-4535","BIOTECHNOLOGY & APPLIED MICROBIOLOGY","ESCI","525","0.2","Q4","0.04"," 171/174 ","0.2","Q4","0.2","0.1"," 172/174 ","Q4","1.44","0","0.071","0.033","2.0","Q4",
"Decision Science Letters","DECISION SCI LETT","1929-5804","1929-5812","OPERATIONS RESEARCH & MANAGEMENT SCIENCE","ESCI","513","1.4","Q3","0.34"," 74/106 ","N/A","N/A","1.3","0.4"," 83/106 ","Q4","22.17","0","0.085","N/A","30.7","N/A",
"International Journal of School & Educational Psychology","INT J SCH EDUC PSYCH","2168-3603","2168-3611","EDUCATION & EDUCATIONAL RESEARCH","ESCI","505","1.8","Q2","1.09"," 238/756 ","N/A","N/A","1.7","0.6"," 202/756 ","Q2","73.35","0.001","0.157","N/A","68.6","N/A",
"International Journal of School & Educational Psychology","INT J SCH EDUC PSYCH","2168-3603","2168-3611","PSYCHOLOGY, EDUCATIONAL","ESCI","505","1.8","Q3","1.09"," 41/74 ","N/A","N/A","1.7","0.6"," 30/74 ","Q2","60.14","0.001","0.157","N/A","45.3","N/A",
"Ethnography and Education","ETHNOGR EDUC","1745-7823","1745-7831","EDUCATION & EDUCATIONAL RESEARCH","ESCI","491","1.1","Q3","0.49"," 398/756 ","1.2","Q3","0.9","0.1"," 465/756 ","Q3","38.56","0.001","0.117","0.41","47.4","Q2",
"Urology Practice","UROL PRACT","2352-0779","2352-0787","UROLOGY & NEPHROLOGY","ESCI","489","0.8","Q4","0.32"," 102/126 ","0.7","Q4","0.7","1.6"," 100/126 ","Q4","21.03","0.001","0.197","0.272","19.4","Q4",
"Coupled Systems Mechanics","COUPLED SYST MEC","2234-2184","2234-2192","MECHANICS","ESCI","260","1.3","Q3","0.36"," 126/170 ","1.1","Q4","0.7","0.4"," 122/170 ","Q3","28.53","0","0.032","0.109","26.2","Q4",
"Journal of World Intellectual Property","J WORLD INTELLECT PR","1422-2213","1747-1796","LAW","ESCI","260","0.7","Q2","0.93"," 171/421 ","0.8","Q2","0.6","0.2"," 133/421 ","Q2","68.53","0","0.073","0.281","59.5","Q2",
"Probability Uncertainty and Quantitative Risk","PROBAB UNCERTAIN QUA","2095-9672","2367-0126","STATISTICS & PROBABILITY","ESCI","124","1","Q3","0.56"," 93/168 ","1.2","Q3","0.9","0.1"," 76/168 ","Q2","55.06","0","0.069","0.616","44.9","Q3",
"Journal of Computer Chemistry-Japan","J COMPUT CHEM-JPN","1347-1767","1347-3824","CHEMISTRY, MULTIDISCIPLINARY","ESCI","85","0.1","Q4","0.02"," 230/230 ","0.2","Q4","0.1","<0.1"," 230/231 ","Q4","0.65","0","0.011","0.035","0.2","Q4",
"Journal of Doctoral Nursing Practice","J DOCTORAL NURS PRAC","2380-9418","2380-9426","NURSING","ESCI","48","0.2","Q4","0.13"," 184/191 ","0.3","Q4","0.2","<0.1"," 182/191 ","Q4","4.97","0","0.038","0.188","3.9","Q4",
"Prolegomenos-Derechos y Valores","PROLEGOMENOS","0121-182X","1909-7727","LAW","ESCI","46","0.1","Q4","0.03"," 365/421 ","0.2","Q4","0.1","0.1"," 397/421 ","Q4","5.82","0","0.016","0.097","13.4","Q3",
"Balkan Journal of Philosophy","BALK J PHILOS","1313-888X","2367-5438","PHILOSOPHY","ESCI","26","0.1","N/A","0.27"," N/A ","0.1","N/A","0.1","<0.1"," 198/325 ","Q3","39.23","0","0.011","0.074","N/A","Q4",
"Revista Estudios Socio-Juridicos","REV ESTUD SOCIO-JURI","0124-0579","2145-4531","LAW","ESCI","21","0.1","Q4","0.06"," 365/421 ","0.1","Q4","0.1","0.1"," 382/421 ","Q4","9.38","0","0.006","0.03","13.4","Q4",
"Revista Estudios Socio-Juridicos","REV ESTUD SOCIO-JURI","0124-0579","2145-4531","POLITICAL SCIENCE","ESCI","21","0.1","Q4","0.06"," 289/317 ","0.1","Q4","0.1","0.1"," 290/317 ","Q4","8.68","0","0.006","0.03","9.0","Q4",

Copyright (c) 2024 Clarivate 
By exporting the selected data; you agree to the data usage policy set forth in the Terms of Use 
