"Journal Data Filtered By:  Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2023 Selected Category Schema: WOS Selected Open Access: N Selected ISSN/eISSNs: Multiple Indicator: Custom"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Edition,Total Citations,2023 JIF,JIF Rank,5 Year JIF,5 Year JIF Quartile,JIF Without Self Cites,Immediacy Index,2023 JCI,JCI Rank,JCI Quartile,JIF Quartile,JIF Percentile,JCI Percentile,Eigenfactor,Normalized Eigenfactor,Article Influence Score,AIS Quartile
"NATURE GENETICS","NAT GENET","1061-4036","1546-1718","GENETICS & HEREDITY","SCIE","104,387","31.7"," 2/191 ","36.6","Q1","30.8","4.4","8.81"," 1/191 ","Q1","Q1","99.2","99.74","0.139","30.403","20.125","Q1",
"Nature Microbiology","NAT MICROBIOL","2058-5276","2058-5276","MICROBIOLOGY","SCIE","23,267","20.5"," 5/161 ","21","Q1","20.2","3.9","5.86"," 3/161 ","Q1","Q1","97.2","98.45","0.057","12.494","8.442","Q1",
"Nature Nanotechnology","NAT NANOTECHNOL","1748-3387","1748-3395","MATERIALS SCIENCE, MULTIDISCIPLINARY","SCIE","76,128","38.1"," 5/438 ","39.6","Q1","37.8","6.5","5.15"," 5/438 ","Q1","Q1","99.0","98.97","0.086","18.752","13.238","Q1",
"Nature Nanotechnology","NAT NANOTECHNOL","1748-3387","1748-3395","NANOSCIENCE & NANOTECHNOLOGY","SCIE","76,128","38.1"," 2/140 ","39.6","Q1","37.8","6.5","5.15"," 1/140 ","Q1","Q1","98.9","99.64","0.086","18.752","13.238","Q1",
"Annual Review of Public Health","ANNU REV PUBL HEALTH","0163-7525","1545-2093","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE, SSCI","10,648","21.4"," 5/403 ","25.7","Q1","21.3","3.4","3.32"," 8/403 ","Q1","Q1","98.9","98.14","0.012","2.575","10.301","Q1",
"COMPUTATIONAL LINGUISTICS","COMPUT LINGUIST","0891-2017","1530-9312","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","2,329","3.7"," 66/197 ","4.2","Q2","3.5","0.7","3.12"," 6/198 ","Q1","Q2","66.8","97.22","0.001","0.325","1.423","Q1",
"COMPUTATIONAL LINGUISTICS","COMPUT LINGUIST","0891-2017","1530-9312","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","2,329","3.7"," 54/169 ","4.2","Q2","3.5","0.7","3.12"," 3/169 ","Q1","Q2","68.3","98.52","0.001","0.325","1.423","Q1",
"COMPUTATIONAL LINGUISTICS","COMPUT LINGUIST","0891-2017","1530-9312","LANGUAGE & LINGUISTICS","AHCI","2,329","3.7"," N/A ","4.2","N/A","3.5","0.7","3.12"," 6/393 ","Q1","N/A","N/A","98.60","0.001","0.325","1.423","Q1",
"COMPUTATIONAL LINGUISTICS","COMPUT LINGUIST","0891-2017","1530-9312","LINGUISTICS","SSCI","2,329","3.7"," 10/297 ","4.2","Q1","3.5","0.7","3.12"," 6/297 ","Q1","Q1","96.8","98.15","0.001","0.325","1.423","Q1",
"ACTA NEUROPATHOLOGICA","ACTA NEUROPATHOL","0001-6322","1432-0533","CLINICAL NEUROLOGY","SCIE","25,777","9.3"," 8/277 ","13.1","Q1","9.1","2.6","3.09"," 7/278 ","Q1","Q1","97.3","97.66","0.024","5.261","4.939","Q1",
