"Journal Data Filtered By:  Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2023 Selected Category Schema: WOS Selected Open Access: N Selected ISSN/eISSNs: Multiple Indicator: Custom"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Edition,Total Citations,2023 JIF,JIF Quartile,2023 JCI,JIF Rank,5 Year JIF,5 Year JIF Quartile,JIF Without Self Cites,Immediacy Index,JCI Rank,JCI Quartile,JCI Percentile,Eigenfactor,Normalized Eigenfactor,Article Influence Score,JIF Percentile,AIS Quartile
"Journal of the American Chemical Society","J AM CHEM SOC","0002-7863","1520-5126","CHEMISTRY, MULTIDISCIPLINARY","SCIE","568,265","14.4","Q1","2.66"," 17/230 ","14.8","Q1","13.4","3.4"," 12/231 ","Q1","95.02","0.395","86.373","3.848","92.8","Q1",
"ENVIRONMENTAL SCIENCE & TECHNOLOGY","ENVIRON SCI TECHNOL","0013-936X","1520-5851","ENGINEERING, ENVIRONMENTAL","SCIE","239,936","10.8","Q1","1.56"," 7/81 ","11.6","Q1","9.7","1.9"," 6/81 ","Q1","93.21","0.161","35.272","2.458","92.0","Q1",
"ENVIRONMENTAL SCIENCE & TECHNOLOGY","ENVIRON SCI TECHNOL","0013-936X","1520-5851","ENVIRONMENTAL SCIENCES","SCIE","239,936","10.8","Q1","1.56"," 18/358 ","11.6","Q1","9.7","1.9"," 32/359 ","Q1","91.23","0.161","35.272","2.458","95.1","Q1",
"JOURNAL OF HAZARDOUS MATERIALS","J HAZARD MATER","0304-3894","1873-3336","ENGINEERING, ENVIRONMENTAL","SCIE","210,090","12.2","Q1","1.85"," 4/81 ","11.9","Q1","11.4","2.1"," 4/81 ","Q1","95.68","0.179","39.172","1.949","95.7","Q1",
"JOURNAL OF HAZARDOUS MATERIALS","J HAZARD MATER","0304-3894","1873-3336","ENVIRONMENTAL SCIENCES","SCIE","210,090","12.2","Q1","1.85"," 12/358 ","11.9","Q1","11.4","2.1"," 19/359 ","Q1","94.85","0.179","39.172","1.949","96.8","Q1",
"Frontiers in Microbiology","FRONT MICROBIOL","N/A","1664-302X","MICROBIOLOGY","SCIE","145,461","4","Q2","0.89"," 53/161 ","5.1","Q1","3.8","0.9"," 56/161 ","Q2","65.53","0.164","35.829","1.047","67.4","Q2",
"GEOPHYSICAL RESEARCH LETTERS","GEOPHYS RES LETT","0094-8276","1944-8007","GEOSCIENCES, MULTIDISCIPLINARY","SCIE","129,044","4.6","Q1","1.31"," 30/253 ","5.2","Q1","4.2","0.8"," 29/253 ","Q1","88.74","0.132","28.939","2.03","88.3","Q1",
"JOURNAL OF COLLOID AND INTERFACE SCIENCE","J COLLOID INTERF SCI","0021-9797","1095-7103","CHEMISTRY, PHYSICAL","SCIE","125,430","9.4","Q1","1.53"," 32/178 ","8.2","Q1","8.7","2.5"," 25/178 ","Q1","86.24","0.09","19.568","1.237","82.3","Q2",
"INTERNATIONAL JOURNAL OF HEAT AND MASS TRANSFER","INT J HEAT MASS TRAN","0017-9310","1879-2189","ENGINEERING, MECHANICAL","SCIE","90,625","5","Q1","1.23"," 24/180 ","5","Q1","4.4","1.2"," 22/180 ","Q1","88.06","0.055","12.03","0.841","86.9","Q1",
"INTERNATIONAL JOURNAL OF HEAT AND MASS TRANSFER","INT J HEAT MASS TRAN","0017-9310","1879-2189","MECHANICS","SCIE","90,625","5","Q1","1.23"," 17/170 ","5","Q1","4.4","1.2"," 22/170 ","Q1","87.35","0.055","12.03","0.841","90.3","Q1",
