"Journal Data Filtered By:  Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2023 Selected Category Schema: WOS Selected Open Access: N Selected ISSN/eISSNs: Multiple Indicator: Custom"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Edition,Total Citations,2023 JIF,JIF Rank,5 Year JIF,5 Year JIF Quartile,JIF Without Self Cites,Immediacy Index,2023 JCI,JCI Rank,JCI Quartile,JIF Quartile,JIF Percentile,JCI Percentile,Eigenfactor,Normalized Eigenfactor,Article Influence Score,AIS Quartile
"Cancer Discovery","CANCER DISCOV","2159-8274","2159-8290","ONCOLOGY","SCIE","33,545","29.7"," 8/322 ","32.4","Q1","29.4","6.7","6.62"," 7/322 ","Q1","Q1","97.7","97.98","0.073","15.918","14.382","Q1",
"STUDIES IN MYCOLOGY","STUD MYCOL","0166-0616","1872-9797","MYCOLOGY","SCIE","4,581","14.1"," 2/33 ","17.7","Q1","13.7","2.5","4.94"," 2/33 ","Q1","Q1","95.5","95.45","0.002","0.545","4.424","Q1",
"Molecular Plant","MOL PLANT","1674-2052","1752-9867","BIOCHEMISTRY & MOLECULAR BIOLOGY","SCIE","23,905","17.1"," 5/313 ","21.4","Q1","16.5","5.5","4.88"," 4/313 ","Q1","Q1","98.6","98.88","0.025","5.563","5.455","Q1",
"Molecular Plant","MOL PLANT","1674-2052","1752-9867","PLANT SCIENCES","SCIE","23,905","17.1"," 3/265 ","21.4","Q1","16.5","5.5","4.88"," 1/265 ","Q1","Q1","99.1","99.81","0.025","5.563","5.455","Q1",
"ANNALS OF SURGERY","ANN SURG","0003-4932","1528-1140","SURGERY","SCIE","56,540","7.5"," 7/290 ","9.1","Q1","7.1","2.7","4.69"," 3/290 ","Q1","Q1","97.8","99.14","0.051","11.161","3.291","Q1",
"PROGRESS IN RETINAL AND EYE RESEARCH","PROG RETIN EYE RES","1350-9462","1873-1635","OPHTHALMOLOGY","SCIE","11,987","18.6"," 1/95 ","20.3","Q1","17.9","4.3","4.45"," 2/95 ","Q1","Q1","99.5","98.42","0.012","2.65","6.122","Q1",
"JOURNAL OF THE AMERICAN SOCIETY OF NEPHROLOGY","J AM SOC NEPHROL","1046-6673","1533-3450","UROLOGY & NEPHROLOGY","SCIE","40,638","10.3"," 6/126 ","10.5","Q1","9.9","2.6","4.18"," 4/126 ","Q1","Q1","95.6","97.22","0.031","6.765","3.846","Q1",
"PhotoniX","PHOTONIX","N/A","2662-1991","OPTICS","SCIE","1,317","15.7"," 6/119 ","16.8","Q1","15.4","2.5","3.72"," 4/120 ","Q1","Q1","95.4","97.08","0.002","0.541","4.089","Q1",
"BRAIN","BRAIN","0006-8950","1460-2156","CLINICAL NEUROLOGY","SCIE","60,668","10.6"," 7/277 ","12.5","Q1","10.2","2.4","3.32"," 6/278 ","Q1","Q1","97.7","98.02","0.059","12.913","4.746","Q1",
"BRAIN","BRAIN","0006-8950","1460-2156","NEUROSCIENCES","SCIE","60,668","10.6"," 14/310 ","12.5","Q1","10.2","2.4","3.32"," 7/310 ","Q1","Q1","95.6","97.90","0.059","12.913","4.746","Q1",
"Journal of Orthopaedic Translation","J ORTHOP TRANSL","2214-031X","2214-031X","ORTHOPEDICS","SCIE","3,023","5.9"," 4/136 ","5.6","Q1","5.6","1.9","2.79"," 2/136 ","Q1","Q1","97.4","98.90","0.004","0.877","1.147","Q1",
"ISME Journal","ISME J","1751-7362","1751-7370","ECOLOGY","SCIE","38,872","10.8"," 4/195 ","11.8","Q1","10.5","1.8","2.7"," 2/195 ","Q1","Q1","98.2","99.23","0.038","8.277","3.486","Q1",
"ISME Journal","ISME J","1751-7362","1751-7370","MICROBIOLOGY","SCIE","38,872","10.8"," 11/161 ","11.8","Q1","10.5","1.8","2.7"," 9/161 ","Q1","Q1","93.5","94.72","0.038","8.277","3.486","Q1",
"ISPRS JOURNAL OF PHOTOGRAMMETRY AND REMOTE SENSING","ISPRS J PHOTOGRAMM","0924-2716","1872-8235","GEOGRAPHY, PHYSICAL","SCIE","26,847","10.6"," 1/65 ","11.8","Q1","9.7","1.9","2.62"," 1/65 ","Q1","Q1","99.2","99.23","0.028","6.108","2.64","Q1",
"ISPRS JOURNAL OF PHOTOGRAMMETRY AND REMOTE SENSING","ISPRS J PHOTOGRAMM","0924-2716","1872-8235","GEOSCIENCES, MULTIDISCIPLINARY","SCIE","26,847","10.6"," 6/253 ","11.8","Q1","9.7","1.9","2.62"," 3/253 ","Q1","Q1","97.8","99.01","0.028","6.108","2.64","Q1",
"ISPRS JOURNAL OF PHOTOGRAMMETRY AND REMOTE SENSING","ISPRS J PHOTOGRAMM","0924-2716","1872-8235","IMAGING SCIENCE & PHOTOGRAPHIC TECHNOLOGY","SCIE","26,847","10.6"," 3/36 ","11.8","Q1","9.7","1.9","2.62"," 2/36 ","Q1","Q1","93.1","95.83","0.028","6.108","2.64","Q1",
"ISPRS JOURNAL OF PHOTOGRAMMETRY AND REMOTE SENSING","ISPRS J PHOTOGRAMM","0924-2716","1872-8235","REMOTE SENSING","SCIE","26,847","10.6"," 3/62 ","11.8","Q1","9.7","1.9","2.62"," 2/62 ","Q1","Q1","96.0","97.58","0.028","6.108","2.64","Q1",
"Matter","MATTER-US","2590-2393","2590-2385","MATERIALS SCIENCE, MULTIDISCIPLINARY","SCIE","14,249","17.3"," 22/438 ","18.9","Q1","17","3.6","2.46"," 22/438 ","Q1","Q1","95.1","95.09","0.028","6.186","4.776","Q1",
"NEUROLOGY","NEUROLOGY","0028-3878","1526-632X","CLINICAL NEUROLOGY","SCIE","95,734","7.7"," 15/277 ","8.7","Q1","7.4","2.6","2.46"," 10/278 ","Q1","Q1","94.8","96.58","0.076","16.563","3.205","Q1",
