"Journal Data Filtered By:  Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2023 Selected Category Schema: WOS Selected Open Access: N Selected ISSN/eISSNs: Multiple Indicator: Custom"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Edition,Total Citations,2023 JIF,JIF Rank,5 Year JIF,5 Year JIF Quartile,JIF Without Self Cites,Immediacy Index,2023 JCI,JCI Rank,JCI Quartile,JIF Quartile,JIF Percentile,JCI Percentile,Eigenfactor,Normalized Eigenfactor,Article Influence Score,AIS Quartile
"JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION","JAMA-J AM MED ASSOC","0098-7484","1538-3598","MEDICINE, GENERAL & INTERNAL","SCIE","189,853","63.1"," 5/325 ","66.8","Q1","62.2","13.5","11.75"," 4/329 ","Q1","Q1","98.6","98.94","0.237","51.67","27.856","Q1",
"CIRCULATION","CIRCULATION","0009-7322","1524-4539","CARDIAC & CARDIOVASCULAR SYSTEMS","SCIE","173,789","35.5"," 3/220 ","32.7","Q1","34.8","8.4","8.42"," 1/220 ","Q1","Q1","98.9","99.77","0.183","39.89","13.841","Q1",
"CIRCULATION","CIRCULATION","0009-7322","1524-4539","PERIPHERAL VASCULAR DISEASE","SCIE","173,789","35.5"," 1/96 ","32.7","Q1","34.8","8.4","8.42"," 1/96 ","Q1","Q1","99.5","99.48","0.183","39.89","13.841","Q1",
"Nature Reviews Methods Primers","NAT REV METHOD PRIME","N/A","2662-8449","MULTIDISCIPLINARY SCIENCES","ESCI","4,515","50.1"," 2/134 ","50.1","Q1","49.9","5.1","8.14"," 3/135 ","Q1","Q1","98.9","98.15","0.013","2.838","18.432","Q1",
"Journal of Bioresources and Bioproducts","J BIORESOUR BIOPROD","2097-2415","2369-9698","MATERIALS SCIENCE, PAPER & WOOD","ESCI","2,006","20.2"," 1/23 ","N/A","N/A","20.1","6.9","7.25"," 1/23 ","Q1","Q1","97.8","97.83","0.002","0.407","N/A","N/A",
"JOURNAL OF CLINICAL ONCOLOGY","J CLIN ONCOL","0732-183X","1527-7755","ONCOLOGY","SCIE","169,257","42.1"," 6/322 ","37.4","Q1","41.1","13","6.46"," 8/322 ","Q1","Q1","98.3","97.67","0.21","45.975","15.561","Q1",
"BEHAVIORAL AND BRAIN SCIENCES","BEHAV BRAIN SCI","0140-525X","1469-1825","BEHAVIORAL SCIENCES","SCIE","11,517","16.6"," 2/55 ","16.6","Q1","16.1","2","5.44"," 1/55 ","Q1","Q1","97.3","99.09","0.006","1.258","8.078","Q1",
"BEHAVIORAL AND BRAIN SCIENCES","BEHAV BRAIN SCI","0140-525X","1469-1825","NEUROSCIENCES","SCIE","11,517","16.6"," 7/310 ","16.6","Q1","16.1","2","5.44"," 3/310 ","Q1","Q1","97.9","99.19","0.006","1.258","8.078","Q1",
"BEHAVIORAL AND BRAIN SCIENCES","BEHAV BRAIN SCI","0140-525X","1469-1825","PSYCHOLOGY, BIOLOGICAL","SSCI","11,517","16.6"," 1/18 ","16.6","Q1","16.1","2","5.44"," 1/18 ","Q1","Q1","97.2","97.22","0.006","1.258","8.078","Q1",
"JAMA Internal Medicine","JAMA INTERN MED","2168-6106","2168-6114","MEDICINE, GENERAL & INTERNAL","SCIE","24,993","22.5"," 7/325 ","22.5","Q1","21.9","8.8","4.88"," 7/329 ","Q1","Q1","98.0","98.02","0.052","11.383","10.797","Q1",
"Signal Transduction and Targeted Therapy","SIGNAL TRANSDUCT TAR","2095-9907","2059-3635","BIOCHEMISTRY & MOLECULAR BIOLOGY","SCIE","29,874","40.8"," 3/313 ","40.5","Q1","40.3","6.7","4.42"," 5/313 ","Q1","Q1","99.2","98.56","0.052","11.326","9.664","Q1",
"Signal Transduction and Targeted Therapy","SIGNAL TRANSDUCT TAR","2095-9907","2059-3635","CELL BIOLOGY","SCIE","29,874","40.8"," 5/205 ","40.5","Q1","40.3","6.7","4.42"," 6/205 ","Q1","Q1","97.8","97.32","0.052","11.326","9.664","Q1",
"Nature Reviews Materials","NAT REV MATER","2058-8437","2058-8437","MATERIALS SCIENCE, MULTIDISCIPLINARY","SCIE","35,616","79.8"," 1/438 ","85.7","Q1","79.5","10.2","4.35"," 8/438 ","Q1","Q1","99.9","98.29","0.055","12.027","25.735","Q1",
"Nature Reviews Materials","NAT REV MATER","2058-8437","2058-8437","NANOSCIENCE & NANOTECHNOLOGY","SCIE","35,616","79.8"," 1/140 ","85.7","Q1","79.5","10.2","4.35"," 3/140 ","Q1","Q1","99.6","98.21","0.055","12.027","25.735","Q1",
"REVIEWS OF MODERN PHYSICS","REV MOD PHYS","0034-6861","1539-0756","PHYSICS, MULTIDISCIPLINARY","SCIE","57,818","45.9"," 1/110 ","52.1","Q1","45.8","8.1","4.04"," 2/110 ","Q1","Q1","99.5","98.64","0.032","7.025","22.161","Q1",
"AMERICAN JOURNAL OF TRANSPLANTATION","AM J TRANSPLANT","1600-6135","1600-6143","SURGERY","SCIE","25,261","8.9"," 4/290 ","6.7","Q1","8.5","2.3","3.55"," 4/290 ","Q1","Q1","98.8","98.79","0.033","7.208","2.506","Q1",
"AMERICAN JOURNAL OF TRANSPLANTATION","AM J TRANSPLANT","1600-6135","1600-6143","TRANSPLANTATION","SCIE","25,261","8.9"," 1/31 ","6.7","Q1","8.5","2.3","3.55"," 1/31 ","Q1","Q1","98.4","98.39","0.033","7.208","2.506","Q1",
"Nature Aging","NATURE AGING","N/A","2662-8465","CELL BIOLOGY","SCIE","3,203","17"," 10/205 ","17","Q1","16.5","4.1","3.44"," 10/205 ","Q1","Q1","95.4","95.37","0.01","2.157","7.216","Q1",
"Nature Aging","NATURE AGING","N/A","2662-8465","GERIATRICS & GERONTOLOGY","SCIE","3,203","17"," 1/74 ","17","Q1","16.5","4.1","3.44"," 1/74 ","Q1","Q1","99.3","99.32","0.01","2.157","7.216","Q1",
"Nature Aging","NATURE AGING","N/A","2662-8465","NEUROSCIENCES","SCIE","3,203","17"," 5/310 ","17","Q1","16.5","4.1","3.44"," 6/310 ","Q1","Q1","98.5","98.23","0.01","2.157","7.216","Q1",
"Advanced Fiber Materials","ADV FIBER MATER","2524-7921","2524-793X","MATERIALS SCIENCE, MULTIDISCIPLINARY","SCIE","4,009","17.2"," 23/438 ","15.7","Q1","16.1","4.7","3.35"," 12/438 ","Q1","Q1","94.9","97.37","0.005","1.051","2.568","Q1",
"Advanced Fiber Materials","ADV FIBER MATER","2524-7921","2524-793X","MATERIALS SCIENCE, TEXTILES","SCIE","4,009","17.2"," 1/29 ","15.7","Q1","16.1","4.7","3.35"," 1/29 ","Q1","Q1","98.3","98.28","0.005","1.051","2.568","Q1",
"ENDOCRINE PATHOLOGY","ENDOCR PATHOL","1046-3976","1559-0097","ENDOCRINOLOGY & METABOLISM","SCIE","2,232","11.3"," 8/186 ","6","Q1","9.9","1.4","3.04"," 7/186 ","Q1","Q1","96.0","96.51","0.003","0.608","1.57","Q1",
"ENDOCRINE PATHOLOGY","ENDOCR PATHOL","1046-3976","1559-0097","PATHOLOGY","SCIE","2,232","11.3"," 2/88 ","6","Q1","9.9","1.4","3.04"," 3/88 ","Q1","Q1","98.3","97.16","0.003","0.608","1.57","Q1",
"Philosophy Psychiatry & Psychology","PHILOS PSYCHIATR PSY","1071-6076","1086-3303","PHILOSOPHY","ESCI","649","2.6"," N/A ","1.3","N/A","2.3","1","3.02"," 7/325 ","Q1","N/A","N/A","98.00","0.001","0.142","0.52","Q1",
"Energy Storage Materials","ENERGY STORAGE MATER","2405-8297","2405-8289","CHEMISTRY, PHYSICAL","SCIE","47,960","18.9"," 10/178 ","18.4","Q1","18","3.4","2.97"," 7/178 ","Q1","Q1","94.7","96.35","0.073","15.879","3.648","Q1",
"Energy Storage Materials","ENERGY STORAGE MATER","2405-8297","2405-8289","MATERIALS SCIENCE, MULTIDISCIPLINARY","SCIE","47,960","18.9"," 19/438 ","18.4","Q1","18","3.4","2.97"," 13/438 ","Q1","Q1","95.8","97.15","0.073","15.879","3.648","Q1",
"Energy Storage Materials","ENERGY STORAGE MATER","2405-8297","2405-8289","NANOSCIENCE & NANOTECHNOLOGY","SCIE","47,960","18.9"," 8/140 ","18.4","Q1","18","3.4","2.97"," 6/140 ","Q1","Q1","94.6","96.07","0.073","15.879","3.648","Q1",
"Lancet Regional Health-Americas","LANCET REG HEALTH-AM","2667-193X","2667-193X","HEALTH CARE SCIENCES & SERVICES","ESCI","2,319","7"," 8/174 ","7","Q1","6.8","2.4","2.93"," 4/175 ","Q1","Q1","95.7","98.00","0.007","1.536","2.987","Q1",
