"Journal Data Filtered By:  Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2023 Selected Category Schema: WOS Selected Open Access: N Selected ISSN/eISSNs: Multiple Indicator: Custom"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Edition,Total Citations,2023 JIF,JIF Rank,5 Year JIF,5 Year JIF Quartile,JIF Without Self Cites,Immediacy Index,2023 JCI,JCI Rank,JCI Quartile,JIF Quartile,JIF Percentile,JCI Percentile,Eigenfactor,Normalized Eigenfactor,Article Influence Score,AIS Quartile
"LANCET NEUROLOGY","LANCET NEUROL","1474-4422","1474-4465","CLINICAL NEUROLOGY","SCIE","47,501","46.5"," 1/277 ","51.6","Q1","45.7","11","10.99"," 1/278 ","Q1","Q1","99.8","99.82","0.055","12.105","17.633","Q1",
"NATURE METHODS","NAT METHODS","1548-7091","1548-7105","BIOCHEMICAL RESEARCH METHODS","SCIE","112,995","36.1"," 1/85 ","45.6","Q1","35.1","4.7","10.09"," 1/85 ","Q1","Q1","99.4","99.41","0.15","32.783","24.656","Q1",
"Statistics Surveys","STAT SURV","1935-7516","1935-7516","STATISTICS & PROBABILITY","ESCI","768","11"," 1/168 ","7.4","Q1","10.9","0.8","6.25"," 1/168 ","Q1","Q1","99.7","99.70","0.001","0.141","3.548","Q1",
"GUT","GUT","0017-5749","1468-3288","GASTROENTEROLOGY & HEPATOLOGY","SCIE","61,677","23"," 5/143 ","24.5","Q1","22.5","3.8","5.87"," 4/143 ","Q1","Q1","96.9","97.55","0.073","15.933","8.144","Q1",
"Nature Climate Change","NAT CLIM CHANGE","1758-678X","1758-6798","ENVIRONMENTAL SCIENCES","SCIE","46,843","29.6"," 3/358 ","31.1","Q1","29","4.5","5.51"," 1/359 ","Q1","Q1","99.3","99.86","0.067","14.592","11.557","Q1",
"Nature Climate Change","NAT CLIM CHANGE","1758-678X","1758-6798","ENVIRONMENTAL STUDIES","SSCI","46,843","29.6"," 1/182 ","31.1","Q1","29","4.5","5.51"," 1/184 ","Q1","Q1","99.7","99.73","0.067","14.592","11.557","Q1",
"Nature Climate Change","NAT CLIM CHANGE","1758-678X","1758-6798","METEOROLOGY & ATMOSPHERIC SCIENCES","SCIE","46,843","29.6"," 1/110 ","31.1","Q1","29","4.5","5.51"," 1/110 ","Q1","Q1","99.5","99.55","0.067","14.592","11.557","Q1",
"RADIOLOGY","RADIOLOGY","0033-8419","N/A","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING","SCIE","59,748","12.1"," 2/204 ","13.4","Q1","11.1","7","5.35"," 1/204 ","Q1","Q1","99.3","99.75","0.048","10.382","3.816","Q1",
"PSYCHOLOGICAL BULLETIN","PSYCHOL BULL","0033-2909","1939-1455","PSYCHOLOGY","SCIE","57,102","17.3"," 3/92 ","24.1","Q1","17","2.1","4.84"," 2/92 ","Q1","Q1","97.3","98.37","0.015","3.316","9.737","Q1",
"PSYCHOLOGICAL BULLETIN","PSYCHOL BULL","0033-2909","1939-1455","PSYCHOLOGY, MULTIDISCIPLINARY","SSCI","57,102","17.3"," 3/218 ","24.1","Q1","17","2.1","4.84"," 4/218 ","Q1","Q1","98.9","98.39","0.015","3.316","9.737","Q1",
"Nature Plants","NAT PLANTS","2055-026X","2055-0278","PLANT SCIENCES","SCIE","16,103","15.8"," 4/265 ","17.1","Q1","15.4","2.8","4.44"," 2/265 ","Q1","Q1","98.7","99.43","0.031","6.832","5.921","Q1",
"Science Immunology","SCI IMMUNOL","2470-9468","2470-9468","IMMUNOLOGY","SCIE","12,436","17.6"," 6/181 ","19.1","Q1","17.4","3.7","4.18"," 4/181 ","Q1","Q1","97.0","98.07","0.042","9.225","9.259","Q1",
"Nature Food","NAT FOOD","N/A","2662-1355","FOOD SCIENCE & TECHNOLOGY","SCIE","7,059","23.6"," 1/173 ","25","Q1","22.7","3.8","4.02"," 1/173 ","Q1","Q1","99.7","99.71","0.016","3.487","7.156","Q1",
"Estudios Romanicos","ESTUD ROMANICOS","0210-4911","1989-614X","LITERATURE, ROMANCE","ESCI","36","0.3"," N/A ","0.2","N/A","0.3","<0.1","3.93"," 1/116 ","Q1","N/A","N/A","99.57","0","0.052","0.229","Q2",
"ASTRONOMY AND ASTROPHYSICS REVIEW","ASTRON ASTROPHYS REV","0935-4956","1432-0754","ASTRONOMY & ASTROPHYSICS","SCIE","2,942","27.8"," 1/84 ","29.1","Q1","27.6","4","3.63"," 2/84 ","Q1","Q1","99.4","98.21","0.004","0.911","13.239","Q1",
"Molecular Neurodegeneration","MOL NEURODEGENER","N/A","1750-1326","NEUROSCIENCES","SCIE","9,787","14.9"," 8/310 ","16.7","Q1","14.5","2.4","3.12"," 8/310 ","Q1","Q1","97.6","97.58","0.014","3.063","5.384","Q1",
"Global Sixties","GLOB SIXTIES","2770-8888","2770-890X","HISTORY","ESCI","8","1"," 20/518 ","1","Q1","0.8","0.3","3.02"," 10/519 ","Q1","Q1","96.2","98.17","0","0.002","0.33","Q2",
"Applied Catalysis B-Environment and Energy","APPL CATAL B-ENVIRON","0926-3373","1873-3883","CHEMISTRY, PHYSICAL","SCIE","162,514","20.2"," 7/178 ","18.9","Q1","18.9","4","2.99"," 6/178 ","Q1","Q1","96.3","96.91","0.149","32.629","3.172","Q1",
"Applied Catalysis B-Environment and Energy","APPL CATAL B-ENVIRON","0926-3373","1873-3883","ENGINEERING, CHEMICAL","SCIE","162,514","20.2"," 4/170 ","18.9","Q1","18.9","4","2.99"," 2/171 ","Q1","Q1","97.9","99.12","0.149","32.629","3.172","Q1",
"Applied Catalysis B-Environment and Energy","APPL CATAL B-ENVIRON","0926-3373","1873-3883","ENGINEERING, ENVIRONMENTAL","SCIE","162,514","20.2"," 1/81 ","18.9","Q1","18.9","4","2.99"," 1/81 ","Q1","Q1","99.4","99.38","0.149","32.629","3.172","Q1",
"Autism in Adulthood","AUTISM ADULTHOOD","2573-9581","2573-959X","PSYCHOLOGY, DEVELOPMENTAL","ESCI","1,241","9.5"," 1/91 ","8.1","Q1","8.5","0.9","2.98"," 2/91 ","Q1","Q1","99.5","98.35","0.003","0.713","2.679","Q1",
"Autism in Adulthood","AUTISM ADULTHOOD","2573-9581","2573-959X","REHABILITATION","ESCI","1,241","9.5"," 2/169 ","8.1","Q1","8.5","0.9","2.98"," 2/169 ","Q1","Q1","99.1","99.11","0.003","0.713","2.679","Q1",
"European Journal of Risk Regulation","EUR J RISK REGUL","1867-299X","2190-8249","LAW","ESCI","800","1.8"," 44/421 ","1.8","Q1","1.6","0.4","2.9"," 7/421 ","Q1","Q1","89.7","98.46","0.001","0.254","0.56","Q2",
"PHARMACOLOGICAL REVIEWS","PHARMACOL REV","0031-6997","1521-0081","PHARMACOLOGY & PHARMACY","SCIE","12,604","19.3"," 2/354 ","22.1","Q1","19.3","4.9","2.89"," 4/354 ","Q1","Q1","99.6","99.01","0.008","1.743","6.592","Q1",
"Journal of Literary Theory","J LIT THEORY","1862-5290","1862-8990","LITERARY THEORY & CRITICISM","ESCI","118","0.6"," N/A ","0.4","N/A","0.5","0.1","2.62"," 5/51 ","Q1","N/A","N/A","91.18","0","0.026","0.245","Q2",
"Studia Aurea-Revista de Literatura Espanola y Teoria Literaria del Renacimiento y Siglo de Oro","STUD AUREA","1988-1088","1988-1088","LITERATURE, ROMANCE","ESCI","82","0.4"," N/A ","0.3","N/A","0.4","<0.1","2.44"," 9/116 ","Q1","N/A","N/A","92.67","0","0.092","0.56","Q1",
"ENVIRONMENTAL HEALTH PERSPECTIVES","ENVIRON HEALTH PERSP","0091-6765","1552-9924","ENVIRONMENTAL SCIENCES","SCIE","39,172","10.1"," 22/358 ","10.3","Q1","9.5","2","2.41"," 7/359 ","Q1","Q1","94.0","98.19","0.016","3.602","3.074","Q1",
"ENVIRONMENTAL HEALTH PERSPECTIVES","ENVIRON HEALTH PERSP","0091-6765","1552-9924","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE","39,172","10.1"," 10/403 ","10.3","Q1","9.5","2","2.41"," 14/403 ","Q1","Q1","97.6","96.65","0.016","3.602","3.074","Q1",
"ENVIRONMENTAL HEALTH PERSPECTIVES","ENVIRON HEALTH PERSP","0091-6765","1552-9924","TOXICOLOGY","SCIE","39,172","10.1"," 3/106 ","10.3","Q1","9.5","2","2.41"," 2/106 ","Q1","Q1","97.6","98.58","0.016","3.602","3.074","Q1",
"Journal of Ocean Engineering and Science","J OCEAN ENG SCI","2468-0133","2468-0133","ENGINEERING, MARINE","SCIE","2,204","13"," 1/25 ","8.5","Q1","11.9","4","2.36"," 1/25 ","Q1","Q1","98.0","98.00","0.002","0.452","1.217","Q1",
"Journal of Ocean Engineering and Science","J OCEAN ENG SCI","2468-0133","2468-0133","ENGINEERING, OCEAN","SCIE","2,204","13"," 1/18 ","8.5","Q1","11.9","4","2.36"," 1/18 ","Q1","Q1","97.2","97.22","0.002","0.452","1.217","Q1",
"JOURNAL OF CULTURAL HERITAGE","J CULT HERIT","1296-2074","1778-3674","ARCHAEOLOGY","AHCI","6,530","3.5"," N/A ","3.6","N/A","3.2","0.5","2.26"," 4/163 ","Q1","N/A","N/A","97.85","0.005","0.99","0.619","Q1",
"JOURNAL OF CULTURAL HERITAGE","J CULT HERIT","1296-2074","1778-3674","ART","AHCI","6,530","3.5"," N/A ","3.6","N/A","3.2","0.5","2.26"," 4/142 ","Q1","N/A","N/A","97.54","0.005","0.99","0.619","Q1",
"JOURNAL OF CULTURAL HERITAGE","J CULT HERIT","1296-2074","1778-3674","CHEMISTRY, ANALYTICAL","SCIE","6,530","3.5"," 32/106 ","3.6","Q2","3.2","0.5","2.26"," 3/106 ","Q1","Q2","70.3","97.64","0.005","0.99","0.619","Q2",
