"Journal Data Filtered By:  Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2023 Selected Category Schema: WOS Selected Open Access: N Selected ISSN/eISSNs: Multiple Indicator: Custom"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Edition,Total Citations,2023 JIF,JIF Rank,5 Year JIF,5 Year JIF Quartile,JIF Without Self Cites,Immediacy Index,2023 JCI,JCI Rank,JCI Quartile,JIF Quartile,JIF Percentile,JCI Percentile,Eigenfactor,Normalized Eigenfactor,Article Influence Score,AIS Quartile
"NATURE","NATURE","0028-0836","1476-4687","MULTIDISCIPLINARY SCIENCES","SCIE","912,552","50.5"," 1/134 ","54.4","Q1","49.8","13.2","11.28"," 1/135 ","Q1","Q1","99.6","99.63","1.025","223.888","24.739","Q1",
"ACM COMPUTING SURVEYS","ACM COMPUT SURV","0360-0300","1557-7341","COMPUTER SCIENCE, THEORY & METHODS","SCIE","23,965","23.8"," 1/143 ","21.1","Q1","23.3","10","5.05"," 2/143 ","Q1","Q1","99.7","98.95","0.029","6.325","5.283","Q1",
"Nature Physics","NAT PHYS","1745-2473","1745-2481","PHYSICS, MULTIDISCIPLINARY","SCIE","48,457","17.6"," 5/110 ","19.3","Q1","17.3","4.2","4.78"," 1/110 ","Q1","Q1","95.9","99.55","0.076","16.654","9.372","Q1",
"Annual Review of Animal Biosciences","ANNU REV ANIM BIOSCI","2165-8102","2165-8110","AGRICULTURE, DAIRY & ANIMAL SCIENCE","SCIE","1,987","8.7"," 1/80 ","10.4","Q1","8.7","4.3","4.63"," 1/80 ","Q1","Q1","99.4","99.38","0.003","0.552","3.079","Q1",
"Annual Review of Animal Biosciences","ANNU REV ANIM BIOSCI","2165-8102","2165-8110","BIOTECHNOLOGY & APPLIED MICROBIOLOGY","SCIE","1,987","8.7"," 11/174 ","10.4","Q1","8.7","4.3","4.63"," 3/174 ","Q1","Q1","94.0","98.56","0.003","0.552","3.079","Q1",
"Annual Review of Animal Biosciences","ANNU REV ANIM BIOSCI","2165-8102","2165-8110","VETERINARY SCIENCES","SCIE","1,987","8.7"," 1/167 ","10.4","Q1","8.7","4.3","4.63"," 1/168 ","Q1","Q1","99.7","99.70","0.003","0.552","3.079","Q1",
"Annual Review of Animal Biosciences","ANNU REV ANIM BIOSCI","2165-8102","2165-8110","ZOOLOGY","SCIE","1,987","8.7"," 1/180 ","10.4","Q1","8.7","4.3","4.63"," 1/180 ","Q1","Q1","99.7","99.72","0.003","0.552","3.079","Q1",
"ANESTHESIOLOGY","ANESTHESIOLOGY","0003-3022","1528-1175","ANESTHESIOLOGY","SCIE","29,192","9.1"," 1/64 ","8.5","Q1","8.5","2.8","3.37"," 1/64 ","Q1","Q1","99.2","99.22","0.018","3.858","2.806","Q1",
"REVIEWS OF GEOPHYSICS","REV GEOPHYS","8755-1209","1944-9208","GEOCHEMISTRY & GEOPHYSICS","SCIE","16,520","25.2"," 1/101 ","32.5","Q1","25.1","5.9","3"," 1/101 ","Q1","Q1","99.5","99.50","0.011","2.477","12.32","Q1",
"Journal of Magnesium and Alloys","J MAGNES ALLOY","2213-9567","2213-9567","METALLURGY & METALLURGICAL ENGINEERING","SCIE","11,729","15.8"," 1/90 ","14.8","Q1","13","4.4","2.97"," 1/91 ","Q1","Q1","99.4","99.45","0.01","2.18","1.966","Q1",
"Nueva Revista Filologia Hispanica","NUEVA REV FILOL HISP","0185-0121","2448-6558","LITERATURE, ROMANCE","ESCI","195","0.2"," N/A ","0.3","N/A","0.2","0.1","2.79"," 7/116 ","Q1","N/A","N/A","94.40","0","0.061","0.364","Q1",
"IEEE Transactions on Services Computing","IEEE T SERV COMPUT","1939-1374","1939-1374","COMPUTER SCIENCE, INFORMATION SYSTEMS","SCIE","5,444","5.5"," 36/249 ","5.9","Q1","4.7","1.6","2.76"," 4/251 ","Q1","Q1","85.7","98.61","0.007","1.489","1.265","Q1",
"IEEE Transactions on Services Computing","IEEE T SERV COMPUT","1939-1374","1939-1374","COMPUTER SCIENCE, SOFTWARE ENGINEERING","SCIE","5,444","5.5"," 10/131 ","5.9","Q1","4.7","1.6","2.76"," 3/131 ","Q1","Q1","92.7","98.09","0.007","1.489","1.265","Q1",
"Annual Review of Marine Science","ANNU REV MAR SCI","1941-1405","1941-0611","GEOCHEMISTRY & GEOPHYSICS","SCIE","6,230","14.3"," 3/101 ","15.5","Q1","14.2","12","2.5"," 3/101 ","Q1","Q1","97.5","97.52","0.005","1.051","5.745","Q1",
"Annual Review of Marine Science","ANNU REV MAR SCI","1941-1405","1941-0611","MARINE & FRESHWATER BIOLOGY","SCIE","6,230","14.3"," 1/119 ","15.5","Q1","14.2","12","2.5"," 1/119 ","Q1","Q1","99.6","99.58","0.005","1.051","5.745","Q1",
"Annual Review of Marine Science","ANNU REV MAR SCI","1941-1405","1941-0611","OCEANOGRAPHY","SCIE","6,230","14.3"," 1/65 ","15.5","Q1","14.2","12","2.5"," 1/65 ","Q1","Q1","99.2","99.23","0.005","1.051","5.745","Q1",
