"Journal Data Filtered By:  Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2023 Selected Category Schema: WOS Selected Open Access: N Selected ISSN/eISSNs: Multiple Indicator: Custom"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Edition,Total Citations,2023 JIF,JIF Rank,5 Year JIF,5 Year JIF Quartile,JIF Without Self Cites,Immediacy Index,2023 JCI,JCI Rank,JCI Quartile,JIF Quartile,JIF Percentile,JCI Percentile,Eigenfactor,Normalized Eigenfactor,Article Influence Score,AIS Quartile
"Lancet Child & Adolescent Health","LANCET CHILD ADOLESC","2352-4642","2352-4642","PEDIATRICS","SCIE","7,476","19.9"," 2/186 ","19.8","Q1","19.7","4.2","10.06"," 1/186 ","Q1","Q1","99.2","99.73","0.021","4.639","7.381","Q1",
"EUROPEAN UROLOGY","EUR UROL","0302-2838","1873-7560","UROLOGY & NEPHROLOGY","SCIE","36,311","25.3"," 2/126 ","19.4","Q1","24.6","8","6.66"," 2/126 ","Q1","Q1","98.8","98.81","0.04","8.829","6.604","Q1",
"FUNGAL DIVERSITY","FUNGAL DIVERS","1560-2745","1878-9129","MYCOLOGY","SCIE","6,411","24.5"," 1/33 ","24.1","Q1","22.5","4.7","6.03"," 1/33 ","Q1","Q1","98.5","98.48","0.004","0.956","5.173","Q1",
"Gastroenterology","GASTROENTEROLOGY","0016-5085","1528-0012","GASTROENTEROLOGY & HEPATOLOGY","SCIE","90,123","25.7"," 4/143 ","25.2","Q1","25.1","5.3","5.63"," 5/143 ","Q1","Q1","97.6","96.85","0.097","21.186","9.031","Q1",
"JAMA Oncology","JAMA ONCOL","2374-2437","2374-2445","ONCOLOGY","SCIE","28,299","22.5"," 12/322 ","25.9","Q1","22.2","4.9","4.87"," 10/322 ","Q1","Q1","96.4","97.05","0.072","15.645","11.115","Q1",
"Nature Geoscience","NAT GEOSCI","1752-0894","1752-0908","GEOSCIENCES, MULTIDISCIPLINARY","SCIE","36,778","15.7"," 2/253 ","18.8","Q1","15.4","3","4.28"," 2/253 ","Q1","Q1","99.4","99.41","0.048","10.41","8.175","Q1",
"EUROPEAN RESPIRATORY JOURNAL","EUR RESPIR J","0903-1936","1399-3003","RESPIRATORY SYSTEM","SCIE","54,345","16.6"," 4/100 ","17.6","Q1","16","11.2","3.72"," 4/101 ","Q1","Q1","96.5","96.53","0.06","13.095","5.93","Q1",
"Journal of Advanced Ceramics","J ADV CERAM","2226-4108","2227-8508","MATERIALS SCIENCE, CERAMICS","SCIE","7,463","18.6"," 1/31 ","15","Q1","16.6","3.3","3.67"," 1/31 ","Q1","Q1","98.4","98.39","0.008","1.754","2.368","Q1",
"SEMINARS IN CANCER BIOLOGY","SEMIN CANCER BIOL","1044-579X","1096-3650","ONCOLOGY","SCIE","17,818","12.1"," 21/322 ","13.2","Q1","11.8","4.7","3.32"," 15/322 ","Q1","Q1","93.6","95.50","0.022","4.753","2.833","Q1",
"Annual Review of Immunology","ANNU REV IMMUNOL","0732-0582","1545-3278","IMMUNOLOGY","SCIE","18,947","26.9"," 3/181 ","32","Q1","26.8","6.9","3.01"," 5/181 ","Q1","Q1","98.6","97.51","0.016","3.475","13.901","Q1",
"Engineering","ENGINEERING-PRC","2095-8099","2096-0026","ENGINEERING, MULTIDISCIPLINARY","SCIE","10,178","10.1"," 2/179 ","11.6","Q1","9.9","3.4","2.83"," 2/180 ","Q1","Q1","99.2","99.17","0.013","2.862","2.412","Q1",
"JOURNAL OF INFECTION","J INFECTION","0163-4453","1532-2742","INFECTIOUS DISEASES","SCIE","13,934","14.3"," 3/132 ","12.2","Q1","13.3","6.9","2.81"," 4/132 ","Q1","Q1","98.1","97.35","0.02","4.273","3.439","Q1",
"ECONOMETRICA","ECONOMETRICA","0012-9682","1468-0262","ECONOMICS","SSCI","44,504","6.6"," 25/597 ","8.2","Q1","6.4","1.5","2.73"," 8/600 ","Q1","Q1","95.9","98.75","0.044","9.671","14.237","Q1",
"ECONOMETRICA","ECONOMETRICA","0012-9682","1468-0262","MATHEMATICS, INTERDISCIPLINARY APPLICATIONS","SCIE","44,504","6.6"," 6/135 ","8.2","Q1","6.4","1.5","2.73"," 2/135 ","Q1","Q1","95.9","98.89","0.044","9.671","14.237","Q1",
"ECONOMETRICA","ECONOMETRICA","0012-9682","1468-0262","SOCIAL SCIENCES, MATHEMATICAL METHODS","SSCI","44,504","6.6"," 4/67 ","8.2","Q1","6.4","1.5","2.73"," 2/67 ","Q1","Q1","94.8","97.76","0.044","9.671","14.237","Q1",
"ECONOMETRICA","ECONOMETRICA","0012-9682","1468-0262","STATISTICS & PROBABILITY","SCIE","44,504","6.6"," 3/168 ","8.2","Q1","6.4","1.5","2.73"," 3/168 ","Q1","Q1","98.5","98.51","0.044","9.671","14.237","Q1",
"CLINICAL CANCER RESEARCH","CLIN CANCER RES","1078-0432","1557-3265","ONCOLOGY","SCIE","93,684","10"," 27/322 ","11.1","Q1","9.8","2.6","2.57"," 18/322 ","Q1","Q1","91.8","94.57","0.103","22.538","4.044","Q1",
