"Journal Data Filtered By:  Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2023 Selected Category Schema: WOS Selected Open Access: N Selected ISSN/eISSNs: Multiple Indicator: Custom"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Edition,Total Citations,2023 JIF,JIF Rank,5 Year JIF,5 Year JIF Quartile,JIF Without Self Cites,Immediacy Index,2023 JCI,JCI Rank,JCI Quartile,JIF Quartile,JIF Percentile,JCI Percentile,Eigenfactor,Normalized Eigenfactor,Article Influence Score,AIS Quartile
"JAMA Pediatrics","JAMA PEDIATR","2168-6203","2168-6211","PEDIATRICS","SCIE","18,881","24.7"," 1/186 ","20.4","Q1","24.2","4.5","7.79"," 2/186 ","Q1","Q1","99.7","99.19","0.04","8.816","8.659","Q1",
"Nature Human Behaviour","NAT HUM BEHAV","2397-3374","2397-3374","MULTIDISCIPLINARY SCIENCES","SCIE","14,996","21.4"," 5/134 ","20.4","Q1","21","3.7","6.21"," 4/135 ","Q1","Q1","96.6","97.41","0.048","10.577","9.343","Q1",
"Nature Human Behaviour","NAT HUM BEHAV","2397-3374","2397-3374","NEUROSCIENCES","SCIE","14,996","21.4"," 3/310 ","20.4","Q1","21","3.7","6.21"," 1/310 ","Q1","Q1","99.2","99.84","0.048","10.577","9.343","Q1",
"Nature Human Behaviour","NAT HUM BEHAV","2397-3374","2397-3374","PSYCHOLOGY, EXPERIMENTAL","SSCI","14,996","21.4"," 1/99 ","20.4","Q1","21","3.7","6.21"," 1/99 ","Q1","Q1","99.5","99.49","0.048","10.577","9.343","Q1",
"Journal of Thoracic Oncology","J THORAC ONCOL","1556-0864","1556-1380","ONCOLOGY","SCIE","25,813","21"," 13/322 ","16.5","Q1","20.1","5.2","4.26"," 12/322 ","Q1","Q1","96.1","96.43","0.039","8.523","6.191","Q1",
"Journal of Thoracic Oncology","J THORAC ONCOL","1556-0864","1556-1380","RESPIRATORY SYSTEM","SCIE","25,813","21"," 2/100 ","16.5","Q1","20.1","5.2","4.26"," 2/101 ","Q1","Q1","98.5","98.51","0.039","8.523","6.191","Q1",
"Arthritis & Rheumatology","ARTHRITIS RHEUMATOL","2326-5191","2326-5205","RHEUMATOLOGY","SCIE","19,425","11.4"," 4/57 ","11.4","Q1","11.2","2.4","3.32"," 4/57 ","Q1","Q1","93.9","93.86","0.033","7.157","4.028","Q1",
"GLOBAL CHANGE BIOLOGY","GLOBAL CHANGE BIOL","1354-1013","1365-2486","BIODIVERSITY CONSERVATION","SCIE","68,820","10.8"," 1/74 ","13","Q1","10.3","2.3","2.5"," 1/74 ","Q1","Q1","99.3","99.32","0.074","16.204","3.956","Q1",
"GLOBAL CHANGE BIOLOGY","GLOBAL CHANGE BIOL","1354-1013","1365-2486","ECOLOGY","SCIE","68,820","10.8"," 4/195 ","13","Q1","10.3","2.3","2.5"," 3/195 ","Q1","Q1","98.2","98.72","0.074","16.204","3.956","Q1",
"GLOBAL CHANGE BIOLOGY","GLOBAL CHANGE BIOL","1354-1013","1365-2486","ENVIRONMENTAL SCIENCES","SCIE","68,820","10.8"," 18/358 ","13","Q1","10.3","2.3","2.5"," 6/359 ","Q1","Q1","95.1","98.47","0.074","16.204","3.956","Q1",
