"Journal Data Filtered By:  Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2023 Selected Category Schema: WOS Selected Open Access: N Selected ISSN/eISSNs: Multiple Indicator: Custom"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Edition,Total Citations,2023 JIF,JIF Rank,5 Year JIF,5 Year JIF Quartile,JIF Without Self Cites,Immediacy Index,2023 JCI,JCI Rank,JCI Quartile,JIF Quartile,JIF Percentile,JCI Percentile,Eigenfactor,Normalized Eigenfactor,Article Influence Score,AIS Quartile
"NATURE REVIEWS MOLECULAR CELL BIOLOGY","NAT REV MOL CELL BIO","1471-0072","1471-0080","CELL BIOLOGY","SCIE","65,632","81.3"," 1/205 ","115.5","Q1","81","11.3","8.76"," 3/205 ","Q1","Q1","99.8","98.78","0.082","17.95","42.346","Q1",
"Transactions of the Association for Computational Linguistics","T ASSOC COMPUT LING","N/A","2307-387X","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","3,505","4.2"," 59/197 ","N/A","N/A","3.8","0.3","5.98"," 2/198 ","Q1","Q2","70.3","99.24","0.005","1.174","N/A","N/A",
"Transactions of the Association for Computational Linguistics","T ASSOC COMPUT LING","N/A","2307-387X","LANGUAGE & LINGUISTICS","AHCI","3,505","4.2"," N/A ","N/A","N/A","3.8","0.3","5.98"," 1/393 ","Q1","N/A","N/A","99.87","0.005","1.174","N/A","N/A",
"Transactions of the Association for Computational Linguistics","T ASSOC COMPUT LING","N/A","2307-387X","LINGUISTICS","SSCI","3,505","4.2"," 6/297 ","N/A","N/A","3.8","0.3","5.98"," 1/297 ","Q1","Q1","98.1","99.83","0.005","1.174","N/A","N/A",
"NATURE NEUROSCIENCE","NAT NEUROSCI","1097-6256","1546-1726","NEUROSCIENCES","SCIE","69,714","21.2"," 4/310 ","25.6","Q1","20.8","4","5.85"," 2/310 ","Q1","Q1","98.9","99.52","0.095","20.801","13.936","Q1",
"Molecular Cancer","MOL CANCER","N/A","1476-4598","BIOCHEMISTRY & MOLECULAR BIOLOGY","SCIE","36,560","27.7"," 4/313 ","31.3","Q1","27.1","6","5.26"," 3/313 ","Q1","Q1","98.9","99.20","0.047","10.323","6.95","Q1",
"Molecular Cancer","MOL CANCER","N/A","1476-4598","ONCOLOGY","SCIE","36,560","27.7"," 10/322 ","31.3","Q1","27.1","6","5.26"," 9/322 ","Q1","Q1","97.0","97.36","0.047","10.323","6.95","Q1",
"Nature Cancer","NAT CANCER","N/A","2662-1347","ONCOLOGY","SCIE","6,853","23.5"," 11/322 ","24.6","Q1","23.2","4.4","4.87"," 10/322 ","Q1","Q1","96.7","97.05","0.027","5.876","12.381","Q1",
"EUROPEAN JOURNAL OF HEART FAILURE","EUR J HEART FAIL","1388-9842","1879-0844","CARDIAC & CARDIOVASCULAR SYSTEMS","SCIE","21,438","16.9"," 5/220 ","16.2","Q1","14.3","3.6","3.77"," 7/220 ","Q1","Q1","98.0","97.05","0.037","8.016","6.012","Q1",
"IEEE JOURNAL ON SELECTED AREAS IN COMMUNICATIONS","IEEE J SEL AREA COMM","0733-8716","1558-0008","ENGINEERING, ELECTRICAL & ELECTRONIC","SCIE","24,401","13.8"," 6/352 ","13.1","Q1","13.1","2.6","3.67"," 4/354 ","Q1","Q1","98.4","99.01","0.04","8.737","4.445","Q1",
"IEEE JOURNAL ON SELECTED AREAS IN COMMUNICATIONS","IEEE J SEL AREA COMM","0733-8716","1558-0008","TELECOMMUNICATIONS","SCIE","24,401","13.8"," 2/119 ","13.1","Q1","13.1","2.6","3.67"," 2/119 ","Q1","Q1","98.7","98.74","0.04","8.737","4.445","Q1",
"Advanced Energy Materials","ADV ENERGY MATER","1614-6832","1614-6840","CHEMISTRY, PHYSICAL","SCIE","131,887","24.4"," 6/178 ","27.2","Q1","23.3","4.5","3.6"," 5/178 ","Q1","Q1","96.9","97.47","0.182","39.759","6.099","Q1",
"Advanced Energy Materials","ADV ENERGY MATER","1614-6832","1614-6840","ENERGY & FUELS","SCIE","131,887","24.4"," 5/170 ","27.2","Q1","23.3","4.5","3.6"," 4/173 ","Q1","Q1","97.4","97.98","0.182","39.759","6.099","Q1",
"Advanced Energy Materials","ADV ENERGY MATER","1614-6832","1614-6840","MATERIALS SCIENCE, MULTIDISCIPLINARY","SCIE","131,887","24.4"," 13/438 ","27.2","Q1","23.3","4.5","3.6"," 10/438 ","Q1","Q1","97.1","97.83","0.182","39.759","6.099","Q1",
"Advanced Energy Materials","ADV ENERGY MATER","1614-6832","1614-6840","PHYSICS, APPLIED","SCIE","131,887","24.4"," 8/179 ","27.2","Q1","23.3","4.5","3.6"," 5/179 ","Q1","Q1","95.8","97.49","0.182","39.759","6.099","Q1",
"Advanced Energy Materials","ADV ENERGY MATER","1614-6832","1614-6840","PHYSICS, CONDENSED MATTER","SCIE","131,887","24.4"," 4/79 ","27.2","Q1","23.3","4.5","3.6"," 3/79 ","Q1","Q1","95.6","96.84","0.182","39.759","6.099","Q1",
"BLOOD","BLOOD","0006-4971","1528-0020","HEMATOLOGY","SCIE","168,059","21"," 2/97 ","19.2","Q1","20.1","5","3.53"," 4/97 ","Q1","Q1","98.5","96.39","0.147","32.169","7.366","Q1",
"National Science Review","NATL SCI REV","2095-5138","2053-714X","MULTIDISCIPLINARY SCIENCES","SCIE","15,536","16.3"," 7/134 ","18.6","Q1","16","5.2","3.27"," 9/135 ","Q1","Q1","95.1","93.70","0.028","6.06","5.219","Q1",
"HEPATOLOGY","HEPATOLOGY","0270-9139","1527-3350","GASTROENTEROLOGY & HEPATOLOGY","SCIE","74,972","12.9"," 7/143 ","15.5","Q1","12.3","4.1","3.18"," 6/143 ","Q1","Q1","95.5","96.15","0.074","16.272","5.356","Q1",
