"Journal Data Filtered By:  Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2023 Selected Category Schema: WOS Selected Open Access: N Selected ISSN/eISSNs: Multiple Indicator: Custom"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Edition,Total Citations,2023 JIF,JIF Quartile,2023 JCI,JIF Rank,5 Year JIF,5 Year JIF Quartile,JIF Without Self Cites,Immediacy Index,JCI Rank,JCI Quartile,JCI Percentile,Eigenfactor,Normalized Eigenfactor,Article Influence Score,JIF Percentile,AIS Quartile
"International Journal of Pharmaceutics","INT J PHARMACEUT","0378-5173","1873-3476","PHARMACOLOGY & PHARMACY","SCIE","63,052","5.3","Q1","1.63"," 34/354 ","5.6","Q1","4.9","1.2"," 23/354 ","Q1","93.64","0.03","6.531","0.748","90.5","Q2",
"Nature Protocols","NAT PROTOC","1754-2189","1750-2799","BIOCHEMICAL RESEARCH METHODS","SCIE","52,708","13.1","Q1","3.58"," 2/85 ","17.4","Q1","13","2.6"," 2/85 ","Q1","98.24","0.049","10.71","7.291","98.2","Q1",
"JOURNAL OF UROLOGY","J UROLOGY","0022-5347","1527-3792","UROLOGY & NEPHROLOGY","SCIE","42,313","5.9","Q1","2.16"," 10/126 ","5.9","Q1","5.5","3.5"," 10/126 ","Q1","92.46","0.023","5.058","1.995","92.5","Q1",
"ARCHIVES OF PHYSICAL MEDICINE AND REHABILITATION","ARCH PHYS MED REHAB","0003-9993","1532-821X","REHABILITATION","SCIE","25,806","3.6","Q1","1.62"," 9/169 ","3.9","Q1","3.4","1"," 12/169 ","Q1","93.20","0.013","2.89","1.207","95.0","Q1",
"ARCHIVES OF PHYSICAL MEDICINE AND REHABILITATION","ARCH PHYS MED REHAB","0003-9993","1532-821X","SPORT SCIENCES","SCIE","25,806","3.6","Q1","1.62"," 14/127 ","3.9","Q1","3.4","1"," 9/127 ","Q1","93.31","0.013","2.89","1.207","89.4","Q1",
"BIOMETRIKA","BIOMETRIKA","0006-3444","1464-3510","BIOLOGY","SCIE","25,509","2.4","Q2","0.92"," 39/109 ","3.1","Q2","2.3","0.5"," 24/109 ","Q1","78.44","0.012","2.596","3.529","64.7","Q1",
"BIOMETRIKA","BIOMETRIKA","0006-3444","1464-3510","MATHEMATICAL & COMPUTATIONAL BIOLOGY","SCIE","25,509","2.4","Q2","0.92"," 24/65 ","3.1","Q2","2.3","0.5"," 17/65 ","Q1","74.62","0.012","2.596","3.529","63.8","Q1",
"BIOMETRIKA","BIOMETRIKA","0006-3444","1464-3510","STATISTICS & PROBABILITY","SCIE","25,509","2.4","Q1","0.92"," 22/168 ","3.1","Q1","2.3","0.5"," 23/168 ","Q1","86.61","0.012","2.596","3.529","87.2","Q1",
"PROCEEDINGS OF THE ROYAL SOCIETY A-MATHEMATICAL PHYSICAL AND ENGINEERING SCIENCES","P ROY SOC A-MATH PHY","1364-5021","1471-2946","MULTIDISCIPLINARY SCIENCES","SCIE","23,115","2.9","Q1","0.83"," 31/134 ","3.2","Q1","2.8","0.6"," 36/135 ","Q2","73.70","0.013","2.756","1.124","77.2","Q1",
"PHYTOTHERAPY RESEARCH","PHYTOTHER RES","0951-418X","1099-1573","CHEMISTRY, MEDICINAL","SCIE","23,111","6.1","Q1","1.25"," 7/72 ","7","Q1","5.8","1.1"," 13/72 ","Q1","82.64","0.013","2.886","1.036","91.0","Q1",
