"Journal Data Filtered By:  Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2023 Selected Category Schema: WOS Selected Open Access: N Selected ISSN/eISSNs: Multiple Indicator: Custom"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Edition,Total Citations,2023 JIF,JIF Quartile,2023 JCI,JIF Rank,5 Year JIF,5 Year JIF Quartile,JIF Without Self Cites,Immediacy Index,JCI Rank,JCI Quartile,JCI Percentile,Eigenfactor,Normalized Eigenfactor,Article Influence Score,JIF Percentile,AIS Quartile
"CELL","CELL","0092-8674","1097-4172","BIOCHEMISTRY & MOLECULAR BIOLOGY","SCIE","305,198","45.5","Q1","10.01"," 2/313 ","49","Q1","45","10.7"," 2/313 ","Q1","99.52","0.391","85.526","24.225","99.5","Q1",
"CELL","CELL","0092-8674","1097-4172","CELL BIOLOGY","SCIE","305,198","45.5","Q1","10.01"," 4/205 ","49","Q1","45","10.7"," 2/205 ","Q1","99.27","0.391","85.526","24.225","98.3","Q1",
"Nanoscale","NANOSCALE","2040-3364","2040-3372","CHEMISTRY, MULTIDISCIPLINARY","SCIE","118,942","5.8","Q1","0.98"," 56/230 ","6.1","Q1","5.5","1.2"," 56/231 ","Q1","75.97","0.101","22.081","1.141","75.9","Q1",
"Nanoscale","NANOSCALE","2040-3364","2040-3372","MATERIALS SCIENCE, MULTIDISCIPLINARY","SCIE","118,942","5.8","Q1","0.98"," 109/438 ","6.1","Q1","5.5","1.2"," 114/438 ","Q1","74.09","0.101","22.081","1.141","75.2","Q2",
"Nanoscale","NANOSCALE","2040-3364","2040-3372","NANOSCIENCE & NANOTECHNOLOGY","SCIE","118,942","5.8","Q2","0.98"," 42/140 ","6.1","Q2","5.5","1.2"," 42/140 ","Q1","70.36","0.101","22.081","1.141","70.4","Q2",
"Nanoscale","NANOSCALE","2040-3364","2040-3372","PHYSICS, APPLIED","SCIE","118,942","5.8","Q1","0.98"," 33/179 ","6.1","Q1","5.5","1.2"," 42/179 ","Q1","76.82","0.101","22.081","1.141","81.8","Q1",
"NEUROIMAGE","NEUROIMAGE","1053-8119","1095-9572","NEUROIMAGING","SCIE","107,771","4.7","Q1","1.49"," 1/15 ","6.1","Q1","4.3","0.9"," 2/15 ","Q1","90.00","0.091","19.92","2.263","96.7","Q1",
"NEUROIMAGE","NEUROIMAGE","1053-8119","1095-9572","NEUROSCIENCES","SCIE","107,771","4.7","Q1","1.49"," 63/310 ","6.1","Q1","4.3","0.9"," 33/310 ","Q1","89.52","0.091","19.92","2.263","79.8","Q1",
"NEUROIMAGE","NEUROIMAGE","1053-8119","1095-9572","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING","SCIE","107,771","4.7","Q1","1.49"," 22/204 ","6.1","Q1","4.3","0.9"," 21/204 ","Q1","89.95","0.091","19.92","2.263","89.5","Q1",
"ACS Omega","ACS OMEGA","2470-1343","2470-1343","CHEMISTRY, MULTIDISCIPLINARY","SCIE","72,245","3.7","Q2","0.67"," 84/230 ","4","Q2","3.5","0.9"," 87/231 ","Q2","62.55","0.086","18.755","0.637","63.7","Q2",
