"Journal Data Filtered By:  Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2023 Selected Category Schema: WOS Selected Open Access: N Selected ISSN/eISSNs: Multiple Indicator: Custom"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Edition,Total Citations,2023 JIF,JIF Quartile,2023 JCI,JIF Rank,5 Year JIF,5 Year JIF Quartile,JIF Without Self Cites,Immediacy Index,JCI Rank,JCI Quartile,JCI Percentile,Eigenfactor,Normalized Eigenfactor,Article Influence Score,JIF Percentile,AIS Quartile
"INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES","INT J MOL SCI","1661-6596","1422-0067","BIOCHEMISTRY & MOLECULAR BIOLOGY","SCIE","346,651","4.9","Q1","0.71"," 66/313 ","5.6","Q1","4.3","1.2"," 134/313 ","Q2","57.35","0.431","94.124","1.053","79.1","Q2",
"INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES","INT J MOL SCI","1661-6596","1422-0067","CHEMISTRY, MULTIDISCIPLINARY","SCIE","346,651","4.9","Q2","0.71"," 67/230 ","5.6","Q2","4.3","1.2"," 83/231 ","Q2","64.29","0.431","94.124","1.053","71.1","Q2",
"Sustainability","SUSTAINABILITY-BASEL","N/A","2071-1050","ENVIRONMENTAL SCIENCES","SCIE","229,213","3.3","Q2","0.68"," 159/358 ","3.6","Q2","2.7","1"," 161/359 ","Q2","55.29","0.236","51.545","0.533","55.7","Q3",
"Sustainability","SUSTAINABILITY-BASEL","N/A","2071-1050","ENVIRONMENTAL STUDIES","SSCI","229,213","3.3","Q2","0.68"," 66/182 ","3.6","Q2","2.7","1"," 96/184 ","Q2","48.10","0.236","51.545","0.533","64.0","Q3",
"Sustainability","SUSTAINABILITY-BASEL","N/A","2071-1050","GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY","SCIE, SSCI","229,213","3.3","Q3","0.68"," 58/91 ","3.6","Q3","2.7","1"," 49/91 ","Q2","46.70","0.236","51.545","0.533","36.8","Q3",
"IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE","IEEE T PATTERN ANAL","0162-8828","1939-3539","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","84,194","20.8","Q1","5.7"," 2/197 ","22.2","Q1","19.6","5.4"," 3/198 ","Q1","98.74","0.094","20.606","6.861","99.2","Q1",
"IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE","IEEE T PATTERN ANAL","0162-8828","1939-3539","ENGINEERING, ELECTRICAL & ELECTRONIC","SCIE","84,194","20.8","Q1","5.7"," 3/352 ","22.2","Q1","19.6","5.4"," 2/354 ","Q1","99.58","0.094","20.606","6.861","99.3","Q1",
"Immunity","IMMUNITY","1074-7613","1097-4180","IMMUNOLOGY","SCIE","72,423","25.5","Q1","4.86"," 4/181 ","33.2","Q1","25","5.2"," 3/181 ","Q1","98.62","0.096","21.004","14.53","98.1","Q1",
"MATERIALS LETTERS","MATER LETT","0167-577X","1873-4979","MATERIALS SCIENCE, MULTIDISCIPLINARY","SCIE","56,850","2.7","Q3","0.6"," 238/438 ","2.7","Q3","2.6","0.7"," 206/438 ","Q2","53.08","0.033","7.249","0.408","45.8","Q3",
"MATERIALS LETTERS","MATER LETT","0167-577X","1873-4979","PHYSICS, APPLIED","SCIE","56,850","2.7","Q2","0.6"," 76/179 ","2.7","Q2","2.6","0.7"," 76/179 ","Q2","57.82","0.033","7.249","0.408","57.8","Q3",
"PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES","P ROY SOC B-BIOL SCI","0962-8452","1471-2954","BIOLOGY","SCIE","56,545","3.8","Q1","1.13"," 18/109 ","4.7","Q1","3.7","0.8"," 18/109 ","Q1","83.94","0.042","9.132","1.767","83.9","Q1",
