"Journal Data Filtered By:  Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2023 Selected Category Schema: WOS Selected Open Access: N Selected ISSN/eISSNs: Multiple Indicator: Custom"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Edition,Total Citations,2023 JIF,JIF Quartile,2023 JCI,JIF Rank,5 Year JIF,5 Year JIF Quartile,JIF Without Self Cites,Immediacy Index,JCI Rank,JCI Quartile,JCI Percentile,Eigenfactor,Normalized Eigenfactor,Article Influence Score,JIF Percentile,AIS Quartile
"PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA","P NATL ACAD SCI USA","0027-8424","1091-6490","MULTIDISCIPLINARY SCIENCES","SCIE","730,197","9.4","Q1","2.39"," 13/134 ","10.8","Q1","9.2","2.2"," 14/135 ","Q1","90.00","0.621","135.726","4.348","90.7","Q1",
"APPLIED SURFACE SCIENCE","APPL SURF SCI","0169-4332","1873-5584","CHEMISTRY, PHYSICAL","SCIE","178,149","6.3","Q2","1.26"," 48/178 ","5.9","Q2","6","1.9"," 35/178 ","Q1","80.62","0.134","29.261","0.893","73.3","Q2",
"APPLIED SURFACE SCIENCE","APPL SURF SCI","0169-4332","1873-5584","MATERIALS SCIENCE, COATINGS & FILMS","SCIE","178,149","6.3","Q1","1.26"," 3/23 ","5.9","Q1","6","1.9"," 1/23 ","Q1","97.83","0.134","29.261","0.893","89.1","Q1",
"APPLIED SURFACE SCIENCE","APPL SURF SCI","0169-4332","1873-5584","PHYSICS, APPLIED","SCIE","178,149","6.3","Q1","1.26"," 29/179 ","5.9","Q1","6","1.9"," 28/179 ","Q1","84.64","0.134","29.261","0.893","84.1","Q2",
"APPLIED SURFACE SCIENCE","APPL SURF SCI","0169-4332","1873-5584","PHYSICS, CONDENSED MATTER","SCIE","178,149","6.3","Q1","1.26"," 17/79 ","5.9","Q1","6","1.9"," 12/79 ","Q1","85.44","0.134","29.261","0.893","79.1","Q2",
"Nano Energy","NANO ENERGY","2211-2855","2211-3282","CHEMISTRY, PHYSICAL","SCIE","113,862","16.8","Q1","2.74"," 12/178 ","16.3","Q1","15.8","3.4"," 10/178 ","Q1","94.66","0.137","29.826","3.106","93.5","Q1",
"Nano Energy","NANO ENERGY","2211-2855","2211-3282","MATERIALS SCIENCE, MULTIDISCIPLINARY","SCIE","113,862","16.8","Q1","2.74"," 24/438 ","16.3","Q1","15.8","3.4"," 17/438 ","Q1","96.23","0.137","29.826","3.106","94.6","Q1",
"Nano Energy","NANO ENERGY","2211-2855","2211-3282","NANOSCIENCE & NANOTECHNOLOGY","SCIE","113,862","16.8","Q1","2.74"," 10/140 ","16.3","Q1","15.8","3.4"," 8/140 ","Q1","94.64","0.137","29.826","3.106","93.2","Q1",
"Nano Energy","NANO ENERGY","2211-2855","2211-3282","PHYSICS, APPLIED","SCIE","113,862","16.8","Q1","2.74"," 10/179 ","16.3","Q1","15.8","3.4"," 8/179 ","Q1","95.81","0.137","29.826","3.106","94.7","Q1",
"LWT-FOOD SCIENCE AND TECHNOLOGY","LWT-FOOD SCI TECHNOL","0023-6438","1096-1127","FOOD SCIENCE & TECHNOLOGY","SCIE","71,207","6","Q1","1.34"," 20/173 ","6","Q1","5.6","1.1"," 17/173 ","Q1","90.46","0.048","10.531","0.785","88.7","Q1",
