"Journal Data Filtered By:  Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2023 Selected Category Schema: WOS Selected Open Access: N Selected ISSN/eISSNs: Multiple Indicator: Custom"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Edition,Total Citations,2023 JIF,JIF Rank,5 Year JIF,5 Year JIF Quartile,JIF Without Self Cites,Immediacy Index,2023 JCI,JCI Rank,JCI Quartile,JIF Quartile,JIF Percentile,JCI Percentile,Eigenfactor,Normalized Eigenfactor,Article Influence Score,AIS Quartile
"Nano-Micro Letters","NANO-MICRO LETT","2311-6706","2150-5551","MATERIALS SCIENCE, MULTIDISCIPLINARY","SCIE","24,745","31.6"," 8/438 ","26","Q1","30","10.1","4.58"," 6/438 ","Q1","Q1","98.3","98.74","0.031","6.714","4.722","Q1",
"Nano-Micro Letters","NANO-MICRO LETT","2311-6706","2150-5551","NANOSCIENCE & NANOTECHNOLOGY","SCIE","24,745","31.6"," 3/140 ","26","Q1","30","10.1","4.58"," 2/140 ","Q1","Q1","98.2","98.93","0.031","6.714","4.722","Q1",
"Nano-Micro Letters","NANO-MICRO LETT","2311-6706","2150-5551","PHYSICS, APPLIED","SCIE","24,745","31.6"," 4/179 ","26","Q1","30","10.1","4.58"," 3/179 ","Q1","Q1","98.0","98.60","0.031","6.714","4.722","Q1",
"Lancet Rheumatology","LANCET RHEUMATOL","2665-9913","2665-9913","RHEUMATOLOGY","SCIE","3,211","15"," 3/57 ","14.7","Q1","14.6","4.1","4.58"," 3/57 ","Q1","Q1","95.6","95.61","0.009","1.972","5.364","Q1",
"INTENSIVE CARE MEDICINE","INTENS CARE MED","0342-4642","1432-1238","CRITICAL CARE MEDICINE","SCIE","30,470","27.1"," 2/54 ","24","Q1","25.9","6.6","4.55"," 2/55 ","Q1","Q1","97.2","97.27","0.038","8.217","8.69","Q1",
"Lancet Microbe","LANCET MICROBE","N/A","2666-5247","INFECTIOUS DISEASES","SCIE","4,532","20.9"," 2/132 ","23.4","Q1","20.4","7","4.47"," 2/132 ","Q1","Q1","98.9","98.86","0.012","2.566","8.483","Q1",
"Lancet Microbe","LANCET MICROBE","N/A","2666-5247","MICROBIOLOGY","SCIE","4,532","20.9"," 3/161 ","23.4","Q1","20.4","7","4.47"," 4/161 ","Q1","Q1","98.4","97.83","0.012","2.566","8.483","Q1",
"Research Integrity and Peer Review","RES INTEGR PEER REV","N/A","2058-8615","ETHICS","ESCI","866","7.2"," 2/77 ","8.9","Q1","6.9","3.5","3"," 2/77 ","Q1","Q1","98.1","98.05","0.002","0.417","3.542","Q1",
"Research Integrity and Peer Review","RES INTEGR PEER REV","N/A","2058-8615","HISTORY & PHILOSOPHY OF SCIENCE","ESCI","866","7.2"," 1/104 ","8.9","Q1","6.9","3.5","3"," 1/104 ","Q1","Q1","99.5","99.52","0.002","0.417","3.542","Q1",
"BRITISH JOURNAL FOR THE PHILOSOPHY OF SCIENCE","BRIT J PHILOS SCI","0007-0882","1464-3537","HISTORY & PHILOSOPHY OF SCIENCE","AHCI, SCIE, SSCI","2,452","3.2"," 5/104 ","2.7","Q1","3.1","1.2","2.89"," 2/104 ","Q1","Q1","95.7","98.56","0.003","0.659","1.522","Q1",
"Journal of Financial Regulation","J FINANC REGUL","2053-4833","2053-4841","LAW","ESCI","202","2"," 37/421 ","2.9","Q1","2","0.5","2.85"," 12/421 ","Q1","Q1","91.3","97.27","0","0.086","0.859","Q1",
"JAMA Network Open","JAMA NETW OPEN","2574-3805","2574-3805","MEDICINE, GENERAL & INTERNAL","SCIE","58,150","10.5"," 10/325 ","11","Q1","10.2","2","2.77"," 9/329 ","Q1","Q1","97.1","97.42","0.198","43.318","4.815","Q1",
"INVENTIONES MATHEMATICAE","INVENT MATH","0020-9910","1432-1297","MATHEMATICS","SCIE","11,404","2.6"," 12/489 ","3.3","Q1","2.6","0.6","2.49"," 8/489 ","Q1","Q1","97.6","98.47","0.014","3.092","4.311","Q1",
"Foundations and Trends in Computer Graphics and Vision","FOUND TRENDS COMPUT","1572-2740","1572-2759","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","ESCI","430","3.8"," 51/169 ","10.5","Q1","3.8","0.5","2.38"," 8/169 ","Q1","Q2","70.1","95.56","0","0.067","3.726","Q1",
"JOURNAL OF EXPERIMENTAL & CLINICAL CANCER RESEARCH","J EXP CLIN CANC RES","N/A","1756-9966","ONCOLOGY","SCIE","24,723","11.4"," 25/322 ","11.4","Q1","11.2","1.9","2.34"," 21/322 ","Q1","Q1","92.4","93.63","0.034","7.398","2.428","Q1",
"CANADIAN MEDICAL ASSOCIATION JOURNAL","CAN MED ASSOC J","0820-3946","1488-2329","MEDICINE, GENERAL & INTERNAL","SCIE","18,285","9.4"," 13/325 ","11.1","Q1","9","2.6","2.33"," 13/329 ","Q1","Q1","96.2","96.20","0.016","3.434","4.122","Q1",
"Economic History of Developing Regions","ECON HIST DEV REG","2078-0389","2078-0397","HISTORY","ESCI","196","0.9"," 25/518 ","1.4","Q1","0.8","0.1","2.33"," 23/519 ","Q1","Q1","95.3","95.66","0.001","0.123","1.08","Q1",
"PROGRESS IN ENERGY AND COMBUSTION SCIENCE","PROG ENERG COMBUST","0360-1285","1873-216X","ENERGY & FUELS","SCIE","17,065","32"," 4/170 ","36.8","Q1","31.7","10.7","2.32"," 7/173 ","Q1","Q1","97.9","96.24","0.01","2.259","7.334","Q1",
"PROGRESS IN ENERGY AND COMBUSTION SCIENCE","PROG ENERG COMBUST","0360-1285","1873-216X","ENGINEERING, CHEMICAL","SCIE","17,065","32"," 2/170 ","36.8","Q1","31.7","10.7","2.32"," 5/171 ","Q1","Q1","99.1","97.37","0.01","2.259","7.334","Q1",
"PROGRESS IN ENERGY AND COMBUSTION SCIENCE","PROG ENERG COMBUST","0360-1285","1873-216X","ENGINEERING, MECHANICAL","SCIE","17,065","32"," 1/180 ","36.8","Q1","31.7","10.7","2.32"," 3/180 ","Q1","Q1","99.7","98.61","0.01","2.259","7.334","Q1",
"PROGRESS IN ENERGY AND COMBUSTION SCIENCE","PROG ENERG COMBUST","0360-1285","1873-216X","THERMODYNAMICS","SCIE","17,065","32"," 1/76 ","36.8","Q1","31.7","10.7","2.32"," 1/76 ","Q1","Q1","99.3","99.34","0.01","2.259","7.334","Q1",
"TRENDS IN CARDIOVASCULAR MEDICINE","TRENDS CARDIOVAS MED","1050-1738","1873-2615","CARDIAC & CARDIOVASCULAR SYSTEMS","SCIE","4,023","7.3"," 23/220 ","7.3","Q1","7.1","5.4","2.26"," 13/220 ","Q1","Q1","89.8","94.32","0.004","0.861","1.88","Q1",
"Journal of Differential Equations","J DIFFER EQUATIONS","0022-0396","1090-2732","MATHEMATICS","SCIE","22,555","2.4"," 17/489 ","2.6","Q1","2.2","0.4","2.19"," 11/489 ","Q1","Q1","96.6","97.85","0.033","7.221","1.424","Q1",
"INFORMATION SCIENCES","INFORM SCIENCES","0020-0255","1872-6291","COMPUTER SCIENCE, INFORMATION SYSTEMS","SCIE","58,169","N/A"," N/A ","N/A","N/A","N/A","N/A","2.09"," 17/251 ","Q1","N/A","N/A","93.43","0.062","13.541","1.399","Q1",
"Journal of Law and the Biosciences","J LAW BIOSCI","2053-9711","2053-9711","ETHICS","SSCI","811","2.5"," 16/77 ","3","Q1","2.4","0.4","2.04"," 7/77 ","Q1","Q1","79.9","91.56","0.002","0.531","1.52","Q1",
"Journal of Law and the Biosciences","J LAW BIOSCI","2053-9711","2053-9711","LAW","SSCI","811","2.5"," 18/421 ","3","Q1","2.4","0.4","2.04"," 27/421 ","Q1","Q1","95.8","93.71","0.002","0.531","1.52","Q1",
"Journal of Law and the Biosciences","J LAW BIOSCI","2053-9711","2053-9711","MEDICAL ETHICS","SCIE","811","2.5"," 6/23 ","3","Q1","2.4","0.4","2.04"," 2/23 ","Q1","Q2","76.1","93.48","0.002","0.531","1.52","Q1",
"Journal of Law and the Biosciences","J LAW BIOSCI","2053-9711","2053-9711","MEDICINE, LEGAL","SCIE","811","2.5"," 3/23 ","3","Q1","2.4","0.4","2.04"," 1/23 ","Q1","Q1","89.1","97.83","0.002","0.531","1.52","Q1",
"JOURNAL OF INTERNAL MEDICINE","J INTERN MED","0954-6820","1365-2796","MEDICINE, GENERAL & INTERNAL","SCIE","14,604","9"," 16/325 ","10.5","Q1","8.9","1.4","1.98"," 18/329 ","Q1","Q1","95.2","94.68","0.015","3.315","3.188","Q1",
"INTERNATIONAL NURSING REVIEW","INT NURS REV","0020-8132","1466-7657","NURSING","SCIE, SSCI","2,903","3.8"," 6/191 ","4.1","Q1","3.4","0.4","1.95"," 5/191 ","Q1","Q1","97.1","97.64","0.003","0.566","0.88","Q1",
"COMMUNICATIONS ON PURE AND APPLIED MATHEMATICS","COMMUN PUR APPL MATH","0010-3640","1097-0312","MATHEMATICS","SCIE","10,849","3.1"," 9/489 ","3.7","Q1","3","0.4","1.92"," 19/489 ","Q1","Q1","98.3","96.22","0.01","2.139","3.909","Q1",
