"Journal Data Filtered By:  Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2023 Selected Category Schema: WOS Selected Open Access: N Selected ISSN/eISSNs: Multiple Indicator: Custom"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Edition,Total Citations,2023 JIF,JIF Quartile,2023 JCI,JIF Rank,5 Year JIF,5 Year JIF Quartile,JIF Without Self Cites,Immediacy Index,JCI Rank,JCI Quartile,JCI Percentile,Eigenfactor,Normalized Eigenfactor,Article Influence Score,JIF Percentile,AIS Quartile
"Journal of Alloys and Compounds","J ALLOY COMPD","0925-8388","1873-4669","CHEMISTRY, PHYSICAL","SCIE","211,621","5.8","Q2","1.18"," 51/178 ","5.3","Q2","5.2","1.7"," 39/178 ","Q1","78.37","0.155","33.969","0.787","71.6","Q2",
"Journal of Alloys and Compounds","J ALLOY COMPD","0925-8388","1873-4669","MATERIALS SCIENCE, MULTIDISCIPLINARY","SCIE","211,621","5.8","Q1","1.18"," 109/438 ","5.3","Q2","5.2","1.7"," 91/438 ","Q1","79.34","0.155","33.969","0.787","75.2","Q2",
"Journal of Alloys and Compounds","J ALLOY COMPD","0925-8388","1873-4669","METALLURGY & METALLURGICAL ENGINEERING","SCIE","211,621","5.8","Q1","1.18"," 8/90 ","5.3","Q1","5.2","1.7"," 7/91 ","Q1","92.86","0.155","33.969","0.787","91.7","Q1",
"NANO LETTERS","NANO LETT","1530-6984","1530-6992","CHEMISTRY, MULTIDISCIPLINARY","SCIE","159,730","9.6","Q1","1.76"," 28/230 ","10.1","Q1","9.2","1.7"," 27/231 ","Q1","88.53","0.137","29.925","2.694","88.0","Q1",
"NANO LETTERS","NANO LETT","1530-6984","1530-6992","CHEMISTRY, PHYSICAL","SCIE","159,730","9.6","Q1","1.76"," 30/178 ","10.1","Q1","9.2","1.7"," 18/178 ","Q1","90.17","0.137","29.925","2.694","83.4","Q1",
"NANO LETTERS","NANO LETT","1530-6984","1530-6992","MATERIALS SCIENCE, MULTIDISCIPLINARY","SCIE","159,730","9.6","Q1","1.76"," 55/438 ","10.1","Q1","9.2","1.7"," 45/438 ","Q1","89.84","0.137","29.925","2.694","87.6","Q1",
"NANO LETTERS","NANO LETT","1530-6984","1530-6992","NANOSCIENCE & NANOTECHNOLOGY","SCIE","159,730","9.6","Q1","1.76"," 24/140 ","10.1","Q1","9.2","1.7"," 16/140 ","Q1","88.93","0.137","29.925","2.694","83.2","Q1",
"NANO LETTERS","NANO LETT","1530-6984","1530-6992","PHYSICS, APPLIED","SCIE","159,730","9.6","Q1","1.76"," 18/179 ","10.1","Q1","9.2","1.7"," 16/179 ","Q1","91.34","0.137","29.925","2.694","90.2","Q1",
"NANO LETTERS","NANO LETT","1530-6984","1530-6992","PHYSICS, CONDENSED MATTER","SCIE","159,730","9.6","Q1","1.76"," 10/79 ","10.1","Q1","9.2","1.7"," 8/79 ","Q1","90.51","0.137","29.925","2.694","88.0","Q1",
"JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY","J AM COLL CARDIOL","0735-1097","1558-3597","CARDIAC & CARDIOVASCULAR SYSTEMS","SCIE","115,262","21.7","Q1","5.15"," 4/220 ","24.2","Q1","20.8","5.7"," 5/220 ","Q1","97.95","0.15","32.829","10.222","98.4","Q1",
"COMPOSITES PART B-ENGINEERING","COMPOS PART B-ENG","1359-8368","1879-1069","ENGINEERING, MULTIDISCIPLINARY","SCIE","75,964","12.7","Q1","3.03"," 1/179 ","11.1","Q1","11.5","2.9"," 1/180 ","Q1","99.72","0.069","15.074","1.864","99.7","Q1",
"COMPOSITES PART B-ENGINEERING","COMPOS PART B-ENG","1359-8368","1879-1069","MATERIALS SCIENCE, COMPOSITES","SCIE","75,964","12.7","Q1","3.03"," 2/35 ","11.1","Q1","11.5","2.9"," 2/35 ","Q1","95.71","0.069","15.074","1.864","95.7","Q1",
"SURFACE & COATINGS TECHNOLOGY","SURF COAT TECH","0257-8972","1879-3347","MATERIALS SCIENCE, COATINGS & FILMS","SCIE","64,008","5.3","Q1","1.14"," 5/23 ","4.9","Q1","4.7","1.4"," 4/23 ","Q1","84.78","0.032","6.985","0.691","80.4","Q2",
"SURFACE & COATINGS TECHNOLOGY","SURF COAT TECH","0257-8972","1879-3347","PHYSICS, APPLIED","SCIE","64,008","5.3","Q1","1.14"," 42/179 ","4.9","Q1","4.7","1.4"," 33/179 ","Q1","81.84","0.032","6.985","0.691","76.8","Q2",
"ENVIRONMENT INTERNATIONAL","ENVIRON INT","0160-4120","1873-6750","ENVIRONMENTAL SCIENCES","SCIE","62,853","10.3","Q1","1.9"," 21/358 ","11.1","Q1","9.9","1.5"," 16/359 ","Q1","95.68","0.076","16.67","2.457","94.3","Q1",
"JOURNAL OF EXPERIMENTAL BOTANY","J EXP BOT","0022-0957","1460-2431","PLANT SCIENCES","SCIE","62,522","5.6","Q1","1.39"," 25/265 ","6.8","Q1","5.3","1.3"," 24/265 ","Q1","91.13","0.031","6.814","1.483","90.8","Q1",
"JOURNAL OF CLIMATE","J CLIMATE","0894-8755","1520-0442","METEOROLOGY & ATMOSPHERIC SCIENCES","SCIE","61,036","4.8","Q1","1.14"," 18/110 ","5.3","Q1","4.2","1"," 21/110 ","Q1","81.36","0.043","9.366","1.98","84.1","Q1",
"Frontiers in Physiology","FRONT PHYSIOL","N/A","1664-042X","PHYSIOLOGY","SCIE","55,909","3.2","Q2","0.99"," 24/85 ","4","Q1","3.1","0.7"," 24/85 ","Q2","72.35","0.083","18.221","0.995","72.4","Q2",
"FASEB JOURNAL","FASEB J","0892-6638","1530-6860","BIOCHEMISTRY & MOLECULAR BIOLOGY","SCIE","50,666","4.4","Q2","0.9"," 82/313 ","4.7","Q2","4.4","0.8"," 87/313 ","Q1","72.36","0.043","9.394","1.252","74.0","Q2",
"FASEB JOURNAL","FASEB J","0892-6638","1530-6860","BIOLOGY","SCIE","50,666","4.4","Q1","0.9"," 15/109 ","4.7","Q1","4.4","0.8"," 26/109 ","Q1","76.61","0.043","9.394","1.252","86.7","Q1",
"FASEB JOURNAL","FASEB J","0892-6638","1530-6860","CELL BIOLOGY","SCIE","50,666","4.4","Q2","0.9"," 77/205 ","4.7","Q2","4.4","0.8"," 73/205 ","Q1","64.63","0.043","9.394","1.252","62.7","Q2",
"IEEE TRANSACTIONS ON INTELLIGENT TRANSPORTATION SYSTEMS","IEEE T INTELL TRANSP","1524-9050","1558-0016","ENGINEERING, CIVIL","SCIE","47,877","7.9","Q1","2"," 5/181 ","8.3","Q1","6.8","1.3"," 3/181 ","Q1","98.62","0.062","13.535","1.801","97.5","Q1",
"IEEE TRANSACTIONS ON INTELLIGENT TRANSPORTATION SYSTEMS","IEEE T INTELL TRANSP","1524-9050","1558-0016","ENGINEERING, ELECTRICAL & ELECTRONIC","SCIE","47,877","7.9","Q1","2"," 23/352 ","8.3","Q1","6.8","1.3"," 22/354 ","Q1","93.93","0.062","13.535","1.801","93.6","Q1",
"IEEE TRANSACTIONS ON INTELLIGENT TRANSPORTATION SYSTEMS","IEEE T INTELL TRANSP","1524-9050","1558-0016","TRANSPORTATION SCIENCE & TECHNOLOGY","SCIE","47,877","7.9","Q1","2"," 6/72 ","8.3","Q1","6.8","1.3"," 5/72 ","Q1","93.75","0.062","13.535","1.801","92.4","Q1",
"TETRAHEDRON LETTERS","TETRAHEDRON LETT","0040-4039","1873-3581","CHEMISTRY, ORGANIC","SCIE","43,525","1.5","Q3","0.48"," 38/58 ","1.6","Q3","1.5","0.5"," 32/58 ","Q3","45.69","0.008","1.808","0.28","35.3","Q2",
"Journal of the American Heart Association","J AM HEART ASSOC","N/A","2047-9980","CARDIAC & CARDIOVASCULAR SYSTEMS","SCIE","39,816","5","Q1","1.34"," 39/220 ","5.7","Q1","4.9","1.1"," 42/220 ","Q1","81.14","0.083","18.107","2.183","82.5","Q1",
"GEOLOGY","GEOLOGY","0091-7613","1943-2682","GEOLOGY","SCIE","39,547","4.8","Q1","2.8"," 1/60 ","5.1","Q1","4.7","1.1"," 1/60 ","Q1","99.17","0.023","5.053","2.083","99.2","Q1",
"APPLIED CATALYSIS A-GENERAL","APPL CATAL A-GEN","0926-860X","1873-3875","CHEMISTRY, PHYSICAL","SCIE","35,623","4.7","Q2","0.83"," 66/178 ","4.8","Q2","4.5","1.1"," 59/178 ","Q2","67.13","0.013","2.75","0.795","63.2","Q2",
"APPLIED CATALYSIS A-GENERAL","APPL CATAL A-GEN","0926-860X","1873-3875","ENVIRONMENTAL SCIENCES","SCIE","35,623","4.7","Q2","0.83"," 93/358 ","4.8","Q2","4.5","1.1"," 113/359 ","Q2","68.66","0.013","2.75","0.795","74.2","Q2",
