"Journal Data Filtered By:  Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2023 Selected Category Schema: WOS Selected Open Access: N Selected ISSN/eISSNs: Multiple Indicator: Custom"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Edition,Total Citations,2023 JIF,JIF Rank,5 Year JIF,5 Year JIF Quartile,JIF Without Self Cites,Immediacy Index,2023 JCI,JCI Rank,JCI Quartile,JIF Quartile,JIF Percentile,JCI Percentile,Eigenfactor,Normalized Eigenfactor,Article Influence Score,AIS Quartile
"Nature Reviews Disease Primers","NAT REV DIS PRIMERS","2056-676X","2056-676X","MEDICINE, GENERAL & INTERNAL","SCIE","31,331","76.9"," 4/325 ","92.6","Q1","76.9","6.4","18.46"," 3/329 ","Q1","Q1","98.9","99.24","0.048","10.438","28.955","Q1",
"SCIENCE","SCIENCE","0036-8075","1095-9203","MULTIDISCIPLINARY SCIENCES","SCIE","763,009","44.7"," 3/134 ","50.3","Q1","44.3","10.4","9.91"," 2/135 ","Q1","Q1","98.1","98.89","0.71","155.068","21.916","Q1",
"Science Robotics","SCI ROBOT","2470-9476","2470-9476","ROBOTICS","SCIE","11,700","26.1"," 1/46 ","33.7","Q1","25.7","2.3","5.66"," 1/46 ","Q1","Q1","98.9","98.91","0.026","5.586","10.279","Q1",
"ANNALS OF THE RHEUMATIC DISEASES","ANN RHEUM DIS","0003-4967","1468-2060","RHEUMATOLOGY","SCIE","52,707","20.3"," 2/57 ","18.4","Q1","18.8","5.2","5.09"," 2/57 ","Q1","Q1","97.4","97.37","0.048","10.569","5.726","Q1",
"PROCEEDINGS OF THE IEEE","P IEEE","0018-9219","1558-2256","ENGINEERING, ELECTRICAL & ELECTRONIC","SCIE","40,844","23.2"," 2/352 ","18.4","Q1","23.1","7.7","4.4"," 3/354 ","Q1","Q1","99.6","99.29","0.026","5.608","5.965","Q1",
"CHEMICAL REVIEWS","CHEM REV","0009-2665","1520-6890","CHEMISTRY, MULTIDISCIPLINARY","SCIE","230,794","51.4"," 1/230 ","63.5","Q1","50.8","9.6","4.32"," 2/231 ","Q1","Q1","99.8","99.35","0.168","36.727","15.977","Q1",
"Information Fusion","INFORM FUSION","1566-2535","1872-6305","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","18,618","14.7"," 4/197 ","16.1","Q1","13.1","2.7","3.42"," 5/198 ","Q1","Q1","98.2","97.73","0.026","5.77","3.806","Q1",
"Information Fusion","INFORM FUSION","1566-2535","1872-6305","COMPUTER SCIENCE, THEORY & METHODS","SCIE","18,618","14.7"," 2/143 ","16.1","Q1","13.1","2.7","3.42"," 3/143 ","Q1","Q1","99.0","98.25","0.026","5.77","3.806","Q1",
"HEALTH AFFAIRS","HEALTH AFFAIR","0278-2715","0278-2715","HEALTH CARE SCIENCES & SERVICES","SCIE","19,799","8.6"," 5/174 ","7.7","Q1","8.3","1.5","3.27"," 3/175 ","Q1","Q1","97.4","98.57","0.037","8.161","4.395","Q1",
"HEALTH AFFAIRS","HEALTH AFFAIR","0278-2715","0278-2715","HEALTH POLICY & SERVICES","SSCI","19,799","8.6"," 3/118 ","7.7","Q1","8.3","1.5","3.27"," 1/119 ","Q1","Q1","97.9","99.58","0.037","8.161","4.395","Q1",
"Drama Therapy Review","DRAMA THER REV","2054-7668","2054-7676","THEATER","ESCI","91","0.5"," N/A ","0.6","N/A","0.4","0.1","3.16"," 2/48 ","Q1","N/A","N/A","96.88","0","0.035","0.206","Q2",
"Theory and Practice of Legislation","THEORY PRACT LEGIS","2050-8840","2050-8859","LAW","ESCI","197","1.5"," 62/421 ","1.9","Q1","1.5","0.1","2.95"," 6/421 ","Q1","Q1","85.4","98.69","0","0.102","0.685","Q1",
"International Forum of Allergy & Rhinology","INT FORUM ALLERGY RH","2042-6976","2042-6984","OTORHINOLARYNGOLOGY","SCIE","6,031","7.2"," 1/65 ","5.3","Q1","6.3","1","2.89"," 1/65 ","Q1","Q1","99.2","99.23","0.007","1.432","1.259","Q1",
"EnergyChem","ENERGYCHEM","2589-7780","2589-7780","CHEMISTRY, MULTIDISCIPLINARY","ESCI","2,235","22.2"," 6/230 ","25.4","Q1","21.9","7","2.81"," 7/231 ","Q1","Q1","97.6","97.19","0.003","0.707","4.7","Q1",
"EnergyChem","ENERGYCHEM","2589-7780","2589-7780","ENERGY & FUELS","ESCI","2,235","22.2"," 6/170 ","25.4","Q1","21.9","7","2.81"," 6/173 ","Q1","Q1","96.8","96.82","0.003","0.707","4.7","Q1",
"EnergyChem","ENERGYCHEM","2589-7780","2589-7780","ENGINEERING, CHEMICAL","ESCI","2,235","22.2"," 3/170 ","25.4","Q1","21.9","7","2.81"," 3/171 ","Q1","Q1","98.5","98.54","0.003","0.707","4.7","Q1",
"EnergyChem","ENERGYCHEM","2589-7780","2589-7780","MATERIALS SCIENCE, MULTIDISCIPLINARY","ESCI","2,235","22.2"," 15/438 ","25.4","Q1","21.9","7","2.81"," 16/438 ","Q1","Q1","96.7","96.46","0.003","0.707","4.7","Q1",
"GENOME BIOLOGY","GENOME BIOL","1474-760X","1474-760X","BIOTECHNOLOGY & APPLIED MICROBIOLOGY","SCIE","67,264","10.1"," 8/174 ","16.5","Q1","9.8","1.7","2.78"," 5/174 ","Q1","Q1","95.7","97.41","0.094","20.444","8.702","Q1",
"GENOME BIOLOGY","GENOME BIOL","1474-760X","1474-760X","GENETICS & HEREDITY","SCIE","67,264","10.1"," 10/191 ","16.5","Q1","9.8","1.7","2.78"," 5/191 ","Q1","Q1","95.0","97.64","0.094","20.444","8.702","Q1",
"Nature Reviews Physics","NAT REV PHYS","N/A","2522-5820","PHYSICS, APPLIED","SCIE","8,134","44.8"," 1/179 ","44.6","Q1","44.5","4.5","2.75"," 7/179 ","Q1","Q1","99.7","96.37","0.026","5.661","17.655","Q1",
"Nature Reviews Physics","NAT REV PHYS","N/A","2522-5820","PHYSICS, MULTIDISCIPLINARY","SCIE","8,134","44.8"," 2/110 ","44.6","Q1","44.5","4.5","2.75"," 5/110 ","Q1","Q1","98.6","95.91","0.026","5.661","17.655","Q1",
"JOURNAL OF PINEAL RESEARCH","J PINEAL RES","0742-3098","1600-079X","ENDOCRINOLOGY & METABOLISM","SCIE","10,941","8.3"," 13/186 ","10.2","Q1","7.9","1","2.54"," 8/186 ","Q1","Q1","93.3","95.97","0.005","1.171","2.079","Q1",
"JOURNAL OF PINEAL RESEARCH","J PINEAL RES","0742-3098","1600-079X","NEUROSCIENCES","SCIE","10,941","8.3"," 20/310 ","10.2","Q1","7.9","1","2.54"," 12/310 ","Q1","Q1","93.7","96.29","0.005","1.171","2.079","Q1",
"JOURNAL OF PINEAL RESEARCH","J PINEAL RES","0742-3098","1600-079X","PHYSIOLOGY","SCIE","10,941","8.3"," 3/85 ","10.2","Q1","7.9","1","2.54"," 3/85 ","Q1","Q1","97.1","97.06","0.005","1.171","2.079","Q1",
