"Journal Data Filtered By:  Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2023 Selected Category Schema: WOS Selected Open Access: N Selected ISSN/eISSNs: Multiple Indicator: Custom"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Edition,Total Citations,2023 JIF,JIF Quartile,2023 JCI,JIF Rank,5 Year JIF,5 Year JIF Quartile,JIF Without Self Cites,Immediacy Index,JCI Rank,JCI Quartile,JCI Percentile,Eigenfactor,Normalized Eigenfactor,Article Influence Score,JIF Percentile,AIS Quartile
"PHYSICAL REVIEW LETTERS","PHYS REV LETT","0031-9007","1079-7114","PHYSICS, MULTIDISCIPLINARY","SCIE","471,243","8.1","Q1","2.25"," 8/110 ","8.3","Q1","7.5","2.4"," 8/110 ","Q1","93.18","0.315","68.832","3.01","93.2","Q1",
"Journal of Cleaner Production","J CLEAN PROD","0959-6526","1879-1786","ENGINEERING, ENVIRONMENTAL","SCIE","317,153","9.7","Q1","1.52"," 9/81 ","10.2","Q1","9","2.2"," 7/81 ","Q1","91.98","0.309","67.416","1.593","89.5","Q1",
"Journal of Cleaner Production","J CLEAN PROD","0959-6526","1879-1786","ENVIRONMENTAL SCIENCES","SCIE","317,153","9.7","Q1","1.52"," 24/358 ","10.2","Q1","9","2.2"," 34/359 ","Q1","90.67","0.309","67.416","1.593","93.4","Q1",
"Journal of Cleaner Production","J CLEAN PROD","0959-6526","1879-1786","GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY","SCIE","317,153","9.7","Q1","1.52"," 13/91 ","10.2","Q1","9","2.2"," 14/91 ","Q1","85.16","0.309","67.416","1.593","86.3","Q1",
"JOURNAL OF BIOLOGICAL CHEMISTRY","J BIOL CHEM","N/A","1083-351X","BIOCHEMISTRY & MOLECULAR BIOLOGY","SCIE","295,056","4","Q2","0.85"," 100/313 ","4.4","Q2","3.9","1"," 95/313 ","Q2","69.81","0.086","18.871","1.469","68.2","Q1",
"JOURNAL OF NEUROSCIENCE","J NEUROSCI","0270-6474","1529-2401","NEUROSCIENCES","SCIE","143,793","4.4","Q1","1.33"," 73/310 ","5.3","Q1","4.2","1"," 50/310 ","Q1","84.03","0.066","14.387","2.222","76.6","Q1",
"Materials","MATERIALS","N/A","1996-1944","CHEMISTRY, PHYSICAL","SCIE","126,110","3.1","Q3","0.58"," 90/178 ","3.4","Q2","2.7","1"," 86/178 ","Q2","51.97","0.124","27.019","0.509","49.7","Q3",
"Materials","MATERIALS","N/A","1996-1944","MATERIALS SCIENCE, MULTIDISCIPLINARY","SCIE","126,110","3.1","Q2","0.58"," 208/438 ","3.4","Q2","2.7","1"," 214/438 ","Q2","51.26","0.124","27.019","0.509","52.6","Q3",
"Materials","MATERIALS","N/A","1996-1944","METALLURGY & METALLURGICAL ENGINEERING","SCIE","126,110","3.1","Q1","0.58"," 20/90 ","3.4","Q1","2.7","1"," 25/91 ","Q2","73.08","0.124","27.019","0.509","78.3","Q1",
"Materials","MATERIALS","N/A","1996-1944","PHYSICS, APPLIED","SCIE","126,110","3.1","Q2","0.58"," 63/179 ","3.4","Q2","2.7","1"," 79/179 ","Q2","56.15","0.124","27.019","0.509","65.1","Q2",
"Materials","MATERIALS","N/A","1996-1944","PHYSICS, CONDENSED MATTER","SCIE","126,110","3.1","Q2","0.58"," 32/79 ","3.4","Q2","2.7","1"," 28/79 ","Q2","65.19","0.124","27.019","0.509","60.1","Q2",
"Renewable Energy","RENEW ENERG","0960-1481","1879-0682","ENERGY & FUELS","SCIE","109,426","9","Q1","1.48"," 24/170 ","8.1","Q1","8.2","2.3"," 26/173 ","Q1","85.26","0.099","21.563","1.321","86.2","Q1",
"Renewable Energy","RENEW ENERG","0960-1481","1879-0682","GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY","SCIE","109,426","9","Q1","1.48"," 16/91 ","8.1","Q1","8.2","2.3"," 17/91 ","Q1","81.87","0.099","21.563","1.321","83.0","Q2",
"SEPARATION AND PURIFICATION TECHNOLOGY","SEP PURIF TECHNOL","1383-5866","1873-3794","ENGINEERING, CHEMICAL","SCIE","89,199","8.1","Q1","1.36"," 15/170 ","7.6","Q1","7.1","2"," 13/171 ","Q1","92.69","0.075","16.301","1.093","91.5","Q1",
"IEEE TRANSACTIONS ON INDUSTRIAL ELECTRONICS","IEEE T IND ELECTRON","0278-0046","1557-9948","AUTOMATION & CONTROL SYSTEMS","SCIE","89,067","7.5","Q1","2.07"," 6/84 ","8","Q1","6.5","2.3"," 5/84 ","Q1","94.64","0.096","21.042","2.134","93.5","Q1",
"IEEE TRANSACTIONS ON INDUSTRIAL ELECTRONICS","IEEE T IND ELECTRON","0278-0046","1557-9948","ENGINEERING, ELECTRICAL & ELECTRONIC","SCIE","89,067","7.5","Q1","2.07"," 25/352 ","8","Q1","6.5","2.3"," 20/354 ","Q1","94.49","0.096","21.042","2.134","93.0","Q1",
