"Journal Data Filtered By:  Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2023 Selected Category Schema: WOS Selected Open Access: N Selected ISSN/eISSNs: Multiple Indicator: Custom"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Edition,Total Citations,2023 JIF,JIF Quartile,2023 JCI,JIF Rank,5 Year JIF,5 Year JIF Quartile,JIF Without Self Cites,Immediacy Index,JCI Rank,JCI Quartile,JCI Percentile,Eigenfactor,Normalized Eigenfactor,Article Influence Score,JIF Percentile,AIS Quartile
"ANGEWANDTE CHEMIE-INTERNATIONAL EDITION","ANGEW CHEM INT EDIT","1433-7851","1521-3773","CHEMISTRY, MULTIDISCIPLINARY","SCIE","467,453","16.1","Q1","2.7"," 13/230 ","16.2","Q1","14.8","3.6"," 11/231 ","Q1","95.45","0.467","102.016","3.762","94.6","Q1",
"PHYSICAL REVIEW A","PHYS REV A","2469-9926","2469-9934","OPTICS","SCIE","127,786","2.6","Q2","0.83"," 45/119 ","2.6","Q2","2","0.7"," 40/120 ","Q1","67.08","0.078","17.065","0.777","62.6","Q2",
"PHYSICAL REVIEW A","PHYS REV A","2469-9926","2469-9934","PHYSICS, ATOMIC, MOLECULAR & CHEMICAL","SCIE","127,786","2.6","Q2","0.83"," 14/40 ","2.6","Q2","2","0.7"," 10/40 ","Q1","76.25","0.078","17.065","0.777","66.3","Q2",
"CHEMISTRY OF MATERIALS","CHEM MATER","0897-4756","1520-5002","CHEMISTRY, PHYSICAL","SCIE","113,115","7.2","Q2","1.29"," 46/178 ","8.4","Q1","6.8","1.5"," 34/178 ","Q1","81.18","0.079","17.226","1.909","74.4","Q1",
"CHEMISTRY OF MATERIALS","CHEM MATER","0897-4756","1520-5002","MATERIALS SCIENCE, MULTIDISCIPLINARY","SCIE","113,115","7.2","Q1","1.29"," 85/438 ","8.4","Q1","6.8","1.5"," 79/438 ","Q1","82.08","0.079","17.226","1.909","80.7","Q1",
"Energy & Environmental Science","ENERG ENVIRON SCI","1754-5692","1754-5706","CHEMISTRY, MULTIDISCIPLINARY","SCIE","110,768","32.4","Q1","4.39"," 4/230 ","34.5","Q1","31.3","5.4"," 1/231 ","Q1","99.78","0.12","26.243","8.68","98.5","Q1",
"Energy & Environmental Science","ENERG ENVIRON SCI","1754-5692","1754-5706","ENERGY & FUELS","SCIE","110,768","32.4","Q1","4.39"," 3/170 ","34.5","Q1","31.3","5.4"," 3/173 ","Q1","98.55","0.12","26.243","8.68","98.5","Q1",
"Energy & Environmental Science","ENERG ENVIRON SCI","1754-5692","1754-5706","ENGINEERING, CHEMICAL","SCIE","110,768","32.4","Q1","4.39"," 1/170 ","34.5","Q1","31.3","5.4"," 1/171 ","Q1","99.71","0.12","26.243","8.68","99.7","Q1",
"Energy & Environmental Science","ENERG ENVIRON SCI","1754-5692","1754-5706","ENVIRONMENTAL SCIENCES","SCIE","110,768","32.4","Q1","4.39"," 2/358 ","34.5","Q1","31.3","5.4"," 5/359 ","Q1","98.75","0.12","26.243","8.68","99.6","Q1",
"MACROMOLECULES","MACROMOLECULES","0024-9297","1520-5835","POLYMER SCIENCE","SCIE","94,158","5.1","Q1","1.19"," 12/94 ","5.1","Q1","4.4","1.2"," 11/94 ","Q1","88.83","0.042","9.247","0.991","87.8","Q1",
"BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS","BIOCHEM BIOPH RES CO","0006-291X","1090-2104","BIOCHEMISTRY & MOLECULAR BIOLOGY","SCIE","85,993","2.5","Q3","0.67"," 216/313 ","2.7","Q3","2.5","0.4"," 154/313 ","Q2","50.96","0.046","10.021","0.597","31.2","Q3",
"BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS","BIOCHEM BIOPH RES CO","0006-291X","1090-2104","BIOPHYSICS","SCIE","85,993","2.5","Q3","0.67"," 43/77 ","2.7","Q3","2.5","0.4"," 34/77 ","Q2","56.49","0.046","10.021","0.597","44.8","Q3",
"Chemical Science","CHEM SCI","2041-6520","2041-6539","CHEMISTRY, MULTIDISCIPLINARY","SCIE","83,758","7.6","Q1","1.41"," 39/230 ","8","Q1","7.3","1.6"," 35/231 ","Q1","85.06","0.113","24.614","2.013","83.3","Q1",
"GEOCHIMICA ET COSMOCHIMICA ACTA","GEOCHIM COSMOCHIM AC","0016-7037","1872-9533","GEOCHEMISTRY & GEOPHYSICS","SCIE","72,561","4.5","Q1","1.46"," 9/101 ","5.1","Q1","3.8","1.2"," 8/101 ","Q1","92.57","0.035","7.75","1.846","91.6","Q1",
"BMC PUBLIC HEALTH","BMC PUBLIC HEALTH","N/A","1471-2458","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE","71,474","3.5","Q1","1.1"," 84/403 ","3.9","Q1","3.3","0.5"," 75/403 ","Q1","81.51","0.089","19.399","1.114","79.3","Q2",
"Journal of Chemical Theory and Computation","J CHEM THEORY COMPUT","1549-9618","1549-9626","CHEMISTRY, PHYSICAL","SCIE","49,720","5.7","Q2","1.23"," 52/178 ","5.9","Q2","4.6","1.3"," 36/178 ","Q1","80.06","0.036","7.826","1.419","71.1","Q1",
"Journal of Chemical Theory and Computation","J CHEM THEORY COMPUT","1549-9618","1549-9626","PHYSICS, ATOMIC, MOLECULAR & CHEMICAL","SCIE","49,720","5.7","Q1","1.23"," 5/40 ","5.9","Q1","4.6","1.3"," 3/40 ","Q1","93.75","0.036","7.826","1.419","88.8","Q1",
"DEVELOPMENT","DEVELOPMENT","0950-1991","1477-9129","DEVELOPMENTAL BIOLOGY","SCIE","49,508","3.7","Q1","1.08"," 8/39 ","5","Q1","3.5","0.8"," 6/39 ","Q1","85.90","0.036","7.838","2.218","80.8","Q1",
"BRITISH JOURNAL OF CANCER","BRIT J CANCER","0007-0920","1532-1827","ONCOLOGY","SCIE","49,098","6.4","Q1","1.46"," 46/322 ","8.1","Q1","6.3","1.2"," 44/322 ","Q1","86.49","0.04","8.805","2.575","85.9","Q1",
"CHEMICAL GEOLOGY","CHEM GEOL","0009-2541","1872-6836","GEOCHEMISTRY & GEOPHYSICS","SCIE","42,789","3.6","Q1","1.09"," 16/101 ","3.9","Q1","3.3","0.7"," 14/101 ","Q1","86.63","0.023","4.917","1.327","84.7","Q1",
"CATALYSIS TODAY","CATAL TODAY","0920-5861","1873-4308","CHEMISTRY, APPLIED","SCIE","39,705","5.2","Q1","0.89"," 13/74 ","5","Q1","5","1.8"," 15/74 ","Q1","80.41","0.021","4.501","0.834","83.1","Q1",
"CATALYSIS TODAY","CATAL TODAY","0920-5861","1873-4308","CHEMISTRY, PHYSICAL","SCIE","39,705","5.2","Q2","0.89"," 60/178 ","5","Q2","5","1.8"," 51/178 ","Q1","71.63","0.021","4.501","0.834","66.6","Q2",
