"Journal Data Filtered By:  Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2023 Selected Category Schema: WOS Selected Open Access: N Selected ISSN/eISSNs: Multiple Indicator: Custom"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Edition,Total Citations,2023 JIF,JIF Rank,5 Year JIF,5 Year JIF Quartile,JIF Without Self Cites,Immediacy Index,2023 JCI,JCI Rank,JCI Quartile,JIF Quartile,JIF Percentile,JCI Percentile,Eigenfactor,Normalized Eigenfactor,Article Influence Score,AIS Quartile
"Nature Reviews Gastroenterology & Hepatology","NAT REV GASTRO HEPAT","1759-5045","1759-5053","GASTROENTEROLOGY & HEPATOLOGY","SCIE","26,749","45.9"," 1/143 ","65.1","Q1","45.6","6.5","8.14"," 1/143 ","Q1","Q1","99.7","99.65","0.041","8.85","19.311","Q1",
"EUROPEAN HEART JOURNAL","EUR HEART J","0195-668X","1522-9645","CARDIAC & CARDIOVASCULAR SYSTEMS","SCIE","84,437","37.6"," 2/220 ","32.6","Q1","35.1","7.7","7.74"," 2/220 ","Q1","Q1","99.3","99.32","0.135","29.522","12.217","Q1",
"Annual Review of Pathology-Mechanisms of Disease","ANNU REV PATHOL-MECH","1553-4006","1553-4014","PATHOLOGY","SCIE","8,517","28.4"," 1/88 ","35.2","Q1","28.4","11","6.49"," 1/88 ","Q1","Q1","99.4","99.43","0.008","1.851","10.32","Q1",
"Kidney International Supplements","KIDNEY INT SUPPL","2157-1724","2157-1716","UROLOGY & NEPHROLOGY","SCIE","3,049","19.3"," 3/126 ","14.2","Q1","19.3","N/A","4.1"," 5/126 ","Q1","Q1","98.0","96.43","0.002","0.362","4.253","Q1",
"Lancet Haematology","LANCET HAEMATOL","2352-3026","N/A","HEMATOLOGY","SCIE","7,013","15.4"," 4/97 ","16.3","Q1","15","4.5","3.86"," 3/97 ","Q1","Q1","96.4","97.42","0.019","4.112","7.299","Q1",
"Nature Ecology & Evolution","NAT ECOL EVOL","2397-334X","2397-334X","ECOLOGY","SCIE","18,917","13.9"," 2/195 ","16.5","Q1","13.7","3.7","3.85"," 1/195 ","Q1","Q1","99.2","99.74","0.052","11.326","7.025","Q1",
"Nature Ecology & Evolution","NAT ECOL EVOL","2397-334X","2397-334X","EVOLUTIONARY BIOLOGY","SCIE","18,917","13.9"," 2/54 ","16.5","Q1","13.7","3.7","3.85"," 1/54 ","Q1","Q1","97.2","99.07","0.052","11.326","7.025","Q1",
"Human Reproduction Open","HUM REPROD OPEN","N/A","2399-3529","OBSTETRICS & GYNECOLOGY","SCIE","2,032","8.3"," 3/136 ","8.6","Q1","8.1","1.6","3.06"," 3/136 ","Q1","Q1","98.2","98.16","0.005","1.096","2.775","Q1",
"Human Reproduction Open","HUM REPROD OPEN","N/A","2399-3529","REPRODUCTIVE BIOLOGY","SCIE","2,032","8.3"," 2/39 ","8.6","Q1","8.1","1.6","3.06"," 2/39 ","Q1","Q1","96.2","96.15","0.005","1.096","2.775","Q1",
"Annual Review of Fluid Mechanics","ANNU REV FLUID MECH","0066-4189","1545-4479","MECHANICS","SCIE","16,085","25.4"," 1/170 ","26.8","Q1","25.1","9.9","2.92"," 1/170 ","Q1","Q1","99.7","99.71","0.008","1.797","9.446","Q1",
