"Journal Data Filtered By:  Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2023 Selected Category Schema: WOS Selected Open Access: N Selected ISSN/eISSNs: Multiple Indicator: Custom"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Edition,Total Citations,2023 JIF,JIF Rank,5 Year JIF,5 Year JIF Quartile,JIF Without Self Cites,Immediacy Index,2023 JCI,JCI Rank,JCI Quartile,JIF Quartile,JIF Percentile,JCI Percentile,Eigenfactor,Normalized Eigenfactor,Article Influence Score,AIS Quartile
"Foundations and Trends in Machine Learning","FOUND TRENDS MACH LE","1935-8237","1935-8245","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","ESCI","3,740","65.3"," 1/197 ","70.8","Q1","65.3","13.8","6.3"," 1/198 ","Q1","Q1","99.7","99.75","0.006","1.22","30.622","Q1",
"OPHTHALMOLOGY","OPHTHALMOLOGY","0161-6420","1549-4713","OPHTHALMOLOGY","SCIE","43,813","13.1"," 2/95 ","12.4","Q1","12.6","2.7","5.14"," 1/95 ","Q1","Q1","98.4","99.47","0.032","6.899","4.662","Q1",
"Nature Reviews Earth & Environment","NAT REV EARTH ENV","N/A","2662-138X","ENVIRONMENTAL SCIENCES","SCIE","8,321","49.7"," 1/358 ","54.5","Q1","49.3","9.2","5.01"," 2/359 ","Q1","Q1","99.9","99.58","0.022","4.845","18.705","Q1",
"Nature Reviews Earth & Environment","NAT REV EARTH ENV","N/A","2662-138X","GEOSCIENCES, MULTIDISCIPLINARY","SCIE","8,321","49.7"," 1/253 ","54.5","Q1","49.3","9.2","5.01"," 1/253 ","Q1","Q1","99.8","99.80","0.022","4.845","18.705","Q1",
"Nature Sustainability","NAT SUSTAIN","2398-9629","2398-9629","ENVIRONMENTAL SCIENCES","SCIE","18,380","25.7"," 4/358 ","29.9","Q1","25.4","6.5","4.51"," 4/359 ","Q1","Q1","99.0","99.03","0.045","9.737","9.236","Q1",
"Nature Sustainability","NAT SUSTAIN","2398-9629","2398-9629","ENVIRONMENTAL STUDIES","SSCI","18,380","25.7"," 2/182 ","29.9","Q1","25.4","6.5","4.51"," 2/184 ","Q1","Q1","99.2","99.18","0.045","9.737","9.236","Q1",
"Nature Sustainability","NAT SUSTAIN","2398-9629","2398-9629","GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY","SSCI","18,380","25.7"," 1/91 ","29.9","Q1","25.4","6.5","4.51"," 1/91 ","Q1","Q1","99.5","99.45","0.045","9.737","9.236","Q1",
"Cell Stem Cell","CELL STEM CELL","1934-5909","1875-9777","CELL & TISSUE ENGINEERING","SCIE","30,699","19.8"," 1/31 ","22.6","Q1","19.2","4.5","4.35"," 1/31 ","Q1","Q1","98.4","98.39","0.051","11.039","10.417","Q1",
"Cell Stem Cell","CELL STEM CELL","1934-5909","1875-9777","CELL BIOLOGY","SCIE","30,699","19.8"," 8/205 ","22.6","Q1","19.2","4.5","4.35"," 7/205 ","Q1","Q1","96.3","96.83","0.051","11.039","10.417","Q1",
"ENDOSCOPY","ENDOSCOPY","0013-726X","1438-8812","GASTROENTEROLOGY & HEPATOLOGY","SCIE","13,895","11.5"," 11/143 ","10.1","Q1","9.9","1.8","3.12"," 7/143 ","Q1","Q1","92.7","95.45","0.016","3.451","3.354","Q1",
