"Journal Data Filtered By:  Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2023 Selected Category Schema: WOS Selected Open Access: N Selected ISSN/eISSNs: Multiple Indicator: Custom"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Edition,Total Citations,2023 JIF,JIF Quartile,2023 JCI,JIF Rank,5 Year JIF,5 Year JIF Quartile,JIF Without Self Cites,Immediacy Index,JCI Rank,JCI Quartile,JCI Percentile,Eigenfactor,Normalized Eigenfactor,Article Influence Score,JIF Percentile,AIS Quartile
"NEW ENGLAND JOURNAL OF MEDICINE","NEW ENGL J MED","0028-4793","1533-4406","MEDICINE, GENERAL & INTERNAL","SCIE","404,835","96.2","Q1","25.23"," 2/325 ","94.3","Q1","95.6","21.6"," 1/329 ","Q1","99.85","0.561","122.549","41.53","99.5","Q1",
"Journal of Materials Chemistry A","J MATER CHEM A","2050-7488","2050-7496","CHEMISTRY, PHYSICAL","SCIE","211,134","10.7","Q1","1.59"," 25/178 ","10.8","Q1","10.2","2"," 23/178 ","Q1","87.36","0.201","43.973","2.01","86.2","Q1",
"Journal of Materials Chemistry A","J MATER CHEM A","2050-7488","2050-7496","ENERGY & FUELS","SCIE","211,134","10.7","Q1","1.59"," 16/170 ","10.8","Q1","10.2","2"," 23/173 ","Q1","86.99","0.201","43.973","2.01","90.9","Q1",
"Journal of Materials Chemistry A","J MATER CHEM A","2050-7488","2050-7496","MATERIALS SCIENCE, MULTIDISCIPLINARY","SCIE","211,134","10.7","Q1","1.59"," 46/438 ","10.8","Q1","10.2","2"," 49/438 ","Q1","88.93","0.201","43.973","2.01","89.6","Q1",
"ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH","ENVIRON SCI POLLUT R","0944-1344","1614-7499","ENVIRONMENTAL SCIENCES","SCIE","164,197","N/A","N/A","0.99"," N/A ","N/A","N/A","N/A","N/A"," 86/359 ","Q1","76.18","0.145","31.614","0.727","N/A","Q2",
"Science Advances","SCI ADV","2375-2548","2375-2548","MULTIDISCIPLINARY SCIENCES","SCIE","147,104","11.7","Q1","2.76"," 11/134 ","13.7","Q1","11.6","2.5"," 10/135 ","Q1","92.96","0.355","77.457","5.091","92.2","Q1",
"JOURNAL OF CLINICAL INVESTIGATION","J CLIN INVEST","0021-9738","1558-8238","MEDICINE, RESEARCH & EXPERIMENTAL","SCIE","116,288","13.3","Q1","3.45"," 4/189 ","14.6","Q1","13.1","3.4"," 4/189 ","Q1","98.15","0.095","20.784","5.435","98.1","Q1",
"BMJ Open","BMJ OPEN","2044-6055","2044-6055","MEDICINE, GENERAL & INTERNAL","SCIE","82,146","2.4","Q1","0.68"," 80/325 ","2.7","Q1","2.3","0.4"," 85/329 ","Q2","74.32","0.151","33.014","0.925","75.5","Q1",
"IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING","IEEE T GEOSCI REMOTE","0196-2892","1558-0644","ENGINEERING, ELECTRICAL & ELECTRONIC","SCIE","81,090","7.5","Q1","1.88"," 25/352 ","7.6","Q1","5.4","1.4"," 25/354 ","Q1","93.08","0.078","17.107","1.665","93.0","Q1",
"IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING","IEEE T GEOSCI REMOTE","0196-2892","1558-0644","GEOCHEMISTRY & GEOPHYSICS","SCIE","81,090","7.5","Q1","1.88"," 4/101 ","7.6","Q1","5.4","1.4"," 4/101 ","Q1","96.53","0.078","17.107","1.665","96.5","Q1",
"IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING","IEEE T GEOSCI REMOTE","0196-2892","1558-0644","IMAGING SCIENCE & PHOTOGRAPHIC TECHNOLOGY","SCIE","81,090","7.5","Q1","1.88"," 6/36 ","7.6","Q1","5.4","1.4"," 5/36 ","Q1","87.50","0.078","17.107","1.665","84.7","Q1",
"IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING","IEEE T GEOSCI REMOTE","0196-2892","1558-0644","REMOTE SENSING","SCIE","81,090","7.5","Q1","1.88"," 8/62 ","7.6","Q1","5.4","1.4"," 5/62 ","Q1","92.74","0.078","17.107","1.665","87.9","Q1",
"JOURNAL OF MATERIALS SCIENCE","J MATER SCI","0022-2461","1573-4803","MATERIALS SCIENCE, MULTIDISCIPLINARY","SCIE","66,716","3.5","Q2","0.66"," 185/438 ","4","Q2","3.4","1"," 190/438 ","Q2","56.74","0.034","7.456","0.641","57.9","Q2",
"CORROSION SCIENCE","CORROS SCI","0010-938X","1879-0496","MATERIALS SCIENCE, MULTIDISCIPLINARY","SCIE","63,762","7.4","Q1","1.66"," 82/438 ","7.9","Q1","6.2","1.8"," 47/438 ","Q1","89.38","0.031","6.765","1.149","81.4","Q1",
"CORROSION SCIENCE","CORROS SCI","0010-938X","1879-0496","METALLURGY & METALLURGICAL ENGINEERING","SCIE","63,762","7.4","Q1","1.66"," 5/90 ","7.9","Q1","6.2","1.8"," 4/91 ","Q1","96.15","0.031","6.765","1.149","95.0","Q1",
"CIRCULATION RESEARCH","CIRC RES","0009-7330","1524-4571","CARDIAC & CARDIOVASCULAR SYSTEMS","SCIE","62,714","16.5","Q1","4.22"," 6/220 ","20.3","Q1","16.2","3.1"," 6/220 ","Q1","97.50","0.053","11.505","6.589","97.5","Q1",
