"Journal Data Filtered By:  Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2023 Selected Category Schema: WOS Selected Open Access: N Selected ISSN/eISSNs: Multiple Indicator: Custom"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Edition,Total Citations,2023 JIF,JIF Rank,5 Year JIF,5 Year JIF Quartile,JIF Without Self Cites,Immediacy Index,2023 JCI,JCI Rank,JCI Quartile,JIF Quartile,JIF Percentile,JCI Percentile,Eigenfactor,Normalized Eigenfactor,Article Influence Score,AIS Quartile
"CANCER CELL","CANCER CELL","1535-6108","1878-3686","CELL BIOLOGY","SCIE","52,068","48.8"," 3/205 ","42.1","Q1","48","8.8","7.56"," 4/205 ","Q1","Q1","98.8","98.29","0.074","16.137","18.034","Q1",
"CANCER CELL","CANCER CELL","1535-6108","1878-3686","ONCOLOGY","SCIE","52,068","48.8"," 5/322 ","42.1","Q1","48","8.8","7.56"," 5/322 ","Q1","Q1","98.6","98.60","0.074","16.137","18.034","Q1",
"Nature Catalysis","NAT CATAL","2520-1158","2520-1158","CHEMISTRY, PHYSICAL","SCIE","25,392","42.8"," 1/178 ","47","Q1","42.4","6","5.29"," 2/178 ","Q1","Q1","99.7","99.16","0.063","13.771","14.481","Q1",
"International Journal of Performance Arts and Digital Media","INT J PERF ART DIGIT","1479-4713","2040-0934","THEATER","ESCI","127","0.8"," N/A ","N/A","N/A","0.6","<0.1","3.63"," 1/48 ","Q1","N/A","N/A","98.96","0","0.046","N/A","N/A",
"ACTA MATHEMATICA","ACTA MATH-DJURSHOLM","0001-5962","1871-2509","MATHEMATICS","SCIE","5,242","4.9"," 4/489 ","5","Q1","4.9","1.7","3.23"," 5/489 ","Q1","Q1","99.3","99.08","0.003","0.632","6.843","Q1",
"IEEE TRANSACTIONS ON EVOLUTIONARY COMPUTATION","IEEE T EVOLUT COMPUT","1089-778X","1941-0026","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","22,295","11.7"," 6/197 ","15.5","Q1","10.2","5.3","2.77"," 8/198 ","Q1","Q1","97.2","96.21","0.014","3.154","4.185","Q1",
"IEEE TRANSACTIONS ON EVOLUTIONARY COMPUTATION","IEEE T EVOLUT COMPUT","1089-778X","1941-0026","COMPUTER SCIENCE, THEORY & METHODS","SCIE","22,295","11.7"," 5/143 ","15.5","Q1","10.2","5.3","2.77"," 4/143 ","Q1","Q1","96.9","97.55","0.014","3.154","4.185","Q1",
"JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY","J NEUROL NEUROSUR PS","0022-3050","1468-330X","CLINICAL NEUROLOGY","SCIE","32,313","8.7"," 9/277 ","9.5","Q1","8.6","1.3","2.68"," 8/278 ","Q1","Q1","96.9","97.30","0.022","4.851","3.323","Q1",
"JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY","J NEUROL NEUROSUR PS","0022-3050","1468-330X","PSYCHIATRY","SCIE","32,313","8.7"," 11/276 ","9.5","Q1","8.6","1.3","2.68"," 7/276 ","Q1","Q1","96.2","97.64","0.022","4.851","3.323","Q1",
"JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY","J NEUROL NEUROSUR PS","0022-3050","1468-330X","SURGERY","SCIE","32,313","8.7"," 5/290 ","9.5","Q1","8.6","1.3","2.68"," 8/290 ","Q1","Q1","98.4","97.41","0.022","4.851","3.323","Q1",
"JOURNAL OF ALLERGY AND CLINICAL IMMUNOLOGY","J ALLERGY CLIN IMMUN","0091-6749","1097-6825","ALLERGY","SCIE","58,005","11.4"," 2/39 ","10.2","Q1","10.6","3.5","2.64"," 1/39 ","Q1","Q1","96.2","98.72","0.051","11.22","3.176","Q1",
"JOURNAL OF ALLERGY AND CLINICAL IMMUNOLOGY","J ALLERGY CLIN IMMUN","0091-6749","1097-6825","IMMUNOLOGY","SCIE","58,005","11.4"," 11/181 ","10.2","Q1","10.6","3.5","2.64"," 8/181 ","Q1","Q1","94.2","95.86","0.051","11.22","3.176","Q1",
"World Journal of Emergency Surgery","WORLD J EMERG SURG","1749-7922","1749-7922","EMERGENCY MEDICINE","SCIE","3,439","6"," 3/54 ","7.3","Q1","5.6","1.3","2.64"," 1/54 ","Q1","Q1","95.4","99.07","0.005","1.053","2.061","Q1",
"World Journal of Emergency Surgery","WORLD J EMERG SURG","1749-7922","1749-7922","SURGERY","SCIE","3,439","6"," 11/290 ","7.3","Q1","5.6","1.3","2.64"," 9/290 ","Q1","Q1","96.4","97.07","0.005","1.053","2.061","Q1",
"Journal of Medical Humanities","J MED HUMANIT","1041-3545","1573-3645","HUMANITIES, MULTIDISCIPLINARY","ESCI","537","1.2"," N/A ","1.1","N/A","1.1","0.4","2.58"," 15/406 ","Q1","N/A","N/A","96.43","0.001","0.167","0.423","Q1",
"Journal of Materials Science & Technology","J MATER SCI TECHNOL","1005-0302","1941-1162","MATERIALS SCIENCE, MULTIDISCIPLINARY","SCIE","43,625","11.2"," 43/438 ","10.4","Q1","10.4","3.5","2.53"," 19/438 ","Q1","Q1","90.3","95.78","0.049","10.613","1.737","Q1",
"Journal of Materials Science & Technology","J MATER SCI TECHNOL","1005-0302","1941-1162","METALLURGY & METALLURGICAL ENGINEERING","SCIE","43,625","11.2"," 2/90 ","10.4","Q1","10.4","3.5","2.53"," 2/91 ","Q1","Q1","98.3","98.35","0.049","10.613","1.737","Q1",
"IEEE COMMUNICATIONS MAGAZINE","IEEE COMMUN MAG","0163-6804","1558-1896","ENGINEERING, ELECTRICAL & ELECTRONIC","SCIE","20,608","8.3"," 20/352 ","9.4","Q1","8","1.6","2.43"," 10/354 ","Q1","Q1","94.5","97.32","0.023","5.042","2.823","Q1",
"IEEE COMMUNICATIONS MAGAZINE","IEEE COMMUN MAG","0163-6804","1558-1896","TELECOMMUNICATIONS","SCIE","20,608","8.3"," 7/119 ","9.4","Q1","8","1.6","2.43"," 4/119 ","Q1","Q1","94.5","97.06","0.023","5.042","2.823","Q1",
"IEEE Transactions on Neural Networks and Learning Systems","IEEE T NEUR NET LEAR","2162-237X","2162-2388","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","60,491","10.2"," 13/197 ","10.4","Q1","8.9","1.5","2.4"," 13/198 ","Q1","Q1","93.7","93.69","0.094","20.595","2.999","Q1",
"IEEE Transactions on Neural Networks and Learning Systems","IEEE T NEUR NET LEAR","2162-237X","2162-2388","COMPUTER SCIENCE, HARDWARE & ARCHITECTURE","SCIE","60,491","10.2"," 3/59 ","10.4","Q1","8.9","1.5","2.4"," 4/59 ","Q1","Q1","95.8","94.07","0.094","20.595","2.999","Q1",
"IEEE Transactions on Neural Networks and Learning Systems","IEEE T NEUR NET LEAR","2162-237X","2162-2388","COMPUTER SCIENCE, THEORY & METHODS","SCIE","60,491","10.2"," 7/143 ","10.4","Q1","8.9","1.5","2.4"," 7/143 ","Q1","Q1","95.5","95.45","0.094","20.595","2.999","Q1",
