"Journal Data Filtered By:  Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2023 Selected Category Schema: WOS Selected Open Access: N Selected ISSN/eISSNs: Multiple Indicator: Custom"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Edition,Total Citations,2023 JIF,JIF Rank,5 Year JIF,5 Year JIF Quartile,JIF Without Self Cites,Immediacy Index,2023 JCI,JCI Rank,JCI Quartile,JIF Quartile,JIF Percentile,JCI Percentile,Eigenfactor,Normalized Eigenfactor,Article Influence Score,AIS Quartile
"CA-A CANCER JOURNAL FOR CLINICIANS","CA-CANCER J CLIN","0007-9235","1542-4863","ONCOLOGY","SCIE","65,911","503.1"," 1/322 ","297","Q1","502.8","104.8","88.75"," 1/322 ","Q1","Q1","99.8","99.84","0.088","19.287","78.867","Q1",
"Lancet Diabetes & Endocrinology","LANCET DIABETES ENDO","2213-8587","2213-8595","ENDOCRINOLOGY & METABOLISM","SCIE","19,590","44"," 1/186 ","38.2","Q1","43.3","8.7","8.57"," 1/186 ","Q1","Q1","99.7","99.73","0.041","9.019","15.32","Q1",
"ANNALS OF ONCOLOGY","ANN ONCOL","0923-7534","1569-8041","ONCOLOGY","SCIE","64,002","56.7"," 4/322 ","38.2","Q1","56.2","11.2","7.49"," 6/322 ","Q1","Q1","98.9","98.29","0.102","22.371","14.915","Q1",
"JAMA Surgery","JAMA SURG","2168-6254","2168-6262","SURGERY","SCIE","17,074","15.7"," 1/290 ","16.3","Q1","15.1","3.9","5.97"," 1/290 ","Q1","Q1","99.8","99.83","0.033","7.318","6.59","Q1",
"Applied Computing and Informatics","APPL COMPUT INFORM","2634-1964","2210-8327","COMPUTER SCIENCE, INFORMATION SYSTEMS","ESCI","983","12.3"," 3/249 ","N/A","N/A","12.3","2.7","4.59"," 2/251 ","Q1","Q1","99.0","99.40","0.001","0.256","N/A","N/A",
"Annual Review of Psychology","ANNU REV PSYCHOL","0066-4308","1545-2085","PSYCHOLOGY","SCIE","27,556","23.6"," 1/92 ","27.9","Q1","23.5","14.4","4.22"," 4/92 ","Q1","Q1","99.5","96.20","0.013","2.832","11.843","Q1",
"Annual Review of Psychology","ANNU REV PSYCHOL","0066-4308","1545-2085","PSYCHOLOGY, MULTIDISCIPLINARY","SSCI","27,556","23.6"," 1/218 ","27.9","Q1","23.5","14.4","4.22"," 6/218 ","Q1","Q1","99.8","97.48","0.013","2.832","11.843","Q1",
"PSYCHOTHERAPY AND PSYCHOSOMATICS","PSYCHOTHER PSYCHOSOM","0033-3190","1423-0348","PSYCHIATRY","SCIE, SSCI","6,004","16.3"," 4/276 ","17.5","Q1","14.3","1.4","3.88"," 4/276 ","Q1","Q1","98.7","98.73","0.006","1.272","5.619","Q1",
"PSYCHOTHERAPY AND PSYCHOSOMATICS","PSYCHOTHER PSYCHOSOM","0033-3190","1423-0348","PSYCHOLOGY","SCIE","6,004","16.3"," 4/92 ","17.5","Q1","14.3","1.4","3.88"," 5/92 ","Q1","Q1","96.2","95.11","0.006","1.272","5.619","Q1",
"Materials Today","MATER TODAY","1369-7021","1873-4103","MATERIALS SCIENCE, MULTIDISCIPLINARY","SCIE","27,880","21.1"," 16/438 ","25.4","Q1","20.9","5.3","3.4"," 11/438 ","Q1","Q1","96.5","97.60","0.028","6.226","5.671","Q1",
"JAMA Ophthalmology","JAMA OPHTHALMOL","2168-6165","2168-6173","OPHTHALMOLOGY","SCIE","9,859","7.8"," 3/95 ","7.5","Q1","7.3","3.7","3.33"," 3/95 ","Q1","Q1","97.4","97.37","0.016","3.465","2.867","Q1",
"PEDIATRICS","PEDIATRICS","0031-4005","1098-4275","PEDIATRICS","SCIE","79,027","6.2"," 5/186 ","7.1","Q1","5.9","1.6","2.95"," 4/186 ","Q1","Q1","97.6","98.12","0.065","14.138","2.807","Q1",
"Journal of Sport and Health Science","J SPORT HEALTH SCI","2095-2546","2213-2961","HOSPITALITY, LEISURE, SPORT & TOURISM","SSCI","4,360","9.7"," 5/139 ","9.2","Q1","9.3","3.6","2.88"," 2/139 ","Q1","Q1","96.8","98.92","0.006","1.408","2.385","Q1",
"Journal of Sport and Health Science","J SPORT HEALTH SCI","2095-2546","2213-2961","SPORT SCIENCES","SCIE","4,360","9.7"," 2/127 ","9.2","Q1","9.3","3.6","2.88"," 2/127 ","Q1","Q1","98.8","98.82","0.006","1.408","2.385","Q1",
"JAMA Otolaryngology-Head & Neck Surgery","JAMA OTOLARYNGOL","2168-6181","2168-619X","OTORHINOLARYNGOLOGY","SCIE","6,678","6"," 2/65 ","6.7","Q1","5.7","1.5","2.69"," 2/65 ","Q1","Q1","97.7","97.69","0.01","2.252","2.224","Q1",
"JAMA Otolaryngology-Head & Neck Surgery","JAMA OTOLARYNGOL","2168-6181","2168-619X","SURGERY","SCIE","6,678","6"," 11/290 ","6.7","Q1","5.7","1.5","2.69"," 7/290 ","Q1","Q1","96.4","97.76","0.01","2.252","2.224","Q1",
"Clinical Journal of the American Society of Nephrology","CLIN J AM SOC NEPHRO","1555-9041","1555-905X","UROLOGY & NEPHROLOGY","SCIE","21,184","8.5"," 8/126 ","8.6","Q1","8.1","1.8","2.68"," 8/126 ","Q1","Q1","94.0","94.05","0.021","4.591","3.274","Q1",
"ENTOMOLOGIA GENERALIS","ENTOMOL GEN","0171-8177","2363-7102","ENTOMOLOGY","SCIE","1,599","5.6"," 3/109 ","5","Q1","4.6","1.2","2.59"," 2/109 ","Q1","Q1","97.7","98.62","0.002","0.434","0.936","Q1",
"IEEE Transactions on Cloud Computing","IEEE T CLOUD COMPUT","2168-7161","2168-7161","COMPUTER SCIENCE, INFORMATION SYSTEMS","SCIE","3,846","5.3"," 39/249 ","4.6","Q1","4.9","1.7","2.31"," 13/251 ","Q1","Q1","84.5","95.02","0.006","1.21","1.093","Q1",
"IEEE Transactions on Cloud Computing","IEEE T CLOUD COMPUT","2168-7161","2168-7161","COMPUTER SCIENCE, THEORY & METHODS","SCIE","3,846","5.3"," 17/143 ","4.6","Q1","4.9","1.7","2.31"," 8/143 ","Q1","Q1","88.5","94.76","0.006","1.21","1.093","Q1",
"Liver Cancer","LIVER CANCER","2235-1795","1664-5553","GASTROENTEROLOGY & HEPATOLOGY","SCIE","3,158","11.6"," 9/143 ","12.3","Q1","10.7","0.8","2.27"," 10/143 ","Q1","Q1","94.1","93.36","0.005","1.068","2.962","Q1",
"Liver Cancer","LIVER CANCER","2235-1795","1664-5553","ONCOLOGY","SCIE","3,158","11.6"," 23/322 ","12.3","Q1","10.7","0.8","2.27"," 22/322 ","Q1","Q1","93.0","93.32","0.005","1.068","2.962","Q1",
