"Journal Data Filtered By:  Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2023 Selected Category Schema: WOS Selected Open Access: N Selected ISSN/eISSNs: Multiple Indicator: Custom"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Edition,Total Citations,2023 JIF,JIF Rank,5 Year JIF,5 Year JIF Quartile,JIF Without Self Cites,Immediacy Index,2023 JCI,JCI Rank,JCI Quartile,JIF Quartile,JIF Percentile,JCI Percentile,Eigenfactor,Normalized Eigenfactor,Article Influence Score,AIS Quartile
"BMJ-British Medical Journal","BMJ-BRIT MED J","0959-535X","1756-1833","MEDICINE, GENERAL & INTERNAL","SCIE","163,066","93.6"," 3/325 ","69.9","Q1","91.7","19.1","10.42"," 5/329 ","Q1","Q1","99.2","98.63","0.188","41.06","25.671","Q1",
"IEEE Communications Surveys and Tutorials","IEEE COMMUN SURV TUT","N/A","1553-877X","COMPUTER SCIENCE, INFORMATION SYSTEMS","SCIE","27,842","34.4"," 1/249 ","34","Q1","33.4","8.2","9.38"," 1/251 ","Q1","Q1","99.8","99.80","0.037","8.014","9.103","Q1",
"IEEE Communications Surveys and Tutorials","IEEE COMMUN SURV TUT","N/A","1553-877X","TELECOMMUNICATIONS","SCIE","27,842","34.4"," 1/119 ","34","Q1","33.4","8.2","9.38"," 1/119 ","Q1","Q1","99.6","99.58","0.037","8.014","9.103","Q1",
"Lancet Public Health","LANCET PUBLIC HEALTH","2468-2667","2468-2667","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE, SSCI","10,780","25.4"," 2/403 ","29.9","Q1","25.1","3.6","9.35"," 1/403 ","Q1","Q1","99.6","99.88","0.028","6.169","11.129","Q1",
"NATURE REVIEWS IMMUNOLOGY","NAT REV IMMUNOL","1474-1733","1474-1741","IMMUNOLOGY","SCIE","61,956","67.7"," 1/181 ","78.1","Q1","67.2","8.6","8.76"," 1/181 ","Q1","Q1","99.7","99.72","0.066","14.416","27.827","Q1",
"eScience","ESCIENCE","N/A","2667-1417","ELECTROCHEMISTRY","ESCI","3,827","42.9"," 1/45 ","42.9","Q1","42.1","8.1","6.67"," 1/45 ","Q1","Q1","98.9","98.89","0.006","1.311","9.281","Q1",
"eScience","ESCIENCE","N/A","2667-1417","MATERIALS SCIENCE, MULTIDISCIPLINARY","ESCI","3,827","42.9"," 3/438 ","42.9","Q1","42.1","8.1","6.67"," 3/438 ","Q1","Q1","99.4","99.43","0.006","1.311","9.281","Q1",
"Advances in Methods and Practices in Psychological Science","ADV METH PRACT PSYCH","2515-2459","2515-2467","PSYCHOLOGY","SCIE","2,921","15.6"," 5/92 ","19.1","Q1","15.1","2.5","4.34"," 3/92 ","Q1","Q1","95.1","97.28","0.011","2.382","8.885","Q1",
"Advances in Methods and Practices in Psychological Science","ADV METH PRACT PSYCH","2515-2459","2515-2467","PSYCHOLOGY, MULTIDISCIPLINARY","SSCI","2,921","15.6"," 5/218 ","19.1","Q1","15.1","2.5","4.34"," 5/218 ","Q1","Q1","97.9","97.94","0.011","2.382","8.885","Q1",
"Journal of Hematology & Oncology","J HEMATOL ONCOL","N/A","1756-8722","HEMATOLOGY","SCIE","22,387","29.5"," 1/97 ","26.9","Q1","29","5.2","4.16"," 2/97 ","Q1","Q1","99.5","98.45","0.036","7.943","6.604","Q1",
"Journal of Hematology & Oncology","J HEMATOL ONCOL","N/A","1756-8722","ONCOLOGY","SCIE","22,387","29.5"," 9/322 ","26.9","Q1","29","5.2","4.16"," 13/322 ","Q1","Q1","97.4","96.12","0.036","7.943","6.604","Q1",
"ADVANCED MATERIALS","ADV MATER","0935-9648","1521-4095","CHEMISTRY, MULTIDISCIPLINARY","SCIE","392,263","27.4"," 5/230 ","30.2","Q1","25.9","5.2","4.09"," 3/231 ","Q1","Q1","98.0","98.92","0.429","93.828","6.789","Q1",
"ADVANCED MATERIALS","ADV MATER","0935-9648","1521-4095","CHEMISTRY, PHYSICAL","SCIE","392,263","27.4"," 4/178 ","30.2","Q1","25.9","5.2","4.09"," 4/178 ","Q1","Q1","98.0","98.03","0.429","93.828","6.789","Q1",
"ADVANCED MATERIALS","ADV MATER","0935-9648","1521-4095","MATERIALS SCIENCE, MULTIDISCIPLINARY","SCIE","392,263","27.4"," 11/438 ","30.2","Q1","25.9","5.2","4.09"," 9/438 ","Q1","Q1","97.6","98.06","0.429","93.828","6.789","Q1",
"ADVANCED MATERIALS","ADV MATER","0935-9648","1521-4095","NANOSCIENCE & NANOTECHNOLOGY","SCIE","392,263","27.4"," 4/140 ","30.2","Q1","25.9","5.2","4.09"," 4/140 ","Q1","Q1","97.5","97.50","0.429","93.828","6.789","Q1",
"ADVANCED MATERIALS","ADV MATER","0935-9648","1521-4095","PHYSICS, APPLIED","SCIE","392,263","27.4"," 6/179 ","30.2","Q1","25.9","5.2","4.09"," 4/179 ","Q1","Q1","96.9","98.04","0.429","93.828","6.789","Q1",
"ADVANCED MATERIALS","ADV MATER","0935-9648","1521-4095","PHYSICS, CONDENSED MATTER","SCIE","392,263","27.4"," 3/79 ","30.2","Q1","25.9","5.2","4.09"," 2/79 ","Q1","Q1","96.8","98.10","0.429","93.828","6.789","Q1",
"Celestinesca","CELESTINESCA","0147-3085","2695-7183","LITERATURE, ROMANCE","ESCI","54","0.6"," N/A ","N/A","N/A","0.1","0.1","3.88"," 2/116 ","Q1","N/A","N/A","98.71","0","0.009","N/A","N/A",
"Celestinesca","CELESTINESCA","0147-3085","2695-7183","MEDIEVAL & RENAISSANCE STUDIES","ESCI","54","0.6"," N/A ","N/A","N/A","0.1","0.1","3.88"," 3/83 ","Q1","N/A","N/A","96.99","0","0.009","N/A","N/A",
"SCIENCE AND ENGINEERING ETHICS","SCI ENG ETHICS","1353-3452","1471-5546","ENGINEERING, MULTIDISCIPLINARY","SCIE","3,127","2.7"," 40/179 ","3.5","Q1","2.6","0.8","2.59"," 3/180 ","Q1","Q1","77.9","98.61","0.004","0.921","1.105","Q1",
"SCIENCE AND ENGINEERING ETHICS","SCI ENG ETHICS","1353-3452","1471-5546","ETHICS","SSCI","3,127","2.7"," 14/77 ","3.5","Q1","2.6","0.8","2.59"," 4/77 ","Q1","Q1","82.5","95.45","0.004","0.921","1.105","Q1",
"SCIENCE AND ENGINEERING ETHICS","SCI ENG ETHICS","1353-3452","1471-5546","HISTORY & PHILOSOPHY OF SCIENCE","SCIE","3,127","2.7"," 8/104 ","3.5","Q1","2.6","0.8","2.59"," 4/104 ","Q1","Q1","92.8","96.63","0.004","0.921","1.105","Q1",
"SCIENCE AND ENGINEERING ETHICS","SCI ENG ETHICS","1353-3452","1471-5546","MULTIDISCIPLINARY SCIENCES","SCIE","3,127","2.7"," 38/134 ","3.5","Q1","2.6","0.8","2.59"," 13/135 ","Q1","Q2","72.0","90.74","0.004","0.921","1.105","Q1",
"IEEE TRANSACTIONS ON KNOWLEDGE AND DATA ENGINEERING","IEEE T KNOWL DATA EN","1041-4347","1558-2191","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","25,855","8.9"," 17/197 ","8.8","Q1","7.9","4.1","2.55"," 10/198 ","Q1","Q1","91.6","95.20","0.025","5.41","2.428","Q1",
"IEEE TRANSACTIONS ON KNOWLEDGE AND DATA ENGINEERING","IEEE T KNOWL DATA EN","1041-4347","1558-2191","COMPUTER SCIENCE, INFORMATION SYSTEMS","SCIE","25,855","8.9"," 5/249 ","8.8","Q1","7.9","4.1","2.55"," 7/251 ","Q1","Q1","98.2","97.41","0.025","5.41","2.428","Q1",
"IEEE TRANSACTIONS ON KNOWLEDGE AND DATA ENGINEERING","IEEE T KNOWL DATA EN","1041-4347","1558-2191","ENGINEERING, ELECTRICAL & ELECTRONIC","SCIE","25,855","8.9"," 13/352 ","8.8","Q1","7.9","4.1","2.55"," 8/354 ","Q1","Q1","96.4","97.88","0.025","5.41","2.428","Q1",
"Anatomical Sciences Education","ANAT SCI EDUC","1935-9772","1935-9780","EDUCATION, SCIENTIFIC DISCIPLINES","SCIE","4,223","5.2"," 4/85 ","5.7","Q1","3.5","1.4","2.47"," 2/85 ","Q1","Q1","95.9","98.24","0.003","0.645","0.981","Q1",
"SusMat","SUSMAT","2766-8479","2692-4552","CHEMISTRY, MULTIDISCIPLINARY","SCIE","1,635","18.7"," 9/230 ","18.7","Q1","17.9","2.7","2.44"," 16/231 ","Q1","Q1","96.3","93.29","0.002","0.528","3.686","Q1",
"SusMat","SUSMAT","2766-8479","2692-4552","GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY","SCIE","1,635","18.7"," 2/91 ","18.7","Q1","17.9","2.7","2.44"," 2/91 ","Q1","Q1","98.4","98.35","0.002","0.528","3.686","Q1",
"SusMat","SUSMAT","2766-8479","2692-4552","MATERIALS SCIENCE, MULTIDISCIPLINARY","SCIE","1,635","18.7"," 20/438 ","18.7","Q1","17.9","2.7","2.44"," 23/438 ","Q1","Q1","95.5","94.86","0.002","0.528","3.686","Q1",
"IEEE Internet of Things Journal","IEEE INTERNET THINGS","2327-4662","2327-4662","COMPUTER SCIENCE, INFORMATION SYSTEMS","SCIE","57,565","8.2"," 9/249 ","9","Q1","7.3","2.3","2.42"," 10/251 ","Q1","Q1","96.6","96.22","0.091","19.888","1.982","Q1",
"IEEE Internet of Things Journal","IEEE INTERNET THINGS","2327-4662","2327-4662","ENGINEERING, ELECTRICAL & ELECTRONIC","SCIE","57,565","8.2"," 22/352 ","9","Q1","7.3","2.3","2.42"," 11/354 ","Q1","Q1","93.9","97.03","0.091","19.888","1.982","Q1",
"IEEE Internet of Things Journal","IEEE INTERNET THINGS","2327-4662","2327-4662","TELECOMMUNICATIONS","SCIE","57,565","8.2"," 8/119 ","9","Q1","7.3","2.3","2.42"," 5/119 ","Q1","Q1","93.7","96.22","0.091","19.888","1.982","Q1",
