"Journal Data Filtered By:  Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2023 Selected Category Schema: WOS Selected Open Access: N Selected ISSN/eISSNs: Multiple Indicator: Custom"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Edition,Total Citations,2023 JIF,JIF Quartile,2023 JCI,JIF Rank,5 Year JIF,5 Year JIF Quartile,JIF Without Self Cites,Immediacy Index,JCI Rank,JCI Quartile,JCI Percentile,Eigenfactor,Normalized Eigenfactor,Article Influence Score,JIF Percentile,AIS Quartile
"Construction and Building Materials","CONSTR BUILD MATER","0950-0618","1879-0526","CONSTRUCTION & BUILDING TECHNOLOGY","SCIE","228,428","7.4","Q1","1.43"," 6/91 ","8","Q1","5.6","1.5"," 8/91 ","Q1","91.76","0.147","32.061","1.021","94.0","Q1",
"Construction and Building Materials","CONSTR BUILD MATER","0950-0618","1879-0526","ENGINEERING, CIVIL","SCIE","228,428","7.4","Q1","1.43"," 6/181 ","8","Q1","5.6","1.5"," 11/181 ","Q1","94.20","0.147","32.061","1.021","97.0","Q1",
"Construction and Building Materials","CONSTR BUILD MATER","0950-0618","1879-0526","MATERIALS SCIENCE, MULTIDISCIPLINARY","SCIE","228,428","7.4","Q1","1.43"," 82/438 ","8","Q1","5.6","1.5"," 58/438 ","Q1","86.87","0.147","32.061","1.021","81.4","Q2",
"CHEMICAL COMMUNICATIONS","CHEM COMMUN","1359-7345","1364-548X","CHEMISTRY, MULTIDISCIPLINARY","SCIE","171,382","4.3","Q2","0.81"," 71/230 ","4.4","Q2","4.1","1.2"," 73/231 ","Q2","68.61","0.108","23.631","0.902","69.3","Q2",
"RENEWABLE & SUSTAINABLE ENERGY REVIEWS","RENEW SUST ENERG REV","1364-0321","1879-0690","ENERGY & FUELS","SCIE","169,190","16.3","Q1","2.01"," 9/170 ","16.8","Q1","15.5","2.1"," 10/173 ","Q1","94.51","0.123","26.86","3.092","95.0","Q1",
"RENEWABLE & SUSTAINABLE ENERGY REVIEWS","RENEW SUST ENERG REV","1364-0321","1879-0690","GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY","SCIE","169,190","16.3","Q1","2.01"," 3/91 ","16.8","Q1","15.5","2.1"," 6/91 ","Q1","93.96","0.123","26.86","3.092","97.3","Q1",
"Journal of Environmental Management","J ENVIRON MANAGE","0301-4797","1095-8630","ENVIRONMENTAL SCIENCES","SCIE","110,283","8","Q1","1.49"," 34/358 ","7.9","Q1","7.6","1.9"," 36/359 ","Q1","90.11","0.102","22.21","1.29","90.6","Q1",
"ORGANIC LETTERS","ORG LETT","1523-7060","1523-7052","CHEMISTRY, ORGANIC","SCIE","96,153","4.9","Q1","1.54"," 4/58 ","4.5","Q1","4.3","1.4"," 2/58 ","Q1","97.41","0.068","14.864","0.875","94.0","Q1",
"CHEMISTRY-A EUROPEAN JOURNAL","CHEM-EUR J","0947-6539","1521-3765","CHEMISTRY, MULTIDISCIPLINARY","SCIE","94,095","3.9","Q2","0.66"," 79/230 ","4.1","Q2","3.6","1.1"," 89/231 ","Q2","61.69","0.068","14.876","0.89","65.9","Q2",
"NATURE BIOTECHNOLOGY","NAT BIOTECHNOL","1087-0156","1546-1696","BIOTECHNOLOGY & APPLIED MICROBIOLOGY","SCIE","90,606","33.1","Q1","8.38"," 2/174 ","56.9","Q1","32.3","9.8"," 2/174 ","Q1","99.14","0.156","34.152","27.931","99.1","Q1",
"REMOTE SENSING OF ENVIRONMENT","REMOTE SENS ENVIRON","0034-4257","1879-0704","ENVIRONMENTAL SCIENCES","SCIE","86,104","11.1","Q1","2.35"," 16/358 ","12.7","Q1","10.2","1.6"," 10/359 ","Q1","97.35","0.06","13.2","2.926","95.7","Q1",
"REMOTE SENSING OF ENVIRONMENT","REMOTE SENS ENVIRON","0034-4257","1879-0704","IMAGING SCIENCE & PHOTOGRAPHIC TECHNOLOGY","SCIE","86,104","11.1","Q1","2.35"," 2/36 ","12.7","Q1","10.2","1.6"," 3/36 ","Q1","93.06","0.06","13.2","2.926","95.8","Q1",
"REMOTE SENSING OF ENVIRONMENT","REMOTE SENS ENVIRON","0034-4257","1879-0704","REMOTE SENSING","SCIE","86,104","11.1","Q1","2.35"," 2/62 ","12.7","Q1","10.2","1.6"," 3/62 ","Q1","95.97","0.06","13.2","2.926","97.6","Q1",
"BIOSENSORS & BIOELECTRONICS","BIOSENS BIOELECTRON","0956-5663","1873-4235","BIOPHYSICS","SCIE","74,792","10.7","Q1","2.37"," 3/77 ","9.9","Q1","10.1","2.1"," 2/77 ","Q1","98.05","0.057","12.448","1.573","96.8","Q1",
"BIOSENSORS & BIOELECTRONICS","BIOSENS BIOELECTRON","0956-5663","1873-4235","BIOTECHNOLOGY & APPLIED MICROBIOLOGY","SCIE","74,792","10.7","Q1","2.37"," 6/174 ","9.9","Q1","10.1","2.1"," 6/174 ","Q1","96.84","0.057","12.448","1.573","96.8","Q1",
"BIOSENSORS & BIOELECTRONICS","BIOSENS BIOELECTRON","0956-5663","1873-4235","CHEMISTRY, ANALYTICAL","SCIE","74,792","10.7","Q1","2.37"," 3/106 ","9.9","Q1","10.1","2.1"," 2/106 ","Q1","98.58","0.057","12.448","1.573","97.6","Q1",
"BIOSENSORS & BIOELECTRONICS","BIOSENS BIOELECTRON","0956-5663","1873-4235","ELECTROCHEMISTRY","SCIE","74,792","10.7","Q1","2.37"," 4/45 ","9.9","Q1","10.1","2.1"," 3/45 ","Q1","94.44","0.057","12.448","1.573","92.2","Q1",
"BIOSENSORS & BIOELECTRONICS","BIOSENS BIOELECTRON","0956-5663","1873-4235","NANOSCIENCE & NANOTECHNOLOGY","SCIE","74,792","10.7","Q1","2.37"," 19/140 ","9.9","Q1","10.1","2.1"," 11/140 ","Q1","92.50","0.057","12.448","1.573","86.8","Q1",
"PHYSICS OF FLUIDS","PHYS FLUIDS","1070-6631","1089-7666","MECHANICS","SCIE","65,891","4.1","Q1","1.31"," 29/170 ","4.1","Q1","2.3","1.6"," 17/170 ","Q1","90.29","0.042","9.101","0.722","83.2","Q2",
